board,n_parts,used_area,waste_area,board_area,U
1,4,2897160.0,79640.0,2976800.0,0.9732464391292663
2,4,2846019.0,130781.0,2976800.0,0.9560665815640956
3,4,2837925.0,138875.0,2976800.0,0.9533475544208546
4,3,2828100.0,148700.0,2976800.0,0.9500470303681806
5,4,2894831.5,81968.5,2976800.0,0.9724642233270626
6,5,2887910.0,88890.0,2976800.0,0.970139075517334
7,4,2906297.0,70503.0,2976800.0,0.9763158425154528
8,4,2784800.0,192000.0,2976800.0,0.9355012093523246
9,5,2826342.0,150458.0,2976800.0,0.9494564633163128
10,3,2825514.5,151285.5,2976800.0,0.9491784802472454
11,3,2866152.0,110648.0,2976800.0,0.9628298844396668
12,5,2888286.0,88514.0,2976800.0,0.9702653856490191
13,6,2902240.0,74560.0,2976800.0,0.9749529696318194
14,2,2405520.0,571280.0,2976800.0,0.8080892233270626
15,2,2405520.0,571280.0,2976800.0,0.8080892233270626
16,5,2838825.0,137975.0,2976800.0,0.9536498925020156
17,6,2809582.0,167218.0,2976800.0,0.9438262563826928
18,4,2834336.0,142464.0,2976800.0,0.9521418973394249
19,5,2835316.5,141483.5,2976800.0,0.9524712778822897
20,3,2634117.0,342683.0,2976800.0,0.8848820881483472
21,5,2919299.5,57500.5,2976800.0,0.9806837879602257
22,5,2910939.0,65861.0,2976800.0,0.9778752351518409
23,4,2852720.0,124080.0,2976800.0,0.9583176565439399
24,4,2851070.0,125730.0,2976800.0,0.9577633700618113
25,6,2862088.0,114712.0,2976800.0,0.9614646600376243
26,4,2885270.0,91530.0,2976800.0,0.9692522171459285
27,4,2850779.0,126021.0,2976800.0,0.9576656140822359
28,6,2832953.0,143847.0,2976800.0,0.9516773044880409
29,4,2811082.0,165718.0,2976800.0,0.9443301531846278
30,4,2811301.0,165499.0,2976800.0,0.9444037221177103
31,6,2784579.0,192221.0,2976800.0,0.9354269685568396
32,4,2830641.5,146158.5,2976800.0,0.950900799516259
33,4,2802616.0,174184.0,2976800.0,0.9414861596345069
34,4,2641049.0,335751.0,2976800.0,0.8872107632356894
35,4,2637664.0,339136.0,2976800.0,0.8860736361193228
36,4,2637664.0,339136.0,2976800.0,0.8860736361193228
37,4,2632448.0,344352.0,2976800.0,0.8843214189733942
38,4,2625646.0,351154.0,2976800.0,0.8820364149422198
39,4,2618016.0,358784.0,2976800.0,0.8794732598763774
40,4,2618016.0,358784.0,2976800.0,0.8794732598763774
41,4,2617536.0,359264.0,2976800.0,0.8793120128997581
42,4,2606348.0,370452.0,2976800.0,0.8755536146197259
43,4,2606348.0,370452.0,2976800.0,0.8755536146197259
44,5,2816848.0,159952.0,2976800.0,0.9462671324912658
45,6,2778817.0,197983.0,2976800.0,0.9334913329750067
46,6,2777977.0,198823.0,2976800.0,0.9332091507659231
47,6,2776709.0,200091.0,2976800.0,0.9327831900026875
48,4,2640405.0,336395.0,2976800.0,0.8869944235420586
49,4,2879096.0,97704.0,2976800.0,0.9671781779091642
50,5,2864580.0,112220.0,2976800.0,0.9623018005912389
51,5,2864300.0,112500.0,2976800.0,0.9622077398548777
52,6,2798840.5,177959.5,2976800.0,0.9402178513840366
53,4,2758736.0,218064.0,2976800.0,0.9267454985219027
54,4,2852812.5,123987.5,2976800.0,0.9583487301800592
55,4,2894747.5,82052.5,2976800.0,0.9724360051061542
56,5,2855314.0,121486.0,2976800.0,0.959189062080086
57,3,2613940.0,362860.0,2976800.0,0.8781040042999194
58,3,2344884.0,631916.0,2976800.0,0.7877196990056436
59,4,2882854.0,93946.0,2976800.0,0.9684406073636119
60,5,2882166.0,94634.0,2976800.0,0.9682094866971245
61,7,2850044.0,126756.0,2976800.0,0.9574187046492878
62,9,2844232.5,132567.5,2976800.0,0.9554664404729911
63,3,2465294.5,511505.5,2976800.0,0.8281693429185703
64,7,2878359.0,98441.0,2976800.0,0.9669305966138135
65,4,2851079.0,125721.0,2976800.0,0.9577663934426229
66,5,2872186.0,104614.0,2976800.0,0.9648568933082504
67,5,2806071.25,170728.75,2976800.0,0.942646885917764
68,5,2778645.0,198155.0,2976800.0,0.9334335528083848
69,4,2833500.0,143300.0,2976800.0,0.9518610588551465
70,4,2881871.25,94928.75,2976800.0,0.9681104709755443
71,4,2832816.5,143983.5,2976800.0,0.9516314498790648
72,3,2497440.0,479360.0,2976800.0,0.8389680193496372
73,4,2575480.7,401319.2999999998,2976800.0,0.8651843254501479
74,5,2693905.25,282894.75,2976800.0,0.9049668267938726
75,5,2802388.0,174412.0,2976800.0,0.9414095673206128
76,9,2862306.0,114494.0,2976800.0,0.9615378930395055
77,5,2822960.5,153839.5,2976800.0,0.9483205119591508
78,4,2403830.25,572969.75,2976800.0,0.8075215835796828
79,5,2640399.9,336400.1000000001,2976800.0,0.886992710292932
80,4,2414597.0,562203.0,2976800.0,0.8111384708411717
81,7,2841149.0,135651.0,2976800.0,0.9544305966138135
82,5,2620357.0,356443.0,2976800.0,0.8802596748185971
83,4,2417540.5,559259.5,2976800.0,0.8121272843321687
84,5,2799902.0,176898.0,2976800.0,0.9405744423542058
85,9,2885319.75,91480.25,2976800.0,0.9692689297231927
86,6,2521365.0,455435.0,2976800.0,0.8470051733404999
87,7,2801756.0,175044.0,2976800.0,0.9411972588013975
88,4,2366511.75,610288.25,2976800.0,0.7949851350443429
89,8,2787483.5,189316.5,2976800.0,0.9364026807309863
90,5,2590555.0,386245.0,2976800.0,0.8702482531577533
91,5,2436277.0,540523.0,2976800.0,0.8184214592851384
92,6,2613199.0,363601.0,2976800.0,0.8778550792797635
93,8,2802491.0,174309.0,2976800.0,0.9414441682343456
94,8,2765730.0,211070.0,2976800.0,0.9290950013437248
95,6,2769381.0,207419.0,2976800.0,0.9303214861596345
96,7,2840625.0,136175.0,2976800.0,0.9542545686643376
97,7,2844857.0,131943.0,2976800.0,0.9556762295081968
98,5,2537154.0,439646.0,2976800.0,0.8523091910776673
99,6,2577931.0,398869.0,2976800.0,0.8660074576726686
100,5,2420439.0,556361.0,2976800.0,0.8131009809191078
101,7,2878837.0,97963.0,2976800.0,0.96709117172803
102,6,2620715.7,356084.2999999998,2976800.0,0.8803801733404999
103,6,2619065.7,357734.2999999998,2976800.0,0.8798258868583715
104,6,2635974.0,340826.0,2976800.0,0.8855059123891427
105,6,2632058.75,344741.25,2976800.0,0.8841906577532921
106,6,2626018.0,350782.0,2976800.0,0.8821613813490997
107,6,2609575.0,367225.0,2976800.0,0.8766376646062887
108,8,2790500.0,186300.0,2976800.0,0.9374160171996775
109,7,2828647.0,148153.0,2976800.0,0.9502307847352862
110,6,2639901.0,336899.0,2976800.0,0.8868251142166085
111,7,2737260.5,239539.5,2976800.0,0.9195312080085999
112,8,2768541.0,208259.0,2976800.0,0.9300393039505509
113,7,2800479.0,176321.0,2976800.0,0.9407682746573501
114,6,2565455.0,411345.0,2976800.0,0.8618163800053749
115,7,2759167.0,217633.0,2976800.0,0.9268902848696587
116,8,2790320.0,186480.0,2976800.0,0.9373555495834454
117,5,2219497.0,757303.0,2976800.0,0.7455982934694975
118,10,2830750.5,146049.5,2976800.0,0.9509374160171997
119,8,2869540.0,107260.0,2976800.0,0.9639680193496372
120,10,2828789.5,148010.5,2976800.0,0.95027865493147
121,8,2848157.0,128643.0,2976800.0,0.9567848024724537
122,7,2546243.0,430557.0,2976800.0,0.8553624697661919
123,9,2842680.0,134120.0,2976800.0,0.9549449072829884
124,8,2799862.75,176937.25,2976800.0,0.9405612570545552
125,6,2442060.0,534740.0,2976800.0,0.8203641494221984
126,6,2415360.0,561440.0,2976800.0,0.811394786347756
127,6,2376479.5,600320.5,2976800.0,0.798333613276001
128,8,2816697.0,160103.0,2976800.0,0.946216406879871
129,9,2859887.0,116913.0,2976800.0,0.9607252754635851
130,10,2890702.0,86098.0,2976800.0,0.9710769954313356
131,10,2809284.0,167516.0,2976800.0,0.9437261488847084
132,7,2418067.75,558732.25,2976800.0,0.8123044040580489
133,10,2835645.0,141155.0,2976800.0,0.9525816312819134
134,8,2593826.75,382973.25,2976800.0,0.8713473360655738
135,14,2842299.25,134500.75,2976800.0,0.9548170014780973
136,8,2526407.5,450392.5,2976800.0,0.8486991064230046
137,8,2594675.0,382125.0,2976800.0,0.871632289707068
138,8,2561862.0,414938.0,2976800.0,0.86060937919914
139,11,2789121.5,187678.5,2976800.0,0.9369529360386992
140,13,2776575.0,200225.0,2976800.0,0.9327381752217145
141,12,2852336.75,124463.25,2976800.0,0.9581889109110454
142,12,2841656.25,135143.75,2976800.0,0.9546009977156679
143,12,2860664.5,116135.5,2976800.0,0.960986461972588
144,10,2630037.0,346763.0,2976800.0,0.8835114888470841
145,12,2824692.0,152108.0,2976800.0,0.9489021768341843
146,9,2424512.0,552288.0,2976800.0,0.8144692287019618
147,11,2577588.0,399212.0,2976800.0,0.8658922332706261
148,10,2481031.0,495769.0,2976800.0,0.83345572426767
149,12,2766201.0,210599.0,2976800.0,0.9292532249395323
150,10,2471757.0,505043.0,2976800.0,0.8303402983069067
151,10,2492051.0,484749.0,2976800.0,0.8371576861058855
152,11,2513365.2,463434.7999999998,2976800.0,0.8443177909164203
153,12,2839200.0,137600.0,2976800.0,0.9537758667024994
154,14,2821194.0,155606.0,2976800.0,0.9477270894920721
155,11,2580528.25,396271.75,2976800.0,0.8668799549852191
156,14,2819151.25,157648.75,2976800.0,0.947040866030637
157,14,2728380.5,248419.5,2976800.0,0.9165481389411448
158,15,2861383.25,115416.75,2976800.0,0.9612279125235151
159,14,2859883.0,116917.0,2976800.0,0.9607239317387799
