board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,438,438,5.0,5.0,373.0,341.0,373.0,341.0,0
1,567,567,5.0,346.0,373.0,341.0,373.0,341.0,0
1,658,658,5.0,687.0,373.0,341.0,373.0,341.0,0
1,705,705,378.0,5.0,373.0,341.0,373.0,341.0,0
1,897,897,378.0,346.0,373.0,341.0,373.0,341.0,0
1,950,950,378.0,687.0,373.0,341.0,373.0,341.0,0
1,1108,1108,751.0,5.0,373.0,341.0,373.0,341.0,0
1,1029,1029,751.0,346.0,465.0,301.0,465.0,301.0,0
1,537,537,1216.0,5.0,1207.0,983.5,1207.0,983.5,0
1,218,218,751.0,647.0,264.0,422.5,422.5,264.0,1
1,850,850,1015.0,988.5,801.0,188.0,801.0,188.0,0
1,1010,1010,5.0,1028.0,383.0,75.0,383.0,75.0,0
1,127,127,1816.0,988.5,600.0,200.0,200.0,600.0,1
1,488,488,5.0,1103.0,974.0,70.0,974.0,70.0,0
1,493,493,1015.0,647.0,182.0,282.0,182.0,282.0,0
2,785,785,5.0,5.0,2172.5,918.5,2172.5,918.5,0
2,827,827,5.0,923.5,2285.0,289.0,2285.0,289.0,0
2,60,60,2177.5,5.0,251.0,814.0,814.0,251.0,1
2,1009,1009,2290.0,819.0,145.0,380.0,380.0,145.0,1
3,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
3,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
3,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
4,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
4,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
4,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
5,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
5,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
5,1059,1059,2304.0,755.0,122.0,318.5,318.5,122.0,1
6,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
6,474,474,5.0,660.0,2299.0,540.0,2299.0,540.0,0
6,548,548,2304.0,660.0,109.0,469.0,469.0,109.0,1
7,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
7,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
7,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
7,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
8,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
8,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
8,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
8,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
9,848,848,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,628,628,5.0,689.0,2299.0,520.0,2299.0,520.0,0
9,420,420,2304.0,5.0,120.0,1170.0,1170.0,120.0,1
10,979,979,5.0,5.0,2240.0,684.0,2240.0,684.0,0
10,375,375,5.0,689.0,2390.0,495.0,2390.0,495.0,0
10,532,532,2245.0,5.0,180.0,570.0,180.0,570.0,0
11,744,744,5.0,5.0,2333.0,600.0,2333.0,600.0,0
11,265,265,5.0,605.0,2335.0,590.0,2335.0,590.0,0
11,482,482,2338.0,5.0,80.0,383.0,383.0,80.0,1
12,1050,1050,5.0,5.0,2315.0,590.0,2315.0,590.0,0
12,913,913,5.0,595.0,2299.0,590.0,2299.0,590.0,0
12,142,142,2320.0,5.0,109.0,1026.0,1026.0,109.0,1
13,1105,1105,5.0,5.0,2295.0,573.0,2295.0,573.0,0
13,314,314,5.0,578.0,2150.0,590.0,2150.0,590.0,0
13,381,381,2155.0,578.0,262.0,600.0,600.0,262.0,1
13,747,747,2300.0,5.0,131.5,509.0,131.5,509.0,0
14,274,274,5.0,5.0,1852.0,683.0,1852.0,683.0,0
14,706,706,5.0,688.0,2360.0,500.0,2360.0,500.0,0
14,293,293,1857.0,5.0,574.0,667.0,667.0,574.0,1
14,483,483,2365.0,672.0,70.0,436.0,436.0,70.0,1
15,948,948,5.0,5.0,1852.0,683.0,1852.0,683.0,0
15,194,194,5.0,688.0,2335.0,492.0,2335.0,492.0,0
15,294,294,1857.0,5.0,574.0,667.0,667.0,574.0,1
15,484,484,2340.0,672.0,80.0,383.0,383.0,80.0,1
16,447,447,5.0,5.0,2254.0,550.0,2254.0,550.0,0
16,780,780,5.0,555.0,2254.0,550.0,2254.0,550.0,0
16,748,748,5.0,1105.0,1970.0,100.0,1970.0,100.0,0
16,943,943,2259.0,5.0,140.0,1135.0,1135.0,140.0,1
16,877,877,1975.0,1140.0,421.0,70.0,421.0,70.0,0
17,959,959,5.0,5.0,2254.0,550.0,2254.0,550.0,0
17,1111,1111,5.0,555.0,2254.0,550.0,2254.0,550.0,0
17,875,875,5.0,1105.0,1970.0,100.0,1970.0,100.0,0
17,1004,1004,2259.0,5.0,120.0,1170.0,1170.0,120.0,1
17,1065,1065,1975.0,1105.0,265.0,70.0,265.0,70.0,0
18,82,82,5.0,5.0,2254.0,544.0,2254.0,544.0,0
18,147,147,5.0,549.0,2254.0,544.0,2254.0,544.0,0
18,944,944,5.0,1093.0,2400.0,120.0,2400.0,120.0,0
18,580,580,2259.0,5.0,160.0,874.0,874.0,160.0,1
19,219,219,5.0,5.0,2250.0,534.0,2250.0,534.0,0
19,269,269,5.0,539.0,2250.0,534.0,2250.0,534.0,0
19,1000,1000,5.0,1073.0,2400.0,120.0,2400.0,120.0,0
19,451,451,2255.0,5.0,180.0,908.0,180.0,908.0,0
20,429,429,5.0,5.0,2250.0,534.0,2250.0,534.0,0
20,378,378,5.0,539.0,2100.0,560.0,2100.0,560.0,0
20,812,812,5.0,1099.0,2399.0,80.0,2399.0,80.0,0
20,57,57,2105.0,539.0,330.0,530.0,530.0,330.0,1
20,773,773,2255.0,5.0,160.0,480.0,480.0,160.0,1
21,588,588,5.0,5.0,1207.0,983.5,1207.0,983.5,0
21,175,175,1212.0,5.0,460.0,917.0,460.0,917.0,0
21,701,701,1672.0,5.0,759.0,1134.0,1134.0,759.0,1
21,937,937,5.0,1139.0,2400.0,60.0,2400.0,60.0,0
21,489,489,5.0,988.5,1020.0,70.0,1020.0,70.0,0
21,486,486,5.0,1058.5,895.0,70.0,895.0,70.0,0
21,145,145,1212.0,922.0,330.0,160.0,160.0,330.0,1
22,841,841,5.0,5.0,1360.0,869.0,1360.0,869.0,0
22,469,469,1365.0,5.0,973.5,1187.0,1187.0,973.5,1
22,561,561,5.0,874.0,1260.0,334.0,1260.0,334.0,0
22,422,422,2338.5,5.0,94.0,913.5,913.5,94.0,1
22,283,283,1265.0,874.0,70.0,306.0,306.0,70.0,1
22,11,11,2338.5,918.5,60.0,264.0,264.0,60.0,1
23,123,123,5.0,5.0,1523.5,765.5,1523.5,765.5,0
23,631,631,5.0,770.5,2205.0,419.0,2205.0,419.0,0
23,360,360,1528.5,5.0,782.0,755.0,755.0,782.0,1
23,1061,1061,2310.5,5.0,120.0,1020.0,1020.0,120.0,1
23,1005,1005,2210.0,760.0,80.0,383.0,383.0,80.0,1
24,300,300,5.0,5.0,1523.5,765.5,1523.5,765.5,0
24,144,144,5.0,770.5,2187.0,419.0,2187.0,419.0,0
24,834,834,1528.5,5.0,760.0,725.0,725.0,760.0,1
24,939,939,2288.5,5.0,109.0,1026.0,1026.0,109.0,1
