board,n_parts,used_area,waste_area,board_area,U
1,4,2874067.0,102733.0,2976800.0,0.965488779897877
2,4,2872820.0,103980.0,2976800.0,0.9650698736898683
3,4,2883189.0,93611.0,2976800.0,0.9685531443160441
4,5,2860268.0,116532.0,2976800.0,0.9608532652512766
5,6,2879130.0,97670.0,2976800.0,0.967189599570008
6,5,2873143.25,103656.75,2976800.0,0.9651784634506853
7,6,2799366.0,177434.0,2976800.0,0.9403943832303144
8,4,2783410.0,193390.0,2976800.0,0.9350342649825316
9,4,2742398.0,234402.0,2976800.0,0.9212570545552271
10,6,2833593.0,143207.0,2976800.0,0.9518923004568665
11,5,2846580.0,130220.0,2976800.0,0.9562550389680193
12,5,2802152.0,174648.0,2976800.0,0.9413302875571083
13,4,2686699.65,290100.3500000001,2976800.0,0.9025462409298576
14,6,2830990.0,145810.0,2976800.0,0.9510178715399086
15,6,2873546.0,103254.0,2976800.0,0.9653137597420048
16,7,2817579.0,159221.0,2976800.0,0.9465126981994088
17,6,2772562.0,204238.0,2976800.0,0.9313900833109379
18,6,2748004.0,228796.0,2976800.0,0.9231402848696587
19,7,2729728.0,247072.0,2976800.0,0.9170008062348831
20,6,2810885.0,165915.0,2976800.0,0.9442639747379736
21,8,2837466.0,139334.0,2976800.0,0.9531933619994625
22,5,2838931.25,137868.75,2976800.0,0.9536855851921526
23,6,2839530.25,137269.75,2976800.0,0.9538868079817253
24,8,2808923.0,167877.0,2976800.0,0.9436048777210427
25,8,2818050.25,158749.75,2976800.0,0.9466710057780167
26,6,2666151.0,310649.0,2976800.0,0.8956433082504703
27,6,2796591.75,180208.25,2976800.0,0.9394624260951357
28,5,2496920.5,479879.5,2976800.0,0.8387935030905671
29,7,2822960.0,153840.0,2976800.0,0.9483203439935501
30,6,2672973.05,303826.9500000002,2976800.0,0.8979350477022305
31,6,2753287.0,223513.0,2976800.0,0.9249150094060736
32,5,2778044.5,198755.5,2976800.0,0.9332318261220102
33,8,2806479.25,170320.75,2976800.0,0.9427839458478904
34,6,2761602.0,215198.0,2976800.0,0.9277082773447998
35,6,2771907.6,204892.3999999999,2976800.0,0.9311702499328138
36,8,2853137.0,123663.0,2976800.0,0.9584577398548777
37,6,2754046.5,222753.5,2976800.0,0.9251701491534534
38,8,2744743.0,232057.0,2976800.0,0.9220448132222521
39,8,2788085.55,188714.4500000002,2976800.0,0.9366049281107228
40,8,2698199.75,278600.25,2976800.0,0.9064094833378125
41,8,2732380.0,244420.0,2976800.0,0.9178916957807041
42,6,2467860.25,508939.75,2976800.0,0.8290312583982801
43,7,2746012.6,230787.3999999999,2976800.0,0.9224713114754098
44,7,2777148.0,199652.0,2976800.0,0.9329306638000537
45,10,2814352.0,162448.0,2976800.0,0.945428648212846
46,11,2696747.0,280053.0,2976800.0,0.9059214592851385
47,13,2693173.5,283626.5,2976800.0,0.9047210091373287
48,12,2566346.75,410453.25,2976800.0,0.8621159466541253
49,9,2593169.0,383631.0,2976800.0,0.8711263773179253
50,10,2546878.75,429921.25,2976800.0,0.855576038027412
51,10,2743380.25,233419.75,2976800.0,0.9215870229776941
52,8,2780165.0,196635.0,2976800.0,0.9339441682343456
53,11,2728511.75,248288.25,2976800.0,0.9165922299113142
54,11,2536462.75,440337.25,2976800.0,0.8520769786347756
55,10,2576710.75,400089.25,2976800.0,0.8655975376242946
56,13,2517870.15,458929.8500000001,2976800.0,0.8458311441816716
57,9,2352656.5,624143.5,2976800.0,0.7903307242676699
58,9,2560296.25,416503.75,2976800.0,0.8600833949207203
59,14,2323617.6,653182.3999999999,2976800.0,0.7805756517065305
60,12,2665962.5,310837.5,2976800.0,0.8955799852190272
61,15,2728887.45,247912.5499999998,2976800.0,0.9167184392636388
62,12,2437501.0,539299.0,2976800.0,0.8188326390755173
63,10,2552811.9,423988.1000000001,2976800.0,0.8575691682343456
64,11,2392240.0999999996,584559.9000000004,2976800.0,0.8036280905670518
65,12,2497513.25,479286.75,2976800.0,0.8389926263101317
66,15,2388381.5,588418.5,2976800.0,0.8023318664337543
67,12,2440258.5,536541.5,2976800.0,0.8197589693630745
68,13,2394309.5,582490.5,2976800.0,0.8043232665950013
69,18,2409664.0,567136.0,2976800.0,0.8094813222252083
70,6,1023549.0,1953251.0,2976800.0,0.34384204514915345
