board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,142,142,5.0,5.0,2320.0,288.0,2320.0,288.0,0
1,4,4,5.0,293.0,2405.0,554.0,2405.0,554.0,0
1,36,36,5.0,847.0,2295.0,364.0,2295.0,364.0,0
1,221,221,2300.0,847.0,118.5,322.0,118.5,322.0,0
2,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
2,95,95,5.0,585.0,2400.0,550.0,2400.0,550.0,0
2,374,374,5.0,1135.0,2054.0,70.0,2054.0,70.0,0
2,181,181,2059.0,1135.0,284.0,60.0,284.0,60.0,0
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,464,464,5.0,817.0,2395.0,315.0,2395.0,315.0,0
3,80,80,5.0,1132.0,1600.0,75.0,1600.0,75.0,0
3,131,131,1605.0,1132.0,780.0,80.0,780.0,80.0,0
4,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
4,127,127,5.0,591.0,2382.0,544.0,2382.0,544.0,0
4,426,426,5.0,1135.0,1614.0,70.0,1614.0,70.0,0
4,510,510,1619.0,1135.0,777.0,60.0,777.0,60.0,0
4,223,223,2335.0,5.0,70.0,564.0,564.0,70.0,1
5,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
5,166,166,5.0,549.0,2320.0,554.0,2320.0,554.0,0
5,469,469,5.0,1103.0,1626.0,110.0,1626.0,110.0,0
5,179,179,2355.0,5.0,80.0,1209.5,1209.5,80.0,1
5,315,315,1631.0,1103.0,299.0,70.0,299.0,70.0,0
5,422,422,1930.0,1103.0,315.0,60.0,315.0,60.0,0
6,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
6,342,342,5.0,540.0,2321.0,550.0,2321.0,550.0,0
6,397,397,5.0,1090.0,1724.0,120.0,1724.0,120.0,0
6,198,198,1729.0,1090.0,569.5,123.5,123.5,569.5,1
6,208,208,2326.0,540.0,70.0,643.0,643.0,70.0,1
7,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
7,404,404,5.0,541.0,2352.0,530.0,2352.0,530.0,0
7,314,314,2365.0,5.0,70.0,773.0,773.0,70.0,1
7,511,511,5.0,1071.0,764.0,79.0,764.0,79.0,0
7,509,509,769.0,1071.0,900.0,100.0,900.0,100.0,0
7,372,372,1669.0,1071.0,758.0,110.0,758.0,110.0,0
8,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
8,439,439,5.0,484.0,2279.0,538.0,2279.0,538.0,0
8,358,358,5.0,1022.0,2345.0,159.0,2345.0,159.0,0
8,191,191,2352.0,5.0,60.0,1004.0,1004.0,60.0,1
9,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,162,162,5.0,529.0,2040.0,570.0,2040.0,570.0,0
9,211,211,2045.0,529.0,370.0,645.0,645.0,370.0,1
9,108,108,5.0,1099.0,1550.0,70.0,1550.0,70.0,0
10,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
10,215,215,5.0,569.0,2040.0,549.0,2040.0,549.0,0
10,419,419,2045.0,5.0,353.0,826.0,826.0,353.0,1
10,240,240,5.0,1118.0,1550.0,70.0,1550.0,70.0,0
10,428,428,2045.0,831.0,375.0,357.0,375.0,357.0,0
10,450,450,1555.0,1118.0,416.0,70.0,416.0,70.0,0
11,185,185,5.0,5.0,2382.0,405.0,2382.0,405.0,0
11,15,15,5.0,410.0,2220.0,474.0,2220.0,474.0,0
11,521,521,5.0,884.0,2355.0,327.0,2355.0,327.0,0
11,398,398,2360.0,410.0,60.0,513.0,513.0,60.0,1
11,199,199,2225.0,410.0,75.0,383.0,383.0,75.0,1
12,294,294,5.0,5.0,2353.0,370.0,2353.0,370.0,0
12,76,76,5.0,375.0,2000.0,554.0,2000.0,554.0,0
12,301,301,5.0,929.0,2290.0,279.0,2290.0,279.0,0
12,7,7,2005.0,375.0,373.0,384.0,384.0,373.0,1
12,109,109,2005.0,759.0,276.0,150.0,150.0,276.0,1
13,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
13,26,26,5.0,459.0,2090.0,363.0,2090.0,363.0,0
13,74,74,5.0,822.0,2321.0,334.0,2321.0,334.0,0
13,359,359,2095.0,5.0,310.7,729.5,310.7,729.5,0
14,434,434,5.0,5.0,1874.0,537.0,1874.0,537.0,0
14,160,160,5.0,542.0,2190.0,330.0,2190.0,330.0,0
14,527,527,5.0,872.0,2332.0,320.0,2332.0,320.0,0
14,380,380,1879.0,5.0,528.0,344.0,528.0,344.0,0
14,545,545,2195.0,349.0,232.0,515.0,232.0,515.0,0
14,20,20,1879.0,349.0,300.0,182.0,182.0,300.0,1
15,492,492,5.0,5.0,1849.5,549.0,1849.5,549.0,0
15,385,385,5.0,554.0,2222.0,350.0,2222.0,350.0,0
15,51,51,5.0,904.0,2271.0,294.0,2271.0,294.0,0
15,144,144,1854.5,5.0,564.0,543.0,564.0,543.0,0
15,356,356,2227.0,548.0,175.5,319.0,175.5,319.0,0
15,285,285,2276.0,867.0,158.0,320.0,320.0,158.0,1
16,270,270,5.0,5.0,2000.0,354.0,2000.0,354.0,0
16,475,475,5.0,359.0,1796.0,600.0,1796.0,600.0,0
16,278,278,5.0,959.0,2340.0,242.0,2340.0,242.0,0
16,388,388,2005.0,5.0,316.0,830.0,830.0,316.0,1
16,132,132,2321.0,5.0,100.0,900.0,900.0,100.0,1
16,335,335,1801.0,359.0,161.0,479.0,479.0,161.0,1
16,399,399,1962.0,835.0,330.0,110.0,110.0,330.0,1
17,81,81,5.0,5.0,2100.0,334.0,2100.0,334.0,0
17,176,176,5.0,339.0,2119.0,330.0,2119.0,330.0,0
17,330,330,5.0,669.0,2090.0,330.0,2090.0,330.0,0
17,106,106,5.0,999.0,2119.0,160.0,2119.0,160.0,0
17,159,159,2124.0,5.0,303.0,844.0,844.0,303.0,1
17,34,34,2124.0,849.0,282.0,310.0,282.0,310.0,0
18,338,338,5.0,5.0,1724.0,432.0,1724.0,432.0,0
18,236,236,5.0,437.0,1720.0,689.0,1720.0,689.0,0
18,414,414,1725.0,437.0,636.0,777.0,777.0,636.0,1
18,73,73,1729.0,5.0,549.0,336.0,549.0,336.0,0
18,219,219,5.0,1126.0,1244.0,70.0,1244.0,70.0,0
18,507,507,2361.0,5.0,60.0,874.0,874.0,60.0,1
19,254,254,5.0,5.0,2220.0,300.0,2220.0,300.0,0
19,70,70,5.0,305.0,2190.0,304.0,2190.0,304.0,0
19,84,84,5.0,609.0,2040.0,544.0,2040.0,544.0,0
19,495,495,2045.0,609.0,312.0,409.0,409.0,312.0,1
19,220,220,2357.0,5.0,70.0,944.0,944.0,70.0,1
19,289,289,5.0,1153.0,726.0,60.0,726.0,60.0,0
19,145,145,2045.0,1018.0,280.0,182.0,182.0,280.0,1
20,118,118,5.0,5.0,2064.0,321.0,2064.0,321.0,0
20,362,362,5.0,326.0,1650.0,554.0,1650.0,554.0,0
20,103,103,5.0,880.0,2330.0,312.0,2330.0,312.0,0
20,329,329,1655.0,326.0,776.0,541.0,776.0,541.0,0
20,490,490,2069.0,5.0,273.0,235.0,235.0,273.0,1
20,130,130,2335.0,867.0,70.0,333.0,333.0,70.0,1
21,133,133,5.0,5.0,2040.0,544.0,2040.0,544.0,0
21,350,350,5.0,549.0,1629.0,508.0,1629.0,508.0,0
21,104,104,1634.0,549.0,777.0,654.0,777.0,654.0,0
21,92,92,5.0,1057.0,1114.0,150.0,1114.0,150.0,0
21,357,357,2045.0,5.0,321.0,425.0,425.0,321.0,1
21,375,375,1119.0,1057.0,509.0,70.0,509.0,70.0,0
21,128,128,2045.0,430.0,383.0,75.0,383.0,75.0,0
21,169,169,1119.0,1127.0,344.8,70.0,344.8,70.0,0
22,238,238,5.0,5.0,1563.5,917.5,1563.5,917.5,0
22,296,296,5.0,922.5,2000.0,280.0,2000.0,280.0,0
22,474,474,1568.5,5.0,561.0,878.0,878.0,561.0,1
22,253,253,2129.5,5.0,257.0,851.0,851.0,257.0,1
22,351,351,2005.0,883.0,403.5,330.0,403.5,330.0,0
23,22,22,5.0,5.0,1534.0,541.0,1534.0,541.0,0
23,187,187,5.0,546.0,1796.5,424.5,1796.5,424.5,0
23,89,89,5.0,970.5,2352.0,230.0,2352.0,230.0,0
23,148,148,1801.5,5.0,548.0,944.0,944.0,548.0,1
23,442,442,1539.0,5.0,232.0,485.0,232.0,485.0,0
23,222,222,2357.0,5.0,70.0,1089.0,1089.0,70.0,1
24,395,395,5.0,5.0,2220.0,294.0,2220.0,294.0,0
24,60,60,5.0,299.0,2220.0,294.0,2220.0,294.0,0
24,200,200,5.0,593.0,1502.0,530.0,1502.0,530.0,0
24,282,282,1507.0,593.0,888.0,553.0,888.0,553.0,0
24,267,267,5.0,1123.0,820.0,60.0,820.0,60.0,0
24,239,239,825.0,1146.0,776.0,60.0,776.0,60.0,0
24,373,373,1601.0,1146.0,726.0,60.0,726.0,60.0,0
24,409,409,2225.0,5.0,161.0,479.0,479.0,161.0,1
25,47,47,5.0,5.0,2090.0,304.0,2090.0,304.0,0
25,378,378,5.0,309.0,1499.5,757.5,1499.5,757.5,0
25,555,555,1504.5,309.0,875.0,555.0,875.0,555.0,0
25,216,216,1504.5,864.0,918.0,303.0,918.0,303.0,0
25,516,516,5.0,1066.5,844.0,70.0,844.0,70.0,0
