uid,step
142,1
4,2
36,3
221,4
66,5
95,6
374,7
181,8
13,9
464,10
80,11
131,12
302,13
127,14
410,15
166,16
40,17
342,18
430,19
404,20
152,21
439,22
54,23
162,24
311,25
215,26
185,27
15,28
521,29
294,30
76,31
347,32
301,33
26,34
74,35
434,36
160,37
527,38
492,39
385,40
51,41
270,42
475,43
81,44
176,45
330,46
338,47
236,48
254,49
70,50
84,51
118,52
362,53
103,54
133,55
350,56
238,57
278,58
296,59
22,60
187,61
395,62
60,63
200,64
47,65
378,66
146,67
477,68
563,69
82,70
288,71
506,72
268,73
345,74
251,75
182,76
431,77
515,78
203,79
286,80
123,81
43,82
41,83
89,84
68,85
69,86
503,87
452,88
227,89
551,90
194,91
401,92
154,93
224,94
481,95
135,96
354,97
72,98
201,99
136,100
149,101
151,102
164,103
364,104
57,105
148,106
514,107
107,108
349,109
98,110
249,111
282,112
353,113
368,114
474,115
56,116
555,117
124,118
172,119
42,120
202,121
310,122
539,123
104,124
414,125
165,126
552,127
141,128
156,129
143,130
329,131
295,132
497,133
480,134
67,135
501,136
377,137
443,138
6,139
137,140
550,141
558,142
24,143
358,144
209,145
48,146
403,147
106,148
155,149
388,150
144,151
253,152
440,153
159,154
397,155
469,156
7,157
472,158
292,159
225,160
426,161
291,162
359,163
380,164
92,165
545,166
351,167
357,168
419,169
184,170
2,171
240,172
216,173
428,174
179,175
495,176
73,177
226,178
116,179
442,180
518,181
38,182
548,183
114,184
35,185
211,186
293,187
108,188
173,189
207,190
102,191
132,192
139,193
233,194
219,195
222,196
547,197
334,198
484,199
315,200
422,201
405,202
86,203
257,204
554,205
191,206
304,207
450,208
460,209
482,210
261,211
19,212
508,213
398,214
483,215
448,216
113,217
494,218
177,219
153,220
456,221
333,222
418,223
319,224
129,225
61,226
436,227
352,228
188,229
458,230
37,231
192,232
206,233
507,234
542,235
540,236
267,237
220,238
510,239
180,240
239,241
533,242
516,243
373,244
289,245
541,246
314,247
511,248
408,249
509,250
356,251
242,252
376,253
94,254
421,255
62,256
361,257
346,258
285,259
12,260
402,261
235,262
63,263
25,264
524,265
115,266
490,267
445,268
281,269
21,270
406,271
163,272
198,273
52,274
229,275
196,276
488,277
457,278
320,279
250,280
449,281
208,282
500,283
223,284
273,285
197,286
517,287
228,288
559,289
34,290
59,291
466,292
300,293
307,294
258,295
32,296
325,297
392,298
420,299
183,300
186,301
274,302
134,303
90,304
112,305
479,306
255,307
266,308
435,309
476,310
210,311
459,312
269,313
101,314
260,315
375,316
372,317
523,318
280,319
409,320
335,321
321,322
8,323
512,324
85,325
473,326
212,327
505,328
140,329
332,330
158,331
387,332
535,333
11,334
382,335
316,336
178,337
465,338
199,339
306,340
564,341
303,342
424,343
447,344
331,345
553,346
336,347
259,348
381,349
96,350
241,351
463,352
327,353
53,354
328,355
489,356
23,357
189,358
313,359
97,360
276,361
441,362
28,363
526,364
128,365
471,366
169,367
205,368
83,369
413,370
138,371
29,372
168,373
130,374
491,375
543,376
453,377
31,378
65,379
438,380
248,381
3,382
417,383
299,384
470,385
117,386
522,387
111,388
562,389
498,390
493,391
317,392
312,393
536,394
370,395
537,396
462,397
348,398
217,399
446,400
396,401
230,402
323,403
341,404
20,405
50,406
243,407
100,408
520,409
499,410
400,411
105,412
478,413
150,414
55,415
145,416
263,417
252,418
5,419
277,420
425,421
244,422
467,423
297,424
64,425
298,426
287,427
271,428
265,429
513,430
309,431
549,432
119,433
486,434
451,435
399,436
560,437
546,438
120,439
369,440
529,441
193,442
318,443
275,444
45,445
394,446
234,447
416,448
389,449
190,450
429,451
125,452
412,453
444,454
49,455
433,456
423,457
109,458
322,459
30,460
390,461
93,462
78,463
1,464
9,465
91,466
256,467
214,468
121,469
544,470
167,471
147,472
16,473
384,474
126,475
455,476
340,477
17,478
246,479
79,480
386,481
262,482
161,483
232,484
519,485
87,486
218,487
245,488
371,489
75,490
531,491
33,492
46,493
170,494
432,495
237,496
204,497
487,498
383,499
496,500
556,501
283,502
339,503
437,504
77,505
247,506
393,507
366,508
363,509
367,510
18,511
279,512
337,513
264,514
122,515
557,516
171,517
88,518
391,519
174,520
427,521
355,522
538,523
360,524
454,525
461,526
468,527
157,528
504,529
39,530
530,531
58,532
411,533
502,534
195,535
175,536
407,537
324,538
284,539
290,540
532,541
365,542
14,543
231,544
485,545
272,546
343,547
213,548
525,549
561,550
379,551
534,552
415,553
344,554
10,555
44,556
308,557
71,558
305,559
110,560
99,561
27,562
326,563
528,564
