uid,step
1016,1
1023,2
282,3
917,4
936,5
90,6
1043,7
1048,8
657,9
763,10
756,11
401,12
1178,13
50,14
602,15
516,16
778,17
973,18
672,19
45,20
310,21
1175,22
673,23
875,24
1164,25
231,26
47,27
1136,28
526,29
434,30
205,31
873,32
490,33
1181,34
1116,35
639,36
678,37
1000,38
597,39
1032,40
319,41
383,42
465,43
670,44
734,45
994,46
39,47
117,48
1141,49
644,50
113,51
683,52
122,53
1081,54
263,55
311,56
329,57
999,58
494,59
583,60
124,61
1002,62
51,63
1004,64
852,65
178,66
729,67
37,68
54,69
1113,70
188,71
186,72
801,73
870,74
53,75
1053,76
142,77
779,78
4,79
702,80
976,81
1173,82
814,83
799,84
838,85
618,86
234,87
189,88
82,89
260,90
921,91
867,92
800,93
423,94
675,95
255,96
1068,97
832,98
1098,99
1228,100
1084,101
1115,102
1190,103
15,104
1140,105
433,106
1233,107
714,108
344,109
784,110
72,111
1145,112
43,113
287,114
371,115
5,116
1006,117
1057,118
557,119
845,120
876,121
453,122
1163,123
450,124
558,125
727,126
94,127
849,128
1191,129
1143,130
1213,131
685,132
747,133
1201,134
668,135
889,136
139,137
165,138
63,139
424,140
42,141
215,142
333,143
84,144
1059,145
803,146
1080,147
27,148
88,149
534,150
377,151
77,152
1005,153
120,154
277,155
417,156
1146,157
317,158
298,159
412,160
486,161
708,162
615,163
737,164
758,165
914,166
1216,167
661,168
1071,169
1037,170
79,171
1155,172
112,173
130,174
1076,175
106,176
136,177
1222,178
1085,179
704,180
123,181
195,182
325,183
807,184
926,185
780,186
1208,187
327,188
355,189
1028,190
1159,191
129,192
1144,193
467,194
503,195
75,196
60,197
1077,198
48,199
505,200
577,201
110,202
59,203
874,204
785,205
622,206
628,207
509,208
781,209
948,210
566,211
1214,212
629,213
773,214
740,215
1106,216
126,217
1217,218
775,219
795,220
1047,221
286,222
1069,223
1142,224
730,225
904,226
958,227
987,228
507,229
797,230
1150,231
991,232
1118,233
34,234
25,235
1147,236
1212,237
472,238
172,239
76,240
511,241
777,242
1209,243
744,244
752,245
418,246
726,247
413,248
468,249
810,250
640,251
950,252
125,253
601,254
796,255
919,256
1102,257
786,258
1079,259
196,260
1100,261
252,262
1075,263
224,264
986,265
961,266
127,267
49,268
210,269
996,270
55,271
449,272
1078,273
1148,274
680,275
246,276
264,277
847,278
69,279
73,280
302,281
871,282
1074,283
1070,284
52,285
725,286
1038,287
1224,288
540,289
1120,290
128,291
1210,292
248,293
1019,294
866,295
1211,296
1082,297
201,298
782,299
1066,300
911,301
1020,302
57,303
80,304
220,305
121,306
1040,307
270,308
30,309
607,310
783,311
662,312
152,313
1183,314
856,315
776,316
808,317
1188,318
218,319
265,320
1072,321
949,322
709,323
426,324
903,325
954,326
596,327
868,328
1067,329
1205,330
857,331
238,332
242,333
1017,334
145,335
765,336
148,337
244,338
267,339
226,340
241,341
798,342
1003,343
908,344
436,345
245,346
337,347
243,348
1045,349
790,350
766,351
1090,352
1073,353
890,354
1207,355
612,356
710,357
1227,358
687,359
213,360
385,361
474,362
1180,363
185,364
521,365
324,366
947,367
1215,368
1083,369
1149,370
147,371
938,372
1052,373
728,374
872,375
1206,376
1093,377
1195,378
513,379
666,380
933,381
985,382
748,383
594,384
1001,385
869,386
68,387
444,388
742,389
313,390
116,391
611,392
679,393
370,394
984,395
1089,396
625,397
699,398
479,399
853,400
1088,401
817,402
690,403
1110,404
663,405
357,406
804,407
451,408
480,409
203,410
858,411
463,412
942,413
335,414
387,415
762,416
105,417
273,418
108,419
483,420
487,421
841,422
89,423
115,424
18,425
712,426
14,427
1193,428
932,429
181,430
592,431
1199,432
916,433
283,434
118,435
10,436
1051,437
576,438
141,439
296,440
384,441
1230,442
207,443
646,444
818,445
956,446
204,447
382,448
473,449
144,450
497,451
1036,452
1096,453
1101,454
138,455
1189,456
85,457
86,458
1153,459
455,460
26,461
405,462
543,463
374,464
816,465
306,466
307,467
1107,468
1104,469
1063,470
440,471
1034,472
1025,473
842,474
143,475
372,476
634,477
1186,478
691,479
389,480
380,481
1127,482
652,483
91,484
156,485
636,486
222,487
523,488
1128,489
599,490
787,491
488,492
802,493
161,494
698,495
724,496
1139,497
295,498
404,499
650,500
92,501
923,502
67,503
64,504
530,505
154,506
202,507
442,508
159,509
200,510
230,511
967,512
12,513
633,514
495,515
584,516
358,517
235,518
197,519
565,520
881,521
446,522
501,523
573,524
689,525
93,526
930,527
931,528
1135,529
191,530
992,531
228,532
815,533
771,534
408,535
476,536
477,537
512,538
1182,539
701,540
643,541
33,542
71,543
280,544
506,545
1194,546
739,547
1138,548
175,549
237,550
304,551
336,552
1030,553
484,554
569,555
606,556
935,557
482,558
772,559
840,560
1041,561
41,562
651,563
595,564
87,565
217,566
349,567
448,568
83,569
445,570
251,571
258,572
515,573
998,574
227,575
233,576
696,577
525,578
733,579
1015,580
1065,581
924,582
988,583
232,584
173,585
529,586
620,587
28,588
844,589
174,590
510,591
410,592
697,593
268,594
491,595
155,596
995,597
338,598
768,599
820,600
171,601
326,602
367,603
315,604
989,605
1094,606
894,607
192,608
78,609
391,610
114,611
598,612
300,613
769,614
745,615
927,616
229,617
943,618
619,619
109,620
1197,621
163,622
206,623
394,624
561,625
21,626
328,627
345,628
356,629
365,630
419,631
2,632
