board,n_parts,used_area,waste_area,board_area,U
1,4,2835650.0,141150.0,2976800.0,0.9525833109379199
2,6,2914514.0,62286.0,2976800.0,0.9790761891964526
3,6,2871666.1,105133.8999999999,2976800.0,0.9646822426766999
4,3,2831300.0,145500.0,2976800.0,0.9511220102123085
5,2,2745450.0,231350.0,2976800.0,0.9222823165815641
6,3,2851519.0,125281.0,2976800.0,0.9579142031711906
7,3,2787760.0,189040.0,2976800.0,0.936495565708143
8,4,2893274.0,83526.0,2976800.0,0.9719410104810535
9,3,2635315.0,341485.0,2976800.0,0.8852845337274926
10,5,2833381.0,143419.0,2976800.0,0.9518210830421929
11,5,2837200.25,139599.75,2976800.0,0.9531040882827198
12,4,2834762.25,142037.75,2976800.0,0.9522850880139747
13,6,2886340.0,90460.0,2976800.0,0.9696116635313088
14,3,2806180.0,170620.0,2976800.0,0.9426834184359043
15,4,2756335.0,220465.0,2976800.0,0.9259389277076054
16,6,2814598.0,162202.0,2976800.0,0.9455112872883633
17,5,2801539.0,175261.0,2976800.0,0.9411243617307176
18,3,2806180.0,170620.0,2976800.0,0.9426834184359043
19,5,2817518.0,159282.0,2976800.0,0.9464922063961301
20,5,2858745.0,118055.0,2976800.0,0.9603416420317119
21,6,2858684.5,118115.5,2976800.0,0.9603213181940339
22,6,2873622.0,103178.0,2976800.0,0.9653392905133029
23,6,2830419.5,146380.5,2976800.0,0.9508262227895727
24,4,2804800.0,172000.0,2976800.0,0.9422198333781242
25,6,2795187.0,181613.0,2976800.0,0.9389905267401236
26,4,2715280.0,261520.0,2976800.0,0.9121472722386456
27,6,2824323.0,152477.0,2976800.0,0.9487782182209084
28,5,2741922.0,234878.0,2976800.0,0.9210971513034131
29,7,2828654.25,148145.75,2976800.0,0.9502332202364956
30,5,2751434.5,225365.5,2976800.0,0.9242926968556839
31,8,2847421.0,129379.0,2976800.0,0.9565375571083042
32,6,2837891.25,138908.75,2976800.0,0.9533362167428111
33,4,2709776.0,267024.0,2976800.0,0.9102983069067455
34,6,2883069.5,93730.5,2976800.0,0.9685130005374899
