board,n_parts,used_area,waste_area,board_area,U
1,12,2746878.0,229922.0,2976800.0,0.9227620263370062
2,4,2915220.25,61579.75,2976800.0,0.9793134406073636
3,3,2885510.0,91290.0,2976800.0,0.9693328406342381
4,3,2850550.0,126250.0,2976800.0,0.9575886858371405
5,3,2792942.0,183858.0,2976800.0,0.9382363611932276
6,3,2858031.0,118769.0,2976800.0,0.9601017871539909
7,4,2900920.0,75880.0,2976800.0,0.9745095404461166
8,4,2897920.0,78880.0,2976800.0,0.9735017468422467
9,3,2868040.0,108760.0,2976800.0,0.9634641225477022
10,3,2817810.0,158990.0,2976800.0,0.9465902983069068
11,3,2808090.0,168710.0,2976800.0,0.9433250470303682
12,3,2834094.0,142706.0,2976800.0,0.9520606019887127
13,4,2807668.5,169131.5,2976800.0,0.9431834520290244
14,4,2858294.0,118506.0,2976800.0,0.9601901370599302
15,4,2827234.0,149566.0,2976800.0,0.9497561139478635
16,5,2864770.0,112030.0,2976800.0,0.962365627519484
17,5,2835350.0,141450.0,2976800.0,0.9524825315775329
18,4,2880192.0,96608.0,2976800.0,0.967546358505778
19,4,2854440.0,122360.0,2976800.0,0.9588954582101585
20,5,2821120.0,155680.0,2976800.0,0.9477022305831766
21,7,2739789.5,237010.5,2976800.0,0.9203807780166622
22,5,2814009.5,162790.5,2976800.0,0.9453135917764042
23,5,2833584.25,143215.75,2976800.0,0.9518893610588551
24,5,2776066.25,200733.75,2976800.0,0.9325672702230583
25,5,2882500.5,94299.5,2976800.0,0.9683218556839559
26,4,2863160.5,113639.5,2976800.0,0.9618249462510078
27,5,2885619.75,91180.25,2976800.0,0.9693697090835797
28,4,2762365.0,214435.0,2976800.0,0.927964592851384
29,5,2859787.25,117012.75,2976800.0,0.9606917663262564
30,5,2815559.5,161240.5,2976800.0,0.9458342851384036
31,4,2910208.0,66592.0,2976800.0,0.9776296694436979
32,4,2833898.75,142901.25,2976800.0,0.9519950114216609
33,6,2869071.75,107728.25,2976800.0,0.9638107195646332
34,4,2742312.0,234488.0,2976800.0,0.9212281644719161
35,5,2855395.0,121405.0,2976800.0,0.9592162725073905
36,4,2871872.0,104928.0,2976800.0,0.9647514109110454
37,7,2862196.0,114604.0,2976800.0,0.9615009406073636
38,4,2808698.0,168102.0,2976800.0,0.9435292932007525
39,5,2916432.0,60368.0,2976800.0,0.9797205052405268
40,6,2867584.0,109216.0,2976800.0,0.963310937919914
41,7,2825341.75,151458.25,2976800.0,0.9491204481322225
42,4,2759623.0,217177.0,2976800.0,0.9270434694974469
43,7,2802562.0,174238.0,2976800.0,0.9414680193496372
44,5,2885732.5,91067.5,2976800.0,0.9694075853265252
45,5,2792209.75,184590.25,2976800.0,0.937990375571083
46,6,2779514.75,197285.25,2976800.0,0.9337257289707068
47,4,2807050.25,169749.75,2976800.0,0.942975762563827
48,5,2833444.5,143355.5,2976800.0,0.9518424146734749
49,5,2793365.25,183434.75,2976800.0,0.9383785440741736
50,6,2821983.75,154816.25,2976800.0,0.9479923911582908
51,6,2903779.0,73021.0,2976800.0,0.9754699677506047
52,7,2815340.5,161459.5,2976800.0,0.9457607162053211
53,7,2831628.1,145171.8999999999,2976800.0,0.9512322292394518
54,6,2745656.0,231144.0,2976800.0,0.9223515184090298
55,7,2478956.75,497843.25,2976800.0,0.8327589189733943
56,10,2808827.25,167972.75,2976800.0,0.9435727123085192
57,7,2692827.75,283972.25,2976800.0,0.9046048609244827
