board,n_parts,used_area,waste_area,board_area,U
1,5,2881900.0,94900.0,2976800.0,0.9681201289975813
2,5,2866820.0,109980.0,2976800.0,0.9630542864821284
3,3,2805054.0,171746.0,2976800.0,0.9423051599032518
4,4,2869438.0,107362.0,2976800.0,0.9639337543671056
5,4,2709150.0,267650.0,2976800.0,0.9100880139747379
6,5,2764643.25,212156.75,2976800.0,0.928729928110723
7,5,2898632.0,78168.0,2976800.0,0.9737409298575652
8,5,2829843.5,146956.5,2976800.0,0.9506327264176296
9,5,2865538.0,111262.0,2976800.0,0.9626236226820747
10,7,2896446.6,80353.3999999999,2976800.0,0.9730067858102661
11,8,2847268.0,129532.0,2976800.0,0.9564861596345069
12,6,2867674.0,109126.0,2976800.0,0.9633411717280301
13,7,2815012.0,161788.0,2976800.0,0.9456503628056974
14,6,2789801.45,186998.5499999998,2976800.0,0.9371813524590165
15,4,2839059.5,137740.5,2976800.0,0.9537286683687181
16,6,2868405.0,108395.0,2976800.0,0.9635867374361731
17,7,2815486.0,161314.0,2976800.0,0.9458095941951088
18,4,2413527.0,563273.0,2976800.0,0.8107790244557914
19,7,2813740.75,163059.25,2976800.0,0.9452233102660575
20,7,2832011.25,144788.75,2976800.0,0.951360941279226
21,6,2870613.0,106187.0,2976800.0,0.9643284735286214
22,5,2770516.25,206283.75,2976800.0,0.930702852055899
23,5,2859105.25,117694.75,2976800.0,0.9604626612469767
24,7,2800696.0,176104.0,2976800.0,0.9408411717280301
25,7,2784888.0,191912.0,2976800.0,0.9355307712980382
26,5,2665277.0,311523.0,2976800.0,0.8953497043805428
27,6,2730138.25,246661.75,2976800.0,0.9171386220102123
28,8,2846825.0,129975.0,2976800.0,0.9563373421123353
29,8,2768198.1,208601.8999999999,2976800.0,0.9299241131416286
30,6,2572297.0,404503.0,2976800.0,0.8641148212846009
31,6,2871396.5,105403.5,2976800.0,0.9645916756248321
32,8,2808655.0,168145.0,2976800.0,0.943514848159097
33,7,2872071.0,104729.0,2976800.0,0.9648182612201022
34,10,2851961.0,124839.0,2976800.0,0.9580626847621607
35,7,2700459.65,276340.3500000001,2976800.0,0.9071686542596076
36,7,2800872.5,175927.5,2976800.0,0.9409004635850577
37,6,2684443.5,292356.5,2976800.0,0.9017883297500672
38,7,2656071.0,320729.0,2976800.0,0.8922571217414673
39,7,2666556.3,310243.7000000002,2976800.0,0.8957794611663531
40,6,2460382.0,516418.0,2976800.0,0.8265190808922332
41,9,2772912.0,203888.0,2976800.0,0.9315076592313895
42,9,2646641.1,330158.8999999999,2976800.0,0.889089324106423
43,9,2773083.75,203716.25,2976800.0,0.931565355415211
44,9,2748597.0,228203.0,2976800.0,0.9233394920720237
45,10,2813192.5,163607.5,2976800.0,0.9450391359849503
46,9,2283182.5,693617.5,2976800.0,0.7669922399892501
47,9,2601319.0,375481.0,2976800.0,0.8738642166084386
48,9,2745968.75,230831.25,2976800.0,0.9224565808922333
49,9,2691120.5,285679.5,2976800.0,0.9040313423810804
50,13,2500385.4,476414.6000000001,2976800.0,0.8399574711099167
51,9,2775930.4,200869.6000000001,2976800.0,0.932521633969363
52,10,2577364.0,399436.0,2976800.0,0.8658169846815372
53,13,2692799.75,284000.25,2976800.0,0.9045954548508466
54,11,2650865.5,325934.5,2976800.0,0.8905084318731524
55,13,2686575.75,290224.25,2976800.0,0.9025046190540177
56,10,2605577.75,371222.25,2976800.0,0.8752948636119323
57,11,2736248.5,240551.5,2976800.0,0.9191912456328943
58,10,2703803.5,272996.5,2976800.0,0.9082919578070411
59,9,2564611.5,412188.5,2976800.0,0.8615330220370868
60,8,2001094.15,975705.8500000001,2976800.0,0.672229961703843
61,14,2461968.7,514831.2999999998,2976800.0,0.8270521029293202
62,14,2499798.0,477002.0,2976800.0,0.8397601451222789
63,14,2556987.0,419813.0,2976800.0,0.8589717145928514
64,16,2545297.8,431502.2000000002,2976800.0,0.8550449475947325
65,17,2275816.5,700983.5,2976800.0,0.7645177707605483
66,14,2707696.5,269103.5,2976800.0,0.909599737973663
67,8,2584049.25,392750.75,2976800.0,0.868062768744961
68,9,2487692.0,489108.0,2976800.0,0.8356933619994625
69,11,2720293.0,256507.0,2976800.0,0.9138312953507122
70,4,571212.0,2405588.0,2976800.0,0.19188793335124965
