board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
1,95,95,5.0,591.0,2400.0,550.0,2400.0,550.0,0
1,374,374,5.0,1141.0,2054.0,70.0,2054.0,70.0,0
1,508,508,2335.0,5.0,60.0,564.0,564.0,60.0,1
1,422,422,2059.0,1141.0,315.0,60.0,315.0,60.0,0
2,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
2,66,66,5.0,549.0,2400.0,580.0,2400.0,580.0,0
2,426,426,5.0,1129.0,1614.0,70.0,1614.0,70.0,0
2,541,541,1619.0,1129.0,776.0,70.0,776.0,70.0,0
2,450,450,2355.0,5.0,70.0,416.0,416.0,70.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,36,36,5.0,817.0,2295.0,364.0,2295.0,364.0,0
3,130,130,2300.0,817.0,70.0,333.0,333.0,70.0,1
4,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
4,127,127,5.0,559.0,2382.0,544.0,2382.0,544.0,0
4,469,469,5.0,1103.0,1626.0,110.0,1626.0,110.0,0
4,131,131,1631.0,1103.0,780.0,80.0,780.0,80.0,0
5,342,342,5.0,5.0,2321.0,550.0,2321.0,550.0,0
5,166,166,5.0,555.0,2320.0,554.0,2320.0,554.0,0
5,219,219,5.0,1109.0,1244.0,70.0,1244.0,70.0,0
5,191,191,1249.0,1109.0,1004.0,60.0,1004.0,60.0,0
6,404,404,5.0,5.0,2352.0,530.0,2352.0,530.0,0
6,40,40,5.0,535.0,2382.0,535.0,2382.0,535.0,0
6,509,509,5.0,1070.0,900.0,100.0,900.0,100.0,0
6,372,372,905.0,1070.0,758.0,110.0,758.0,110.0,0
6,198,198,1663.0,1070.0,569.5,123.5,123.5,569.5,1
7,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
7,439,439,5.0,529.0,2279.0,538.0,2279.0,538.0,0
7,209,209,5.0,1067.0,2397.0,146.0,2397.0,146.0,0
7,192,192,2357.0,5.0,70.0,1044.0,1044.0,70.0,1
7,181,181,2284.0,529.0,60.0,284.0,284.0,60.0,1
8,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
8,15,15,5.0,541.0,2220.0,474.0,2220.0,474.0,0
8,403,403,5.0,1015.0,2119.0,184.0,2119.0,184.0,0
8,96,96,2225.0,541.0,154.5,595.0,154.5,595.0,0
8,398,398,2365.0,5.0,60.0,513.0,513.0,60.0,1
9,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
9,185,185,5.0,484.0,2382.0,405.0,2382.0,405.0,0
9,103,103,5.0,889.0,2330.0,312.0,2330.0,312.0,0
9,199,199,2352.0,5.0,75.0,383.0,383.0,75.0,1
9,315,315,2335.0,889.0,70.0,299.0,299.0,70.0,1
10,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
10,311,311,5.0,575.0,2040.0,564.0,2040.0,564.0,0
10,116,116,2045.0,5.0,308.0,767.7,767.7,308.0,1
10,428,428,2045.0,772.7,357.0,375.0,375.0,357.0,1
10,80,80,5.0,1139.0,1600.0,75.0,1600.0,75.0,0
10,540,540,1605.0,1147.7,820.0,60.0,820.0,60.0,0
10,289,289,2353.0,5.0,60.0,726.0,726.0,60.0,1
11,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
11,215,215,5.0,459.0,2040.0,549.0,2040.0,549.0,0
11,35,35,2045.0,5.0,333.0,844.0,844.0,333.0,1
11,408,408,5.0,1008.0,1565.0,200.0,1565.0,200.0,0
11,534,534,2045.0,849.0,280.0,263.0,263.0,280.0,1
11,214,214,1570.0,1008.0,405.0,199.0,405.0,199.0,0
11,128,128,1975.0,1112.0,383.0,75.0,383.0,75.0,0
11,169,169,2358.0,849.0,70.0,344.8,344.8,70.0,1
12,76,76,5.0,5.0,2000.0,554.0,2000.0,554.0,0
12,294,294,5.0,559.0,2353.0,370.0,2353.0,370.0,0
12,301,301,5.0,929.0,2290.0,279.0,2290.0,279.0,0
12,7,7,2005.0,5.0,373.0,384.0,384.0,373.0,1
12,314,314,2358.0,389.0,70.0,773.0,773.0,70.0,1
12,242,242,2005.0,389.0,326.0,162.0,162.0,326.0,1
13,26,26,5.0,5.0,2090.0,363.0,2090.0,363.0,0
13,385,385,5.0,368.0,2222.0,350.0,2222.0,350.0,0
13,81,81,5.0,718.0,2100.0,334.0,2100.0,334.0,0
13,358,358,5.0,1052.0,2345.0,159.0,2345.0,159.0,0
13,132,132,2227.0,5.0,100.0,900.0,900.0,100.0,1
13,222,222,2350.0,5.0,70.0,1089.0,1089.0,70.0,1
13,221,221,2095.0,5.0,118.5,322.0,118.5,322.0,0
