board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,22,cgcut2_0022,0.0,0.0,7.0,13.0,13.0,7.0,1
1,18,cgcut2_0018,0.0,13.0,8.0,12.0,12.0,8.0,1
1,20,cgcut2_0020,0.0,25.0,8.0,12.0,12.0,8.0,1
1,19,cgcut2_0019,0.0,37.0,8.0,12.0,12.0,8.0,1
1,1,cgcut2_0001,0.0,49.0,22.0,21.0,21.0,22.0,1
1,7,cgcut2_0007,7.0,0.0,24.0,9.0,9.0,24.0,1
1,5,cgcut2_0005,31.0,0.0,9.0,35.0,9.0,35.0,0
1,4,cgcut2_0004,22.0,35.0,9.0,35.0,9.0,35.0,0
1,3,cgcut2_0003,31.0,35.0,9.0,35.0,9.0,35.0,0
1,9,cgcut2_0009,8.0,9.0,7.0,30.0,30.0,7.0,1
1,10,cgcut2_0010,15.0,9.0,7.0,30.0,30.0,7.0,1
1,14,cgcut2_0014,8.0,39.0,14.0,10.0,10.0,14.0,1
1,8,cgcut2_0008,22.0,9.0,9.0,24.0,9.0,24.0,0
2,6,cgcut2_0006,0.0,0.0,9.0,24.0,9.0,24.0,0
2,17,cgcut2_0017,0.0,24.0,8.0,14.0,14.0,8.0,1
2,16,cgcut2_0016,0.0,38.0,8.0,14.0,14.0,8.0,1
2,12,cgcut2_0012,0.0,52.0,13.0,11.0,11.0,13.0,1
2,11,cgcut2_0011,8.0,24.0,13.0,11.0,11.0,13.0,1
2,15,cgcut2_0015,8.0,35.0,14.0,8.0,14.0,8.0,0
2,23,cgcut2_0023,0.0,63.0,13.0,7.0,13.0,7.0,0
2,21,cgcut2_0021,9.0,0.0,13.0,7.0,13.0,7.0,0
2,2,cgcut2_0002,9.0,7.0,31.0,13.0,31.0,13.0,0
2,13,cgcut2_0013,21.0,20.0,13.0,11.0,11.0,13.0,1
