board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,6,gcut2_0006,0.0,0.0,135.0,97.0,135.0,97.0,0
1,9,gcut2_0009,0.0,97.0,176.0,71.0,71.0,176.0,1
1,20,gcut2_0020,0.0,168.0,155.0,76.0,155.0,76.0,0
1,10,gcut2_0010,176.0,0.0,72.0,153.0,153.0,72.0,1
1,19,gcut2_0019,176.0,153.0,68.0,94.0,68.0,94.0,0
2,15,gcut2_0015,0.0,0.0,132.0,159.0,132.0,159.0,0
2,7,gcut2_0007,0.0,159.0,175.0,91.0,91.0,175.0,1
2,14,gcut2_0014,132.0,0.0,109.0,140.0,140.0,109.0,1
2,3,gcut2_0003,175.0,140.0,75.0,86.0,86.0,75.0,1
3,13,gcut2_0013,0.0,0.0,118.0,90.0,118.0,90.0,0
3,8,gcut2_0008,118.0,0.0,131.0,176.0,131.0,176.0,0
3,16,gcut2_0016,0.0,90.0,93.0,152.0,152.0,93.0,1
3,17,gcut2_0017,93.0,176.0,135.0,68.0,135.0,68.0,0
4,1,gcut2_0001,0.0,0.0,120.0,133.0,120.0,133.0,0
4,18,gcut2_0018,120.0,0.0,121.0,158.0,121.0,158.0,0
4,11,gcut2_0011,0.0,158.0,148.0,87.0,87.0,148.0,1
4,5,gcut2_0005,148.0,158.0,85.0,66.0,66.0,85.0,1
5,2,gcut2_0002,0.0,0.0,135.0,186.0,135.0,186.0,0
5,12,gcut2_0012,135.0,0.0,107.0,168.0,168.0,107.0,1
5,4,gcut2_0004,135.0,168.0,103.0,73.0,103.0,73.0,0
