board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,2,gcut9_0002,0.0,0.0,673.0,468.0,673.0,468.0,0
1,3,gcut9_0003,0.0,468.0,463.0,426.0,426.0,463.0,1
1,9,gcut9_0009,673.0,0.0,305.0,688.0,305.0,688.0,0
1,6,gcut9_0006,463.0,688.0,455.0,292.0,292.0,455.0,1
2,5,gcut9_0005,0.0,0.0,555.0,540.0,555.0,540.0,0
2,10,gcut9_0010,0.0,540.0,607.0,459.0,459.0,607.0,1
2,8,gcut9_0008,555.0,0.0,362.0,491.0,362.0,491.0,0
2,4,gcut9_0004,607.0,491.0,325.0,498.0,325.0,498.0,0
3,1,gcut9_0001,0.0,0.0,310.0,426.0,310.0,426.0,0
3,7,gcut9_0007,0.0,426.0,343.0,341.0,343.0,341.0,0
