board,n_parts,used_area,waste_area,board_area,U
1,5,2886560.0,90240.0,2976800.0,0.9696855683955926
2,3,2845699.0,131101.0,2976800.0,0.9559590835796828
3,5,2889570.0,87230.0,2976800.0,0.9706967213114754
4,4,2869438.0,107362.0,2976800.0,0.9639337543671056
5,5,2825450.0,151350.0,2976800.0,0.9491568126847622
6,6,2806490.0,170310.0,2976800.0,0.9427875571083042
7,6,2835848.0,140952.0,2976800.0,0.9526498253157754
8,7,2792962.0,183838.0,2976800.0,0.9382430798172534
9,6,2879089.0,97711.0,2976800.0,0.9671758263907552
10,6,2879180.0,97620.0,2976800.0,0.9672063961300725
11,6,2826555.65,150244.3500000001,2976800.0,0.9495282350174684
12,7,2827988.0,148812.0,2976800.0,0.9500094060736362
13,4,2489586.0,487214.0,2976800.0,0.8363296156947058
14,6,2900126.5,76673.5,2976800.0,0.974242979037893
15,6,2788980.0,187820.0,2976800.0,0.9369054017737167
16,7,2806776.6,170023.3999999999,2976800.0,0.9428838349905939
17,7,2807625.5,169174.5,2976800.0,0.9431690069873689
18,6,2836315.3,140484.7000000002,2976800.0,0.9528068059661381
19,6,2760370.0,216430.0,2976800.0,0.9272944101048105
20,5,2792731.25,184068.75,2976800.0,0.9381655636925558
21,6,2825482.5,151317.5,2976800.0,0.9491677304488041
22,6,2724939.25,251860.75,2976800.0,0.9153921156947057
23,7,2879391.25,97408.75,2976800.0,0.967277361596345
24,5,2723801.0,252999.0,2976800.0,0.9150097420048374
25,6,2803567.0,173233.0,2976800.0,0.9418056302069336
26,5,2444230.85,532569.1499999999,2976800.0,0.8210934056705187
27,4,2509945.0,466855.0,2976800.0,0.8431688390217683
28,6,2866010.0,110790.0,2976800.0,0.9627821822090836
29,5,2801141.25,175658.75,2976800.0,0.9409907450954045
30,6,2717055.5,259744.5,2976800.0,0.9127437180865359
31,7,2800763.25,176036.75,2976800.0,0.9408637631013168
32,7,2690859.0,285941.0,2976800.0,0.903943496371943
33,8,2797990.0,178810.0,2976800.0,0.9399321418973394
34,5,2686007.0,290793.0,2976800.0,0.9023135581832841
35,7,2750493.75,226306.25,2976800.0,0.9239766695780705
36,5,2661163.5,315636.5,2976800.0,0.8939678513840366
37,6,2786276.75,190523.25,2976800.0,0.9359972957538296
38,11,2838244.0,138556.0,2976800.0,0.9534547164740661
39,9,2781270.5,195529.5,2976800.0,0.9343155401773717
40,8,2742150.45,234649.5499999998,2976800.0,0.9211738947863478
41,8,2740835.0,235965.0,2976800.0,0.9207319940876109
42,8,2644265.75,332534.25,2976800.0,0.8882913699274388
43,7,2349644.75,627155.25,2976800.0,0.7893189834721849
44,10,2360189.0,616611.0,2976800.0,0.7928611260413867
45,10,2719013.5,257786.5,2976800.0,0.9134014713786617
46,12,2324455.25,652344.75,2976800.0,0.7808570444772911
47,9,2650024.75,326775.25,2976800.0,0.8902259977156678
48,12,2830396.0,146404.0,2976800.0,0.9508183284063424
49,11,2670673.0,306127.0,2976800.0,0.8971623891427035
50,10,2738766.75,238033.25,2976800.0,0.9200372043805428
51,12,2664172.5,312627.5,2976800.0,0.8949786683687181
52,11,2791904.0,184896.0,2976800.0,0.9378876646062886
53,10,2712126.5,264673.5,2976800.0,0.9110879131953776
54,9,2600103.75,376696.25,2976800.0,0.873455976216071
55,14,2509073.8,467726.2000000002,2976800.0,0.8428761757592045
56,10,2489175.25,487624.75,2976800.0,0.8361916319537759
57,8,2502535.0,474265.0,2976800.0,0.8406795888202097
58,11,2703322.5,273477.5,2976800.0,0.9081303748992207
59,10,2613752.5,363047.5,2976800.0,0.8780410171996775
60,12,2572863.0,403937.0,2976800.0,0.864304958344531
61,14,2685127.5,291672.5,2976800.0,0.9020181066917495
62,12,2617495.0,359305.0,2976800.0,0.8792982397205052
63,11,2541337.5,435462.5,2976800.0,0.8537145592582639
64,16,2522522.35,454277.6499999999,2976800.0,0.8473939633163129
65,17,2495178.65,481621.3500000001,2976800.0,0.8382083613276001
66,15,2461790.0,515010.0,2976800.0,0.8269920720236495
67,13,2428486.0,548314.0,2976800.0,0.8158042192958882
68,9,2764019.0,212781.0,2976800.0,0.9285202230583176
69,7,2415008.0,561792.0,2976800.0,0.8112765385649019
70,4,1016577.5,1960222.5,2976800.0,0.3415001007793604
