uid,step
69,1
278,2
13,3
66,4
302,5
95,6
127,7
4,8
166,9
410,10
342,11
430,12
294,13
54,14
40,15
439,16
404,17
185,18
162,19
311,20
152,21
15,22
347,23
215,24
76,25
385,26
26,27
36,28
434,29
492,30
176,31
142,32
254,33
475,34
301,35
330,36
74,37
51,38
70,39
521,40
236,41
84,42
338,43
350,44
362,45
464,46
118,47
395,48
133,49
238,50
187,51
22,52
60,53
527,54
103,55
200,56
288,57
378,58
47,59
146,60
123,61
82,62
477,63
251,64
506,65
345,66
563,67
431,68
268,69
89,70
296,71
41,72
515,73
43,74
203,75
286,76
135,77
182,78
194,79
452,80
149,81
227,82
154,83
401,84
68,85
481,86
354,87
72,88
136,89
224,90
201,91
164,92
503,93
151,94
57,95
107,96
148,97
551,98
156,99
552,100
364,101
98,102
137,103
449,104
282,105
56,106
474,107
368,108
24,109
124,110
172,111
273,112
500,113
249,114
258,115
42,116
349,117
414,118
514,119
165,120
512,121
300,122
497,123
555,124
6,125
260,126
141,127
480,128
304,129
501,130
32,131
377,132
86,133
104,134
459,135
403,136
358,137
209,138
216,139
116,140
106,141
253,142
155,143
388,144
469,145
144,146
397,147
159,148
374,149
472,150
225,151
292,152
92,153
80,154
380,155
545,156
291,157
440,158
359,159
351,160
353,161
426,162
548,163
428,164
240,165
184,166
495,167
7,168
357,169
108,170
550,171
442,172
318,173
207,174
132,175
293,176
222,177
211,178
192,179
96,180
2,181
179,182
484,183
220,184
233,185
102,186
73,187
334,188
131,189
180,190
117,191
511,192
509,193
191,194
537,195
129,196
219,197
409,198
335,199
518,200
303,201
524,202
115,203
261,204
19,205
529,206
17,207
246,208
386,209
255,210
259,211
188,212
476,213
465,214
447,215
337,216
264,217
332,218
369,219
483,220
448,221
507,222
262,223
229,224
196,225
250,226
157,227
232,228
206,229
542,230
161,231
519,232
208,233
11,234
87,235
218,236
540,237
432,238
237,239
204,240
487,241
496,242
305,243
510,244
267,245
239,246
533,247
516,248
373,249
541,250
289,251
314,252
408,253
508,254
398,255
223,256
197,257
307,258
325,259
90,260
210,261
269,262
101,263
375,264
372,265
85,266
473,267
212,268
382,269
316,270
112,271
352,272
331,273
205,274
83,275
413,276
400,277
158,278
467,279
298,280
333,281
418,282
436,283
387,284
139,285
138,286
416,287
505,288
248,289
290,290
549,291
451,292
77,293
189,294
532,295
443,296
67,297
310,298
539,299
64,300
71,301
313,302
319,303
186,304
94,305
62,306
441,307
315,308
243,309
100,310
34,311
263,312
450,313
280,314
48,315
479,316
178,317
422,318
113,319
199,320
128,321
61,322
8,323
140,324
177,325
241,326
456,327
526,328
535,329
471,330
202,331
257,332
198,333
175,334
37,335
559,336
407,337
324,338
284,339
322,340
381,341
21,342
406,343
163,344
327,345
554,346
564,347
468,348
458,349
412,350
384,351
502,352
173,353
266,354
306,355
488,356
181,357
470,358
221,359
59,360
39,361
411,362
147,363
16,364
523,365
44,366
29,367
169,368
424,369
168,370
130,371
491,372
58,373
517,374
228,375
53,376
489,377
23,378
435,379
543,380
494,381
453,382
31,383
438,384
295,385
417,386
299,387
341,388
478,389
277,390
28,391
425,392
244,393
530,394
421,395
463,396
242,397
114,398
336,399
170,400
18,401
279,402
391,403
558,404
405,405
297,406
252,407
379,408
525,409
343,410
213,411
419,412
355,413
321,414
110,415
99,416
27,417
326,418
455,419
340,420
79,421
371,422
75,423
531,424
534,425
271,426
433,427
346,428
193,429
329,430
423,431
402,432
490,433
486,434
35,435
265,436
274,437
399,438
285,439
20,440
145,441
109,442
256,443
356,444
553,445
5,446
393,447
366,448
363,449
367,450
167,451
392,452
183,453
134,454
52,455
125,456
174,457
460,458
344,459
485,460
287,461
49,462
389,463
93,464
78,465
544,466
504,467
328,468
195,469
528,470
420,471
214,472
547,473
1,474
190,475
429,476
444,477
121,478
38,479
445,480
126,481
150,482
50,483
415,484
308,485
560,486
482,487
245,488
63,489
33,490
97,491
55,492
231,493
309,494
394,495
234,496
339,497
320,498
520,499
88,500
317,501
312,502
556,503
283,504
348,505
217,506
276,507
466,508
522,509
111,510
361,511
562,512
498,513
493,514
536,515
370,516
119,517
25,518
46,519
226,520
122,521
454,522
365,523
30,524
461,525
557,526
171,527
272,528
499,529
14,530
10,531
446,532
396,533
230,534
12,535
235,536
383,537
275,538
45,539
91,540
9,541
120,542
546,543
323,544
457,545
81,546
270,547
160,548
281,549
65,550
3,551
153,552
143,553
462,554
105,555
376,556
513,557
247,558
427,559
437,560
538,561
360,562
561,563
390,564
