board,n_parts,used_area,waste_area,board_area,U
1,5,2755390.0,221410.0,2976800.0,0.9256214727223865
2,2,2781744.0,195056.0,2976800.0,0.9344746036011825
3,4,2887050.0,89750.0,2976800.0,0.9698501746842246
4,5,2903370.0,73430.0,2976800.0,0.975332571889277
5,5,2855908.0,120892.0,2976800.0,0.9593886052136522
6,5,2775240.0,201560.0,2976800.0,0.9322897070679925
7,4,2879960.0,96840.0,2976800.0,0.9674684224670788
8,3,2542995.25,433804.75,2976800.0,0.8542714492072023
9,5,2904992.5,71807.5,2976800.0,0.9758776202633701
10,5,2836191.5,140608.5,2976800.0,0.9527652176834185
11,8,2820519.0,156281.0,2976800.0,0.9475003359312013
12,5,2726212.0,250588.0,2976800.0,0.9158196721311476
13,5,2746907.45,229892.5499999998,2976800.0,0.9227719195108842
14,7,2846870.0,129930.0,2976800.0,0.9563524590163934
15,7,2889840.0,86960.0,2976800.0,0.9707874227358237
16,6,2877850.5,98949.5,2976800.0,0.9667597755979576
17,6,2891967.0,84833.0,2976800.0,0.9715019484009675
18,11,2818386.0,158414.0,2976800.0,0.9467837946788498
19,8,2770222.0,206578.0,2976800.0,0.9306040042999194
20,7,2897137.0,79663.0,2976800.0,0.9732387127116366
21,5,2703123.0,273677.0,2976800.0,0.9080633566245633
22,6,2831902.25,144897.75,2976800.0,0.9513243247782854
23,5,2879573.85,97226.1499999999,2976800.0,0.9673387026337007
24,7,2842276.0,134524.0,2976800.0,0.9548091910776673
25,7,2778302.0,198498.0,2976800.0,0.9333183284063424
26,8,2809744.0,167056.0,2976800.0,0.9438806772373018
27,6,2730713.25,246086.75,2976800.0,0.917331782450954
28,5,2663389.25,313410.75,2976800.0,0.8947155502553077
29,7,2778415.0,198385.0,2976800.0,0.9333562886320882
30,8,2838304.25,138495.75,2976800.0,0.9534749563289439
31,6,2792744.5,184055.5,2976800.0,0.9381700147809728
32,5,2737251.5,239548.5,2976800.0,0.9195281846277882
33,5,2788250.0,188550.0,2976800.0,0.9366601719967751
34,6,2792633.05,184166.9500000002,2976800.0,0.9381325752485891
35,9,2760377.0,216423.0,2976800.0,0.9272967616232196
36,7,2710301.0,266499.0,2976800.0,0.9104746707874227
37,7,2836208.65,140591.3500000001,2976800.0,0.9527709789035206
38,9,2719087.0,257713.0,2976800.0,0.9134261623219565
39,8,2582282.1,394517.8999999999,2976800.0,0.8674691279226014
40,8,2685265.75,291534.25,2976800.0,0.9020645491803279
41,9,2714277.65,262522.3500000001,2976800.0,0.9118105515990325
42,7,2498155.0,478645.0,2976800.0,0.8392082101585595
43,8,2691945.75,284854.25,2976800.0,0.9043085696049449
44,10,2502487.5,474312.5,2976800.0,0.8406636320881483
45,10,2449694.5,527105.5,2976800.0,0.8229288161784467
46,8,2576833.0,399967.0,2976800.0,0.8656386052136522
47,8,2624823.75,351976.25,2976800.0,0.8817601955119592
48,18,2661550.15,315249.8500000001,2976800.0,0.8940977391830153
49,11,2656317.0,320483.0,2976800.0,0.8923397608169846
50,15,2377897.0,598903.0,2976800.0,0.7988097957538296
51,10,2796570.25,180229.75,2976800.0,0.939455203574308
52,11,2667087.0,309713.0,2976800.0,0.8959577398548777
53,9,2690252.5,286547.5,2976800.0,0.9037397540983606
54,10,2643757.0,333043.0,2976800.0,0.8881204649287826
55,10,2583931.5,392868.5,2976800.0,0.8680232128460091
56,8,2519636.0,457164.0,2976800.0,0.8464243482934695
57,9,2480609.6,496190.3999999999,2976800.0,0.8333141628594464
58,10,2423624.2,553175.7999999998,2976800.0,0.8141709889814567
59,10,2486193.75,490606.25,2976800.0,0.8351900530771298
60,10,2533586.0,443214.0,2976800.0,0.8511105885514647
61,10,2453974.5,522825.5,2976800.0,0.8243666017199678
62,11,2393556.5,583243.5,2976800.0,0.80407031040043
63,11,2430347.0,546453.0,2976800.0,0.8164293872614888
64,12,2364410.5,612389.5,2976800.0,0.7942792596076323
65,14,2581168.8,395631.2000000002,2976800.0,0.8670951357162052
66,14,2430314.25,546485.75,2976800.0,0.8164183855146466
67,9,2435117.0,541683.0,2976800.0,0.818031779091642
68,10,2541706.0,435094.0,2976800.0,0.8538383499059392
69,14,2635460.0,341340.0,2976800.0,0.8853332437516797
70,11,1798777.4,1178022.6,2976800.0,0.6042654528352593
