uid,step
392,1
410,2
301,3
13,4
4,5
66,6
95,7
302,8
36,9
127,10
40,11
166,12
342,13
294,14
430,15
404,16
439,17
185,18
54,19
152,20
162,21
215,22
311,23
15,24
347,25
76,26
385,27
26,28
160,29
270,30
81,31
176,32
434,33
142,34
521,35
492,36
330,37
464,38
475,39
254,40
51,41
118,42
338,43
527,44
236,45
84,46
70,47
362,48
74,49
350,50
103,51
133,52
238,53
123,54
187,55
22,56
395,57
60,58
288,59
200,60
47,61
146,62
378,63
251,64
477,65
563,66
506,67
41,68
345,69
268,70
182,71
82,72
203,73
296,74
515,75
431,76
278,77
286,78
43,79
69,80
68,81
194,82
89,83
452,84
227,85
552,86
154,87
401,88
224,89
135,90
481,91
72,92
551,93
136,94
201,95
503,96
364,97
151,98
57,99
149,100
164,101
354,102
148,103
249,104
156,105
24,106
98,107
349,108
137,109
368,110
282,111
107,112
474,113
202,114
172,115
304,116
449,117
42,118
555,119
104,120
414,121
165,122
329,123
56,124
273,125
295,126
497,127
500,128
124,129
258,130
512,131
141,132
501,133
459,134
480,135
550,136
514,137
554,138
300,139
260,140
403,141
209,142
106,143
32,144
419,145
397,146
358,147
469,148
144,149
388,150
440,151
374,152
225,153
7,154
159,155
80,156
292,157
545,158
426,159
92,160
291,161
472,162
359,163
518,164
240,165
548,166
114,167
179,168
211,169
173,170
253,171
108,172
139,173
219,174
547,175
155,176
222,177
121,178
126,179
293,180
132,181
192,182
170,183
96,184
79,185
131,186
102,187
318,188
484,189
233,190
78,191
180,192
467,193
334,194
117,195
442,196
220,197
511,198
509,199
325,200
307,201
269,202
195,203
485,204
327,205
438,206
31,207
138,208
328,209
341,210
27,211
441,212
533,213
207,214
281,215
191,216
516,217
343,218
502,219
129,220
206,221
314,222
372,223
537,224
534,225
490,226
55,227
379,228
197,229
541,230
256,231
507,232
525,233
213,234
346,235
436,236
352,237
370,238
510,239
483,240
239,241
214,242
540,243
542,244
408,245
332,246
101,247
280,248
279,249
393,250
402,251
208,252
411,253
10,254
377,255
48,256
178,257
150,258
267,259
113,260
466,261
353,262
276,263
448,264
499,265
520,266
450,267
422,268
199,269
128,270
169,271
130,272
315,273
16,274
360,275
357,276
407,277
324,278
284,279
44,280
348,281
99,282
495,283
196,284
504,285
204,286
23,287
283,288
217,289
45,290
109,291
247,292
161,293
517,294
20,295
218,296
519,297
87,298
145,299
5,300
535,301
373,302
34,303
473,304
471,305
526,306
257,307
289,308
198,309
433,310
444,311
262,312
417,313
38,314
50,315
356,316
553,317
285,318
299,319
63,320
232,321
242,322
271,323
25,324
428,325
446,326
396,327
323,328
394,329
223,330
67,331
230,332
309,333
234,334
549,335
437,336
119,337
77,338
11,339
443,340
479,341
316,342
451,343
189,344
210,345
476,346
382,347
231,348
90,349
168,350
212,351
564,352
561,353
85,354
375,355
75,356
494,357
435,358
491,359
465,360
456,361
310,362
424,363
409,364
65,365
335,366
6,367
361,368
505,369
508,370
140,371
387,372
321,373
143,374
447,375
8,376
14,377
277,378
244,379
157,380
91,381
425,382
539,383
558,384
413,385
453,386
543,387
478,388
405,389
86,390
312,391
175,392
365,393
336,394
3,395
64,396
398,397
319,398
298,399
389,400
287,401
49,402
190,403
193,404
18,405
116,406
544,407
406,408
167,409
21,410
429,411
486,412
163,413
391,414
125,415
265,416
35,417
297,418
366,419
241,420
93,421
245,422
487,423
556,424
110,425
322,426
462,427
259,428
1,429
455,430
248,431
468,432
37,433
381,434
423,435
30,436
100,437
52,438
177,439
306,440
158,441
400,442
367,443
470,444
488,445
463,446
243,447
303,448
333,449
12,450
186,451
340,452
418,453
97,454
412,455
235,456
528,457
122,458
326,459
458,460
221,461
390,462
9,463
531,464
399,465
229,466
120,467
46,468
73,469
174,470
532,471
61,472
557,473
171,474
524,475
115,476
363,477
376,478
445,479
88,480
454,481
111,482
339,483
522,484
228,485
427,486
250,487
421,488
415,489
355,490
308,491
460,492
58,493
560,494
559,495
482,496
546,497
246,498
523,499
62,500
183,501
94,502
274,503
71,504
17,505
489,506
226,507
134,508
420,509
562,510
153,511
205,512
105,513
216,514
331,515
28,516
83,517
255,518
112,519
188,520
266,521
461,522
29,523
371,524
529,525
380,526
493,527
252,528
513,529
305,530
264,531
457,532
19,533
369,534
237,535
498,536
386,537
432,538
530,539
383,540
59,541
320,542
184,543
536,544
344,545
263,546
272,547
181,548
337,549
33,550
496,551
147,552
384,553
53,554
351,555
317,556
2,557
275,558
313,559
290,560
416,561
39,562
538,563
261,564
