board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
1,74,74,5.0,549.0,2321.0,334.0,2321.0,334.0,0
1,464,464,5.0,883.0,2395.0,315.0,2395.0,315.0,0
1,542,542,2355.0,5.0,60.0,832.0,832.0,60.0,1
2,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
2,302,302,5.0,585.0,2330.0,586.0,2330.0,586.0,0
2,375,375,2335.0,585.0,70.0,509.0,509.0,70.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,36,36,5.0,817.0,2295.0,364.0,2295.0,364.0,0
4,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
4,127,127,5.0,559.0,2382.0,544.0,2382.0,544.0,0
4,469,469,5.0,1103.0,1626.0,110.0,1626.0,110.0,0
4,510,510,1631.0,1103.0,777.0,60.0,777.0,60.0,0
5,95,95,5.0,5.0,2400.0,550.0,2400.0,550.0,0
5,166,166,5.0,555.0,2320.0,554.0,2320.0,554.0,0
5,374,374,5.0,1109.0,2054.0,70.0,2054.0,70.0,0
5,450,450,2325.0,555.0,70.0,416.0,416.0,70.0,1
6,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
6,342,342,5.0,540.0,2321.0,550.0,2321.0,550.0,0
6,397,397,5.0,1090.0,1724.0,120.0,1724.0,120.0,0
6,223,223,2326.0,540.0,70.0,564.0,564.0,70.0,1
6,210,210,1729.0,1090.0,519.0,70.0,519.0,70.0,0
7,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
7,404,404,5.0,541.0,2352.0,530.0,2352.0,530.0,0
7,426,426,5.0,1071.0,1614.0,70.0,1614.0,70.0,0
7,240,240,5.0,1141.0,1550.0,70.0,1550.0,70.0,0
7,484,484,2365.0,5.0,60.0,1164.0,1164.0,60.0,1
7,239,239,1555.0,1141.0,776.0,60.0,776.0,60.0,0
7,373,373,1619.0,1071.0,726.0,60.0,726.0,60.0,0
8,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
8,439,439,5.0,529.0,2279.0,538.0,2279.0,538.0,0
8,209,209,5.0,1067.0,2397.0,146.0,2397.0,146.0,0
8,192,192,2357.0,5.0,70.0,1044.0,1044.0,70.0,1
8,398,398,2284.0,529.0,60.0,513.0,513.0,60.0,1
9,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
9,185,185,5.0,484.0,2382.0,405.0,2382.0,405.0,0
9,527,527,5.0,889.0,2332.0,320.0,2332.0,320.0,0
9,199,199,2352.0,5.0,75.0,383.0,383.0,75.0,1
9,181,181,2337.0,889.0,60.0,284.0,284.0,60.0,1
10,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
10,215,215,5.0,575.0,2040.0,549.0,2040.0,549.0,0
10,38,38,2045.0,5.0,340.0,723.5,723.5,340.0,1
10,80,80,5.0,1124.0,1600.0,75.0,1600.0,75.0,0
10,428,428,2045.0,728.5,375.0,357.0,375.0,357.0,0
10,540,540,1605.0,1124.0,820.0,60.0,820.0,60.0,0
11,15,15,5.0,5.0,2220.0,474.0,2220.0,474.0,0
11,76,76,5.0,479.0,2000.0,554.0,2000.0,554.0,0
11,358,358,5.0,1033.0,2345.0,159.0,2345.0,159.0,0
11,334,334,2005.0,479.0,279.0,425.5,425.5,279.0,1
11,220,220,2284.0,5.0,70.0,944.0,944.0,70.0,1
11,129,129,2354.0,5.0,60.0,953.0,953.0,60.0,1
12,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
12,385,385,5.0,569.0,2222.0,350.0,2222.0,350.0,0
12,142,142,5.0,919.0,2320.0,288.0,2320.0,288.0,0
