board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,147,147,5.0,5.0,433.0,417.8,417.8,433.0,1
1,45,45,5.0,422.8,382.0,321.0,382.0,321.0,0
1,309,309,5.0,743.8,373.0,323.0,373.0,323.0,0
1,549,549,378.0,743.8,361.0,323.0,323.0,361.0,1
1,119,119,438.0,5.0,373.0,311.0,373.0,311.0,0
1,77,77,811.0,5.0,364.0,311.0,364.0,311.0,0
1,247,247,1175.0,5.0,384.0,294.0,384.0,294.0,0
1,272,272,1559.0,5.0,388.5,284.0,388.5,284.0,0
1,350,350,739.0,316.0,1629.0,508.0,1629.0,508.0,0
1,203,203,739.0,824.0,1543.0,380.0,1543.0,380.0,0
1,466,466,1947.5,5.0,448.0,305.0,448.0,305.0,0
1,499,499,387.0,422.8,310.0,293.0,310.0,293.0,0
1,198,198,5.0,1066.8,569.5,123.5,123.5,569.5,1
2,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
2,301,301,5.0,549.0,2290.0,279.0,2290.0,279.0,0
2,294,294,5.0,828.0,2353.0,370.0,2353.0,370.0,0
2,131,131,2355.0,5.0,80.0,780.0,780.0,80.0,1
2,450,450,2358.0,785.0,70.0,416.0,416.0,70.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,36,36,5.0,817.0,2295.0,364.0,2295.0,364.0,0
3,221,221,2300.0,817.0,118.5,322.0,118.5,322.0,0
4,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
4,66,66,5.0,559.0,2400.0,580.0,2400.0,580.0,0
4,374,374,5.0,1139.0,2054.0,70.0,2054.0,70.0,0
4,422,422,2059.0,1139.0,315.0,60.0,315.0,60.0,0
5,95,95,5.0,5.0,2400.0,550.0,2400.0,550.0,0
5,302,302,5.0,555.0,2330.0,586.0,2330.0,586.0,0
5,426,426,5.0,1141.0,1614.0,70.0,1614.0,70.0,0
5,314,314,1619.0,1141.0,773.0,70.0,773.0,70.0,0
5,178,178,2335.0,555.0,100.0,509.0,509.0,100.0,1
6,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
6,40,40,5.0,549.0,2382.0,535.0,2382.0,535.0,0
6,397,397,5.0,1084.0,1724.0,120.0,1724.0,120.0,0
6,208,208,1729.0,1084.0,643.0,70.0,643.0,70.0,0
6,508,508,1729.0,1154.0,564.0,60.0,564.0,60.0,0
7,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
7,342,342,5.0,559.0,2321.0,550.0,2321.0,550.0,0
7,80,80,5.0,1109.0,1600.0,75.0,1600.0,75.0,0
7,540,540,1605.0,1109.0,820.0,60.0,820.0,60.0,0
8,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
8,404,404,5.0,541.0,2352.0,530.0,2352.0,530.0,0
8,484,484,2365.0,5.0,60.0,1164.0,1164.0,60.0,1
8,207,207,5.0,1071.0,1394.0,60.0,1394.0,60.0,0
8,191,191,5.0,1131.0,1004.0,60.0,1004.0,60.0,0
8,516,516,1009.0,1131.0,844.0,70.0,844.0,70.0,0
8,129,129,1399.0,1071.0,953.0,60.0,953.0,60.0,0
8,128,128,1853.0,1131.0,383.0,75.0,383.0,75.0,0
9,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
9,185,185,5.0,543.0,2382.0,405.0,2382.0,405.0,0
9,278,278,5.0,948.0,2340.0,242.0,2340.0,242.0,0
9,375,375,2284.0,5.0,70.0,509.0,509.0,70.0,1
10,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
10,152,152,5.0,529.0,2347.0,479.0,2347.0,479.0,0
10,403,403,5.0,1008.0,2119.0,184.0,2119.0,184.0,0
10,20,20,2124.0,1008.0,300.0,182.0,182.0,300.0,1
11,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
11,215,215,5.0,575.0,2040.0,549.0,2040.0,549.0,0
11,159,159,2045.0,5.0,303.0,844.0,844.0,303.0,1
11,240,240,5.0,1124.0,1550.0,70.0,1550.0,70.0,0
11,192,192,2348.0,5.0,70.0,1044.0,1044.0,70.0,1
11,533,533,1555.0,1124.0,844.0,70.0,844.0,70.0,0
11,534,534,2045.0,849.0,280.0,263.0,263.0,280.0,1
12,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
12,15,15,5.0,569.0,2220.0,474.0,2220.0,474.0,0
12,106,106,5.0,1043.0,2119.0,160.0,2119.0,160.0,0
12,292,292,2225.0,5.0,123.5,1045.5,123.5,1045.5,0
12,179,179,2348.5,5.0,80.0,1209.5,1209.5,80.0,1
12,433,433,2045.0,5.0,152.0,511.0,511.0,152.0,1
13,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
13,76,76,5.0,459.0,2000.0,554.0,2000.0,554.0,0
13,547,547,2005.0,459.0,409.0,713.5,713.5,409.0,1
13,281,281,5.0,1013.0,1191.0,200.0,1191.0,200.0,0
13,537,537,2045.0,5.0,259.0,441.0,441.0,259.0,1
13,214,214,1196.0,1013.0,405.0,199.0,405.0,199.0,0
13,262,262,1601.0,1013.0,326.0,198.0,326.0,198.0,0
