uid,step
147,1
45,2
309,3
549,4
119,5
77,6
247,7
272,8
410,9
301,10
13,11
4,12
66,13
95,14
302,15
36,16
127,17
40,18
166,19
342,20
294,21
430,22
404,23
439,24
185,25
54,26
152,27
162,28
215,29
311,30
15,31
347,32
76,33
385,34
26,35
160,36
270,37
81,38
176,39
434,40
142,41
521,42
492,43
330,44
464,45
475,46
254,47
51,48
118,49
338,50
527,51
236,52
84,53
70,54
362,55
74,56
350,57
103,58
133,59
238,60
123,61
187,62
22,63
395,64
60,65
288,66
200,67
47,68
146,69
378,70
251,71
477,72
563,73
506,74
41,75
345,76
268,77
182,78
82,79
203,80
296,81
515,82
431,83
278,84
286,85
43,86
69,87
68,88
194,89
89,90
452,91
227,92
552,93
154,94
401,95
224,96
135,97
481,98
72,99
551,100
136,101
201,102
503,103
364,104
151,105
57,106
149,107
164,108
354,109
148,110
249,111
156,112
24,113
98,114
349,115
137,116
368,117
282,118
107,119
474,120
202,121
172,122
304,123
449,124
42,125
555,126
104,127
414,128
165,129
329,130
56,131
273,132
295,133
497,134
500,135
124,136
258,137
512,138
141,139
501,140
459,141
480,142
550,143
514,144
554,145
300,146
260,147
403,148
209,149
106,150
32,151
419,152
397,153
358,154
469,155
144,156
388,157
440,158
374,159
225,160
7,161
159,162
80,163
292,164
545,165
426,166
92,167
291,168
472,169
359,170
518,171
240,172
548,173
114,174
179,175
211,176
173,177
253,178
108,179
139,180
219,181
547,182
155,183
222,184
121,185
126,186
293,187
132,188
192,189
170,190
96,191
79,192
131,193
102,194
318,195
484,196
233,197
78,198
180,199
467,200
334,201
117,202
442,203
220,204
511,205
509,206
325,207
307,208
269,209
195,210
485,211
533,212
207,213
281,214
191,215
516,216
343,217
502,218
129,219
206,220
314,221
372,222
537,223
534,224
490,225
55,226
379,227
197,228
541,229
256,230
507,231
525,232
213,233
346,234
436,235
352,236
370,237
510,238
483,239
239,240
214,241
540,242
542,243
408,244
262,245
143,246
332,247
101,248
280,249
279,250
393,251
402,252
208,253
411,254
10,255
377,256
48,257
178,258
150,259
267,260
113,261
466,262
353,263
276,264
448,265
499,266
520,267
535,268
373,269
34,270
473,271
471,272
526,273
257,274
39,275
289,276
198,277
433,278
444,279
38,280
50,281
223,282
538,283
284,284
446,285
396,286
63,287
25,288
428,289
218,290
313,291
519,292
290,293
145,294
67,295
11,296
443,297
450,298
422,299
199,300
128,301
169,302
130,303
315,304
230,305
451,306
479,307
316,308
210,309
476,310
382,311
255,312
112,313
188,314
266,315
461,316
29,317
231,318
90,319
168,320
212,321
564,322
561,323
85,324
371,325
375,326
75,327
494,328
435,329
491,330
465,331
456,332
310,333
424,334
409,335
65,336
335,337
6,338
361,339
505,340
508,341
140,342
417,343
539,344
387,345
321,346
153,347
447,348
8,349
216,350
205,351
299,352
105,353
14,354
331,355
28,356
83,357
277,358
244,359
157,360
91,361
425,362
558,363
413,364
453,365
543,366
478,367
405,368
86,369
312,370
175,371
365,372
336,373
3,374
438,375
31,376
341,377
64,378
271,379
138,380
328,381
398,382
553,383
327,384
319,385
298,386
389,387
287,388
49,389
190,390
193,391
18,392
116,393
486,394
322,395
259,396
1,397
455,398
248,399
468,400
37,401
381,402
423,403
30,404
100,405
52,406
177,407
306,408
158,409
400,410
367,411
470,412
488,413
463,414
243,415
303,416
333,417
12,418
186,419
340,420
418,421
412,422
356,423
235,424
528,425
122,426
326,427
27,428
458,429
441,430
221,431
390,432
531,433
399,434
532,435
524,436
115,437
445,438
88,439
454,440
111,441
522,442
228,443
427,444
250,445
421,446
415,447
232,448
355,449
308,450
460,451
58,452
560,453
559,454
482,455
529,456
380,457
493,458
252,459
305,460
261,461
457,462
19,463
237,464
432,465
530,466
383,467
59,468
546,469
62,470
94,471
320,472
184,473
523,474
274,475
183,476
264,477
369,478
242,479
285,480
337,481
71,482
17,483
489,484
16,485
226,486
134,487
217,488
420,489
392,490
562,491
498,492
513,493
357,494
407,495
324,496
44,497
348,498
246,499
33,500
496,501
23,502
384,503
344,504
196,505
53,506
317,507
283,508
351,509
323,510
263,511
360,512
437,513
394,514
87,515
5,516
109,517
161,518
517,519
20,520
181,521
544,522
406,523
167,524
21,525
429,526
163,527
391,528
366,529
363,530
487,531
556,532
125,533
265,534
35,535
297,536
241,537
93,538
386,539
504,540
204,541
99,542
245,543
110,544
97,545
120,546
46,547
73,548
174,549
9,550
229,551
61,552
557,553
171,554
376,555
339,556
234,557
189,558
495,559
2,560
462,561
275,562
416,563
536,564
