board,n_parts,used_area,waste_area,board_area,U
1,13,2614466.0,362334.0,2976800.0,0.8782807041117979
2,4,2807972.0,168828.0,2976800.0,0.943285407148616
3,3,2861170.0,115630.0,2976800.0,0.9611562751948401
4,3,2828100.0,148700.0,2976800.0,0.9500470303681806
5,4,2894831.5,81968.5,2976800.0,0.9724642233270626
6,4,2860520.0,116280.0,2976800.0,0.9609379199140016
7,4,2904257.0,72543.0,2976800.0,0.9756305428648213
8,6,2848773.0,128027.0,2976800.0,0.9569917360924483
9,7,2734422.5,242377.5,2976800.0,0.9185778352593389
10,3,2827734.5,149065.5,2976800.0,0.9499242475141091
11,4,2855982.0,120818.0,2976800.0,0.9594134641225477
12,5,2873936.0,102864.0,2976800.0,0.9654447729105079
13,6,2902240.0,74560.0,2976800.0,0.9749529696318194
14,6,2875820.0,100980.0,2976800.0,0.9660776672937382
15,5,2825383.0,151417.0,2976800.0,0.9491343052942758
16,5,2838996.0,137804.0,2976800.0,0.9537073367374361
17,5,2888811.0,87989.0,2976800.0,0.9704417495296963
18,4,2846350.0,130450.0,2976800.0,0.9561777747917226
19,4,2826950.0,149850.0,2976800.0,0.9496607094866971
20,4,2872850.0,103950.0,2976800.0,0.965079951625907
21,4,2866327.0,110473.0,2976800.0,0.9628886723998925
22,4,2866327.0,110473.0,2976800.0,0.9628886723998925
23,5,2919299.5,57500.5,2976800.0,0.9806837879602257
24,6,2882299.0,94501.0,2976800.0,0.968254165546896
25,4,2850967.0,125833.0,2976800.0,0.9577287691480785
26,4,2863079.0,113721.0,2976800.0,0.9617975678581027
27,5,2831392.0,145408.0,2976800.0,0.9511529158828272
28,5,2883013.0,93787.0,2976800.0,0.9684940204246171
29,4,2794453.0,182347.0,2976800.0,0.9387439532383768
30,4,2766682.0,210118.0,2976800.0,0.9294148078473529
31,4,2830641.5,146158.5,2976800.0,0.950900799516259
32,5,2860117.0,116683.0,2976800.0,0.9608025396398817
33,5,2879194.0,97606.0,2976800.0,0.9672110991668906
34,5,2872744.0,104056.0,2976800.0,0.9650443429185703
35,5,2821810.0,154990.0,2976800.0,0.9479340231120666
36,6,2813844.0,162956.0,2976800.0,0.9452579951625907
37,6,2799194.75,177605.25,2976800.0,0.9403368550120935
38,6,2785634.0,191166.0,2976800.0,0.9357813759742005
39,6,2797218.0,179582.0,2976800.0,0.9396728030099436
40,6,2779164.0,197636.0,2976800.0,0.9336079011018543
41,6,2772396.0,204404.0,2976800.0,0.9313343187315238
42,6,2769284.0,207516.0,2976800.0,0.9302889008331093
43,7,2841576.0,135224.0,2976800.0,0.9545740392367643
44,6,2756616.0,220184.0,2976800.0,0.9260333243751679
45,7,2778536.0,198264.0,2976800.0,0.9333969363074442
46,6,2817968.0,158832.0,2976800.0,0.9466433754367105
47,6,2785467.0,191333.0,2976800.0,0.9357252754635851
48,6,2745765.0,231035.0,2976800.0,0.9223881349099704
49,4,2848476.0,128324.0,2976800.0,0.9568919645256652
50,6,2803930.0,172870.0,2976800.0,0.9419275732330019
51,6,2801760.0,175040.0,2976800.0,0.9411986025262027
52,4,2756504.0,220296.0,2976800.0,0.9259957000806235
53,5,2862892.5,113907.5,2976800.0,0.9617349166890621
54,6,2769017.5,207782.5,2976800.0,0.9301993751679656
55,4,2896877.5,79922.5,2976800.0,0.9731515385649019
56,8,2843520.0,133280.0,2976800.0,0.955227089492072
57,6,2728756.0,248044.0,2976800.0,0.9166742811072293
58,7,2846764.0,130036.0,2976800.0,0.9563168503090567
59,7,2854068.75,122731.25,2976800.0,0.9587707437516797
60,5,2876510.0,100290.0,2976800.0,0.9663094598226283
61,5,2829820.0,146980.0,2976800.0,0.9506248320343994
62,9,2843716.0,133084.0,2976800.0,0.9552929320075249
63,7,2746865.75,229934.25,2976800.0,0.9227579111797903
64,6,2848539.0,128261.0,2976800.0,0.9569131281913464
65,6,2793053.0,183747.0,2976800.0,0.9382736495565708
66,5,2872952.0,103848.0,2976800.0,0.9651142166084385
67,10,2822932.5,153867.5,2976800.0,0.9483111058855146
68,5,2849302.0,127498.0,2976800.0,0.9571694436979307
69,9,2751336.25,225463.75,2976800.0,0.9242596916151572
70,3,2593500.0,383300.0,2976800.0,0.8712375705455523
71,4,2881871.25,94928.75,2976800.0,0.9681104709755443
72,4,2713662.75,263137.25,2976800.0,0.9116039875033594
73,3,2497440.0,479360.0,2976800.0,0.8389680193496372
74,4,2575480.7,401319.2999999998,2976800.0,0.8651843254501479
75,5,2740877.0,235923.0,2976800.0,0.920746103198065
76,5,2802388.0,174412.0,2976800.0,0.9414095673206128
77,6,2573098.0,403702.0,2976800.0,0.8643839021768341
78,7,2742165.0,234635.0,2976800.0,0.9211787825853265
