board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,562,562,5.0,5.0,543.0,397.0,397.0,543.0,1
1,659,659,5.0,402.0,543.0,397.0,397.0,543.0,1
1,1033,1033,5.0,799.0,543.0,397.0,397.0,543.0,1
1,1232,1232,548.0,5.0,543.0,397.0,397.0,543.0,1
1,582,582,548.0,402.0,537.0,400.0,400.0,537.0,1
1,1062,1062,1085.0,402.0,537.0,400.0,400.0,537.0,1
1,151,151,1622.0,5.0,393.0,546.0,393.0,546.0,0
1,703,703,1622.0,551.0,411.0,299.0,411.0,299.0,0
1,383,383,2033.0,5.0,274.0,975.0,975.0,274.0,1
1,360,360,548.0,850.0,839.0,363.0,839.0,363.0,0
1,239,239,1387.0,850.0,539.0,311.0,539.0,311.0,0
1,2,2,1091.0,5.0,519.0,341.0,519.0,341.0,0
1,535,535,1926.0,980.0,344.0,200.0,200.0,344.0,1
2,756,756,5.0,5.0,1864.5,924.0,1864.5,924.0,0
2,401,401,1869.5,5.0,561.0,1094.0,1094.0,561.0,1
2,1178,1178,5.0,929.0,1680.0,250.5,1680.0,250.5,0
2,50,50,1685.0,1099.0,550.0,92.0,550.0,92.0,0
3,602,602,5.0,5.0,2376.0,620.0,2376.0,620.0,0
3,516,516,5.0,625.0,2326.0,575.0,2326.0,575.0,0
3,778,778,2331.0,625.0,92.0,550.0,550.0,92.0,1
4,973,973,5.0,5.0,1833.0,800.0,1833.0,800.0,0
4,672,672,5.0,805.0,2375.0,380.0,2375.0,380.0,0
4,45,45,1838.0,5.0,574.0,800.0,800.0,574.0,1
5,310,310,5.0,5.0,1897.0,762.0,1897.0,762.0,0
5,1175,1175,5.0,767.0,2350.0,442.0,2350.0,442.0,0
5,673,673,1902.0,5.0,519.0,732.5,732.5,519.0,1
5,875,875,2355.0,737.5,70.0,435.0,435.0,70.0,1
6,1164,1164,5.0,5.0,2326.0,575.0,2326.0,575.0,0
6,231,231,5.0,580.0,2400.0,520.0,2400.0,520.0,0
6,47,47,5.0,1100.0,2400.0,100.0,2400.0,100.0,0
6,1136,1136,2331.0,5.0,70.0,501.0,501.0,70.0,1
7,526,526,5.0,5.0,1775.0,753.0,1775.0,753.0,0
7,434,434,5.0,758.0,2363.0,449.0,2363.0,449.0,0
7,205,205,1780.0,5.0,655.0,733.0,655.0,733.0,0
7,873,873,2368.0,738.0,60.0,443.0,443.0,60.0,1
8,490,490,5.0,5.0,1301.0,975.0,1301.0,975.0,0
8,1181,1181,1306.0,5.0,755.0,1173.0,755.0,1173.0,0
8,1116,1116,2061.0,5.0,349.0,982.0,982.0,349.0,1
8,639,639,5.0,980.0,1264.0,170.0,1264.0,170.0,0
8,678,678,2061.0,987.0,345.0,225.0,225.0,345.0,1
8,1000,1000,5.0,1150.0,991.0,60.0,991.0,60.0,0
9,597,597,5.0,5.0,1264.0,997.0,1264.0,997.0,0
9,1032,1032,1269.0,5.0,953.0,866.5,953.0,866.5,0
9,319,319,5.0,1002.0,2260.0,184.0,2260.0,184.0,0
9,726,726,1269.0,871.5,477.0,60.0,477.0,60.0,0
9,1073,1073,2222.0,5.0,143.5,560.0,143.5,560.0,0
9,890,890,2222.0,565.0,160.0,428.0,160.0,428.0,0
9,947,947,1269.0,931.5,919.0,60.0,919.0,60.0,0
10,465,465,5.0,5.0,1555.5,804.0,1555.5,804.0,0
10,670,670,5.0,809.0,2420.0,370.0,2420.0,370.0,0
10,734,734,1560.5,5.0,857.5,795.0,795.0,857.5,1
11,994,994,5.0,5.0,1785.0,680.0,1785.0,680.0,0
11,39,39,5.0,685.0,2340.0,514.0,2340.0,514.0,0
11,117,117,1790.0,5.0,624.0,648.0,624.0,648.0,0
11,1141,1141,2345.0,653.0,70.0,501.0,501.0,70.0,1
12,644,644,5.0,5.0,1945.0,620.0,1945.0,620.0,0
12,113,113,5.0,625.0,2340.0,514.0,2340.0,514.0,0
12,683,683,1950.0,5.0,476.0,586.0,476.0,586.0,0
12,122,122,5.0,1139.0,2243.0,70.0,2243.0,70.0,0
12,1081,1081,2345.0,591.0,70.0,419.0,419.0,70.0,1
13,263,263,5.0,5.0,2340.0,514.0,2340.0,514.0,0
13,311,311,5.0,519.0,2340.0,514.0,2340.0,514.0,0
13,329,329,5.0,1033.0,2114.0,180.0,2114.0,180.0,0
13,999,999,2345.0,5.0,70.0,1060.0,1060.0,70.0,1
13,53,53,2119.0,1065.0,300.0,70.0,70.0,300.0,1
13,800,800,2119.0,1135.0,300.0,70.0,70.0,300.0,1
14,494,494,5.0,5.0,2340.0,514.0,2340.0,514.0,0
14,583,583,5.0,519.0,2340.0,514.0,2340.0,514.0,0
14,124,124,5.0,1033.0,2400.0,100.0,2400.0,100.0,0
14,1002,1002,5.0,1133.0,1866.0,70.0,1866.0,70.0,0
14,51,51,2345.0,5.0,70.0,1009.0,1009.0,70.0,1
14,1004,1004,1871.0,1133.0,415.0,70.0,415.0,70.0,0
15,852,852,5.0,5.0,2340.0,514.0,2340.0,514.0,0
15,178,178,5.0,519.0,2114.0,561.0,2114.0,561.0,0
15,729,729,5.0,1080.0,2400.0,100.0,2400.0,100.0,0
15,37,37,2119.0,519.0,311.0,539.0,539.0,311.0,1
15,54,54,2345.0,5.0,80.0,363.0,363.0,80.0,1
16,1113,1113,5.0,5.0,2114.0,561.0,2114.0,561.0,0
16,188,188,5.0,566.0,2055.0,573.0,2055.0,573.0,0
16,186,186,2119.0,5.0,302.0,1028.5,1028.5,302.0,1
16,801,801,5.0,1139.0,1732.0,70.0,1732.0,70.0,0
16,870,870,1737.0,1139.0,624.0,70.0,624.0,70.0,0
17,1053,1053,5.0,5.0,2090.0,560.0,2090.0,560.0,0
17,142,142,5.0,565.0,2150.0,544.0,2150.0,544.0,0
17,779,779,5.0,1109.0,2400.0,100.0,2400.0,100.0,0
17,4,4,2095.0,5.0,329.0,550.5,550.5,329.0,1
17,702,702,2155.0,555.5,243.0,525.5,243.0,525.5,0
18,976,976,5.0,5.0,2150.0,544.0,2150.0,544.0,0
18,1173,1173,5.0,549.0,2150.0,544.0,2150.0,544.0,0
18,814,814,2155.0,5.0,274.0,975.0,975.0,274.0,1
18,799,799,5.0,1093.0,2400.0,100.0,2400.0,100.0,0
19,838,838,5.0,5.0,1945.0,600.0,1945.0,600.0,0
19,618,618,5.0,605.0,2045.0,570.0,2045.0,570.0,0
19,234,234,1950.0,5.0,482.0,550.0,482.0,550.0,0
19,189,189,2050.0,555.0,382.0,600.0,600.0,382.0,1
20,82,82,5.0,5.0,2090.0,554.0,2090.0,554.0,0
20,260,260,5.0,559.0,2090.0,554.0,2090.0,554.0,0
20,921,921,2095.0,5.0,330.0,961.0,961.0,330.0,1
20,867,867,5.0,1113.0,2400.0,100.0,2400.0,100.0,0
21,423,423,5.0,5.0,2090.0,554.0,2090.0,554.0,0
21,675,675,5.0,559.0,2090.0,554.0,2090.0,554.0,0
21,255,255,2095.0,5.0,302.0,1028.5,1028.5,302.0,1
21,1068,1068,5.0,1113.0,2400.0,100.0,2400.0,100.0,0
22,832,832,5.0,5.0,2090.0,554.0,2090.0,554.0,0
