board,n_parts,used_area,waste_area,board_area,U
1,14,2850503.0,126297.0,2976800.0,0.9575728970706799
2,3,2868417.0,108383.0,2976800.0,0.9635907686105886
3,5,2881680.0,95120.0,2976800.0,0.9680462241332976
4,5,2898890.0,77910.0,2976800.0,0.973827600107498
5,6,2797198.0,179602.0,2976800.0,0.9396660843859178
6,7,2851400.0,125400.0,2976800.0,0.957874227358237
7,6,2884190.0,92610.0,2976800.0,0.9688894114485354
8,2,2523110.0,453690.0,2976800.0,0.8475913732867508
9,7,2859527.0,117273.0,2976800.0,0.9606043402311206
10,7,2862156.25,114643.75,2976800.0,0.9614875873421124
11,7,2825787.5,151012.5,2976800.0,0.9492701894651975
12,4,2701954.0,274846.0,2976800.0,0.9076706530502553
13,6,2878533.0,98267.0,2976800.0,0.966989048642838
14,7,2829890.0,146910.0,2976800.0,0.9506483472184897
15,6,2818096.0,158704.0,2976800.0,0.9466863746304757
16,5,2871713.0,105087.0,2976800.0,0.9646979978500403
17,7,2821695.0,155105.0,2976800.0,0.9478953910239183
18,9,2871764.75,105035.25,2976800.0,0.9647153822897071
19,7,2786513.0,190287.0,2976800.0,0.9360766595001344
20,6,2758643.0,218157.0,2976800.0,0.9267142569201827
21,5,2451290.0,525510.0,2976800.0,0.8234647944101048
22,7,2771393.5,205406.5,2976800.0,0.9309975477022305
23,4,2734699.5,242100.5,2976800.0,0.9186708882020962
24,7,2815215.25,161584.75,2976800.0,0.9457186408223596
25,5,2350787.75,626012.25,2976800.0,0.7897029528352594
26,9,2817706.0,159094.0,2976800.0,0.9465553614619726
27,5,2644726.0,332074.0,2976800.0,0.8884459822628326
28,6,2562876.0,413924.0,2976800.0,0.8609500134372481
29,7,2820852.25,155947.75,2976800.0,0.9476122850040312
30,8,2703531.25,273268.75,2976800.0,0.9082005005374899
31,5,2643881.0,332919.0,2976800.0,0.8881621203977426
32,7,2717209.0,259591.0,2976800.0,0.9127952835259339
33,8,2717256.25,259543.75,2976800.0,0.9128111562751948
34,7,2613745.0,363055.0,2976800.0,0.8780384977156678
35,3,2277272.5,699527.5,2976800.0,0.7650068865896265
36,6,2395901.5,580898.5,2976800.0,0.8048580690674549
37,8,2785558.0,191242.0,2976800.0,0.9357558452029024
38,7,2376242.0,600558.0,2976800.0,0.7982538296156947
39,6,2879623.5,97176.5,2976800.0,0.9673553816178446
40,9,2819986.0,156814.0,2976800.0,0.9473212846009137
41,8,2812123.0,164677.0,2976800.0,0.9446798575651707
42,8,2682392.5,294407.5,2976800.0,0.9010993348562214
43,12,2820476.0,156324.0,2976800.0,0.9474858908895458
44,9,2430418.75,546381.25,2976800.0,0.8164534903251814
45,8,2719471.0,257329.0,2976800.0,0.9135551599032519
46,7,2442356.0,534444.0,2976800.0,0.8204635850577802
47,6,2744846.5,231953.5,2976800.0,0.9220795821015856
48,11,2800166.1,176633.8999999999,2976800.0,0.9406631617844665
49,15,2759179.75,217620.25,2976800.0,0.9268945679924752
50,9,2758560.5,218239.5,2976800.0,0.9266865425960763
51,6,2492799.0,484001.0,2976800.0,0.8374089626444504
52,11,2805546.9,171253.1000000001,2976800.0,0.9424707403923676
53,8,2396329.0,580471.0,2976800.0,0.8050016796560064
54,11,2690121.55,286678.4500000002,2976800.0,0.9036957639075517
55,9,2821744.75,155055.25,2976800.0,0.9479121036011825
56,11,2508546.0,468254.0,2976800.0,0.8426988712711637
57,8,2546037.75,430762.25,2976800.0,0.8552935198871271
58,9,2727536.0,249264.0,2976800.0,0.9162644450416555
59,8,2753449.0,223351.0,2976800.0,0.9249694302606826
60,7,2508761.5,468038.5,2976800.0,0.8427712644450417
61,12,2521493.0,455307.0,2976800.0,0.847048172534265
62,13,2749907.7,226892.2999999998,2976800.0,0.9237797970975545
63,10,2493224.25,483575.75,2976800.0,0.8375518173877989
64,13,2431944.55,544855.4500000002,2976800.0,0.8169660541521095
65,13,2728207.0,248593.0,2976800.0,0.916489854877721
66,13,2343930.0,632870.0,2976800.0,0.787399220639613
67,15,2716818.75,259981.25,2976800.0,0.9126641863746304
68,15,2691341.4,285458.6000000001,2976800.0,0.9041055495834452
69,15,2513101.9,463698.1000000001,2976800.0,0.8442293402311206
70,9,1560713.8,1416086.2,2976800.0,0.524292461703843
