board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,181,181,5.0,5.0,284.0,60.0,284.0,60.0,0
1,374,374,5.0,65.0,2054.0,70.0,2054.0,70.0,0
1,129,129,289.0,5.0,953.0,60.0,953.0,60.0,0
1,507,507,1242.0,5.0,874.0,60.0,874.0,60.0,0
1,106,106,5.0,135.0,2119.0,160.0,2119.0,160.0,0
1,403,403,5.0,295.0,2119.0,184.0,2119.0,184.0,0
1,209,209,5.0,479.0,2397.0,146.0,2397.0,146.0,0
1,278,278,5.0,625.0,2340.0,242.0,2340.0,242.0,0
1,89,89,5.0,867.0,2352.0,230.0,2352.0,230.0,0
1,469,469,5.0,1097.0,1626.0,110.0,1626.0,110.0,0
1,499,499,2124.0,5.0,293.0,310.0,310.0,293.0,1
1,314,314,1631.0,1097.0,773.0,70.0,773.0,70.0,0
1,128,128,2357.0,625.0,75.0,383.0,383.0,75.0,1
1,109,109,2124.0,315.0,276.0,150.0,150.0,276.0,1
2,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
2,358,358,5.0,817.0,2345.0,159.0,2345.0,159.0,0
2,69,69,5.0,976.0,2347.0,234.0,2347.0,234.0,0
3,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
3,95,95,5.0,585.0,2400.0,550.0,2400.0,550.0,0
3,80,80,5.0,1135.0,1600.0,75.0,1600.0,75.0,0
3,422,422,1605.0,1135.0,315.0,60.0,315.0,60.0,0
3,398,398,1920.0,1135.0,513.0,60.0,513.0,60.0,0
4,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
4,4,4,5.0,591.0,2405.0,554.0,2405.0,554.0,0
4,426,426,5.0,1145.0,1614.0,70.0,1614.0,70.0,0
4,541,541,1619.0,1145.0,776.0,70.0,776.0,70.0,0
4,508,508,2335.0,5.0,60.0,564.0,564.0,60.0,1
5,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
5,142,142,5.0,549.0,2320.0,288.0,2320.0,288.0,0
5,301,301,5.0,837.0,2290.0,279.0,2290.0,279.0,0
5,222,222,5.0,1116.0,1089.0,70.0,1089.0,70.0,0
5,192,192,1094.0,1116.0,1044.0,70.0,1044.0,70.0,0
5,208,208,2325.0,549.0,70.0,643.0,643.0,70.0,1
6,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
6,40,40,5.0,549.0,2382.0,535.0,2382.0,535.0,0
6,220,220,5.0,1084.0,944.0,70.0,944.0,70.0,0
6,191,191,949.0,1084.0,1004.0,60.0,1004.0,60.0,0
6,207,207,949.0,1144.0,1394.0,60.0,1394.0,60.0,0
6,206,206,5.0,1154.0,884.0,60.0,884.0,60.0,0
6,375,375,2355.0,5.0,70.0,509.0,509.0,70.0,1
7,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
7,166,166,5.0,541.0,2320.0,554.0,2320.0,554.0,0
7,397,397,5.0,1095.0,1724.0,120.0,1724.0,120.0,0
7,484,484,2365.0,5.0,60.0,1164.0,1164.0,60.0,1
7,399,399,1729.0,1095.0,330.0,110.0,110.0,330.0,1
7,315,315,2059.0,1095.0,299.0,70.0,299.0,70.0,0
8,404,404,5.0,5.0,2352.0,530.0,2352.0,530.0,0
8,342,342,5.0,535.0,2321.0,550.0,2321.0,550.0,0
9,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,152,152,5.0,529.0,2347.0,479.0,2347.0,479.0,0
9,408,408,5.0,1008.0,1565.0,200.0,1565.0,200.0,0
9,511,511,1570.0,1008.0,764.0,79.0,764.0,79.0,0
9,510,510,1570.0,1087.0,777.0,60.0,777.0,60.0,0
