board,n_parts,used_area,waste_area,board_area,U
1,9,2416246.0,560554.0,2976800.0,0.8116924213920989
2,6,2854483.0,122317.0,2976800.0,0.958909903251814
3,10,2712092.75,264707.25,2976800.0,0.911076575517334
4,4,2898690.0,78110.0,2976800.0,0.97376041386724
5,4,2857068.0,119732.0,2976800.0,0.9597782854071486
6,4,2850509.0,126291.0,2976800.0,0.9575749126578876
7,4,2865248.25,111551.75,2976800.0,0.962526286616501
8,5,2851545.0,125255.0,2976800.0,0.9579229373824241
9,4,2834764.0,142036.0,2976800.0,0.952285675893577
10,6,2864948.0,111852.0,2976800.0,0.9624254232733136
11,2,2489593.0,487207.0,2976800.0,0.8363319672131148
12,4,2875484.0,101316.0,2976800.0,0.9659647944101049
13,5,2846100.0,130700.0,2976800.0,0.9560937919914002
14,6,2843878.0,132922.0,2976800.0,0.9553473528621338
15,6,2823200.0,153600.0,2976800.0,0.9484009674818598
16,5,2528340.0,448460.0,2976800.0,0.8493482934694975
17,6,2787072.0,189728.0,2976800.0,0.9362644450416555
18,7,2871841.0,104959.0,2976800.0,0.9647409970438054
19,3,2417082.0,559718.0,2976800.0,0.8119732598763774
20,5,2869028.25,107771.75,2976800.0,0.963796106557377
21,10,2777841.5,198958.5,2976800.0,0.9331636320881483
22,9,2881171.0,95629.0,2976800.0,0.9678752351518409
23,7,2883378.5,93421.5,2976800.0,0.9686168032786885
24,6,2820928.0,155872.0,2976800.0,0.9476377317925289
25,6,2807348.0,169452.0,2976800.0,0.943075786079011
26,6,2854582.0,122218.0,2976800.0,0.9589431604407417
27,4,2825820.0,150980.0,2976800.0,0.9492811072292394
28,6,2404705.0,572095.0,2976800.0,0.8078154393980113
29,6,2819950.25,156849.75,2976800.0,0.9473092750604676
30,7,2727041.0,249759.0,2976800.0,0.916098159097017
31,8,2787783.75,189016.25,2976800.0,0.9365035440741736
32,9,2855650.75,121149.25,2976800.0,0.9593021869121204
33,4,2465769.25,511030.75,2976800.0,0.8283288262563827
34,5,2801638.0,175162.0,2976800.0,0.9411576189196452
35,6,2735410.5,241389.5,2976800.0,0.9189097352862133
36,9,2775314.0,201486.0,2976800.0,0.9323145659768879
37,4,2465112.0,511688.0,2976800.0,0.8281080354743349
38,5,2452521.75,524278.25,2976800.0,0.8238785776672938
39,4,2364990.0,611810.0,2976800.0,0.7944739317387799
40,8,2817317.0,159483.0,2976800.0,0.9464246842246707
41,8,2789310.5,187489.5,2976800.0,0.9370164270357431
42,9,2756789.0,220011.0,2976800.0,0.9260914404729911
43,6,2367911.3,608888.7000000002,2976800.0,0.7954552875571083
44,8,2632243.5,344556.5,2976800.0,0.8842527210427304
45,8,2790419.35,186380.6499999999,2976800.0,0.9373889243482935
46,8,2271766.0,705034.0,2976800.0,0.7631570814297232
47,11,2876297.45,100502.54999999981,2976800.0,0.9662380576457942
48,9,2723798.0,253002.0,2976800.0,0.9150087342112335
49,10,2753367.9,223432.1000000001,2976800.0,0.9249421862402579
50,11,2814332.25,162467.75,2976800.0,0.9454220135716205
51,8,2189682.0,787118.0,2976800.0,0.7355825047030368
52,4,2374226.25,602573.75,2976800.0,0.7975766762966945
53,4,2397674.25,579125.75,2976800.0,0.8054535911045418
54,5,2767897.0,208903.0,2976800.0,0.9298229642569202
55,7,2673181.0,303619.0,2976800.0,0.8980049045955388
56,9,2817585.0,159215.0,2976800.0,0.9465147137866164
57,11,2636211.0,340589.0,2976800.0,0.8855855280838484
58,9,2653616.5,323183.5,2976800.0,0.8914325786079011
59,10,2617429.5,359370.5,2976800.0,0.8792762362268207
60,10,2466849.5,509950.5,2976800.0,0.8286917159365762
61,14,2598393.3,378406.7000000002,2976800.0,0.8728813826928244
62,16,2811184.0,165616.0,2976800.0,0.9443644181671593
63,14,2604882.25,371917.75,2976800.0,0.8750612234614351
64,14,2472807.25,503992.75,2976800.0,0.8306931100510615
65,17,2471839.5,504960.5,2976800.0,0.8303680126310131
66,22,2597733.2,379066.7999999998,2976800.0,0.872659634506853
67,21,2509242.5,467557.5,2976800.0,0.8429328473528621
68,17,2403823.4,572976.6000000001,2976800.0,0.8075192824509541
69,17,2474589.0,502211.0,2976800.0,0.83129165546896
70,13,2316390.5,660409.5,2976800.0,0.7781478433216877
