board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,407,407,5.0,5.0,430.0,361.0,430.0,361.0,0
1,499,499,5.0,366.0,310.0,293.0,310.0,293.0,0
1,324,324,5.0,659.0,430.0,361.0,430.0,361.0,0
1,493,493,435.0,5.0,430.0,309.0,430.0,309.0,0
1,514,514,435.0,314.0,1326.0,373.5,1326.0,373.5,0
1,512,512,435.0,687.5,1355.0,327.0,1355.0,327.0,0
1,473,473,865.0,5.0,1350.0,300.0,1350.0,300.0,0
1,3,3,1790.0,305.0,330.0,902.0,902.0,330.0,1
1,186,186,2120.0,305.0,294.0,820.0,820.0,294.0,1
2,142,142,5.0,5.0,2320.0,288.0,2320.0,288.0,0
2,301,301,5.0,293.0,2290.0,279.0,2290.0,279.0,0
2,278,278,5.0,572.0,2340.0,242.0,2340.0,242.0,0
2,69,69,5.0,814.0,2347.0,234.0,2347.0,234.0,0
2,358,358,5.0,1048.0,2345.0,159.0,2345.0,159.0,0
2,516,516,2352.0,5.0,70.0,844.0,844.0,70.0,1
3,89,89,5.0,5.0,2352.0,230.0,2352.0,230.0,0
3,403,403,5.0,235.0,2119.0,184.0,2119.0,184.0,0
3,209,209,5.0,419.0,2397.0,146.0,2397.0,146.0,0
3,106,106,5.0,565.0,2119.0,160.0,2119.0,160.0,0
3,155,155,5.0,725.0,1499.0,180.0,1499.0,180.0,0
3,374,374,5.0,905.0,2054.0,70.0,2054.0,70.0,0
3,307,307,5.0,975.0,1334.5,213.5,1334.5,213.5,0
3,376,376,2124.0,565.0,304.0,600.0,600.0,304.0,1
3,271,271,1339.5,975.0,671.0,200.0,671.0,200.0,0
3,335,335,1504.0,725.0,479.0,161.0,479.0,161.0,0
4,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
4,66,66,5.0,559.0,2400.0,580.0,2400.0,580.0,0
4,80,80,5.0,1139.0,1600.0,75.0,1600.0,75.0,0
4,541,541,1605.0,1139.0,776.0,70.0,776.0,70.0,0
5,95,95,5.0,5.0,2400.0,550.0,2400.0,550.0,0
5,127,127,5.0,555.0,2382.0,544.0,2382.0,544.0,0
5,469,469,5.0,1099.0,1626.0,110.0,1626.0,110.0,0
5,131,131,1631.0,1099.0,780.0,80.0,780.0,80.0,0
6,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
6,464,464,5.0,817.0,2395.0,315.0,2395.0,315.0,0
6,207,207,5.0,1132.0,1394.0,60.0,1394.0,60.0,0
6,220,220,1399.0,1132.0,944.0,70.0,944.0,70.0,0
7,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
7,185,185,5.0,540.0,2382.0,405.0,2382.0,405.0,0
7,90,90,5.0,945.0,1399.5,263.5,1399.5,263.5,0
7,332,332,1404.5,945.0,990.0,260.0,990.0,260.0,0
8,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
8,521,521,5.0,541.0,2355.0,327.0,2355.0,327.0,0
8,527,527,5.0,868.0,2332.0,320.0,2332.0,320.0,0
8,223,223,2360.0,541.0,70.0,564.0,564.0,70.0,1
8,398,398,2365.0,5.0,60.0,513.0,513.0,60.0,1
9,294,294,5.0,5.0,2353.0,370.0,2353.0,370.0,0
9,404,404,5.0,375.0,2352.0,530.0,2352.0,530.0,0
9,51,51,5.0,905.0,2271.0,294.0,2271.0,294.0,0
9,542,542,2357.0,375.0,60.0,832.0,832.0,60.0,1
10,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
10,410,410,5.0,529.0,2350.0,544.0,2350.0,544.0,0
10,397,397,5.0,1073.0,1724.0,120.0,1724.0,120.0,0
10,193,193,1729.0,1073.0,530.0,142.0,142.0,530.0,1
10,210,210,2355.0,529.0,70.0,519.0,519.0,70.0,1
10,375,375,2357.0,5.0,70.0,509.0,509.0,70.0,1
11,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
11,302,302,5.0,484.0,2330.0,586.0,2330.0,586.0,0
12,103,103,5.0,5.0,2330.0,312.0,2330.0,312.0,0
12,342,342,5.0,317.0,2321.0,550.0,2321.0,550.0,0
12,74,74,5.0,867.0,2321.0,334.0,2321.0,334.0,0
12,179,179,2335.0,5.0,80.0,1209.5,1209.5,80.0,1
13,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
13,36,36,5.0,559.0,2295.0,364.0,2295.0,364.0,0
13,123,123,5.0,923.0,2020.0,284.0,2020.0,284.0,0
13,192,192,2325.0,5.0,70.0,1044.0,1044.0,70.0,1
13,343,343,2025.0,923.0,281.0,280.0,280.0,281.0,1
14,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
14,385,385,5.0,543.0,2222.0,350.0,2222.0,350.0,0
14,254,254,5.0,893.0,2220.0,300.0,2220.0,300.0,0
14,507,507,2284.0,5.0,60.0,874.0,874.0,60.0,1
14,511,511,2344.0,5.0,79.0,764.0,764.0,79.0,1
14,232,232,2225.0,893.0,191.5,320.0,191.5,320.0,0
15,15,15,5.0,5.0,2220.0,474.0,2220.0,474.0,0
15,160,160,5.0,479.0,2190.0,330.0,2190.0,330.0,0
15,70,70,5.0,809.0,2190.0,304.0,2190.0,304.0,0
15,281,281,2225.0,5.0,200.0,1191.0,1191.0,200.0,1
15,219,219,5.0,1113.0,1244.0,70.0,1244.0,70.0,0
15,129,129,1249.0,1113.0,953.0,60.0,953.0,60.0,0
16,176,176,5.0,5.0,2119.0,330.0,2119.0,330.0,0
16,81,81,5.0,335.0,2100.0,334.0,2100.0,334.0,0
16,26,26,5.0,669.0,2090.0,363.0,2090.0,363.0,0
16,456,456,2124.0,5.0,300.0,900.0,900.0,300.0,1
16,97,97,2095.0,905.0,330.0,300.0,300.0,330.0,1
17,330,330,5.0,5.0,2090.0,330.0,2090.0,330.0,0
17,47,47,5.0,335.0,2090.0,304.0,2090.0,304.0,0
17,118,118,5.0,639.0,2064.0,321.0,2064.0,321.0,0
17,138,138,2095.0,5.0,318.0,926.0,926.0,318.0,1
17,408,408,5.0,960.0,1565.0,200.0,1565.0,200.0,0
17,64,64,1570.0,960.0,768.0,250.0,768.0,250.0,0
18,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
18,311,311,5.0,575.0,2040.0,564.0,2040.0,564.0,0
18,526,526,2045.0,5.0,367.0,982.0,982.0,367.0,1
18,180,180,5.0,1139.0,884.0,70.0,884.0,70.0,0
18,206,206,889.0,1139.0,884.0,60.0,884.0,60.0,0
18,208,208,1773.0,1139.0,643.0,70.0,643.0,70.0,0
18,221,221,2045.0,987.0,322.0,118.5,118.5,322.0,1
19,215,215,5.0,5.0,2040.0,549.0,2040.0,549.0,0
19,347,347,5.0,554.0,2040.0,454.0,2040.0,454.0,0
19,112,112,2045.0,5.0,333.0,1114.0,1114.0,333.0,1
20,76,76,5.0,5.0,2000.0,554.0,2000.0,554.0,0
20,270,270,5.0,559.0,2000.0,354.0,2000.0,354.0,0
20,296,296,5.0,913.0,2000.0,280.0,2000.0,280.0,0
20,436,436,2005.0,5.0,301.0,1209.0,1209.0,301.0,1
20,292,292,2306.0,5.0,123.5,1045.5,123.5,1045.5,0
21,182,182,5.0,5.0,1924.0,303.0,1924.0,303.0,0
21,251,251,5.0,308.0,1900.0,324.0,1900.0,324.0,0
21,506,506,5.0,632.0,1884.0,330.0,1884.0,330.0,0
21,269,269,5.0,962.0,1259.0,219.0,1259.0,219.0,0
21,352,352,1929.0,5.0,299.0,1149.0,1149.0,299.0,1
21,344,344,1264.0,962.0,395.0,253.0,253.0,395.0,1
21,262,262,2228.0,5.0,198.0,326.0,326.0,198.0,1
21,485,485,1659.0,962.0,258.0,245.0,258.0,245.0,0
21,356,356,2228.0,331.0,175.5,319.0,175.5,319.0,0
21,20,20,2228.0,650.0,182.0,300.0,182.0,300.0,0
22,434,434,5.0,5.0,1874.0,537.0,1874.0,537.0,0
22,551,551,5.0,542.0,1864.0,280.0,1864.0,280.0,0
22,41,41,5.0,822.0,1847.0,310.0,1847.0,310.0,0
22,224,224,1879.0,5.0,494.0,1149.5,1149.5,494.0,1
22,314,314,5.0,1132.0,773.0,70.0,773.0,70.0,0
22,533,533,778.0,1132.0,844.0,70.0,844.0,70.0,0
22,239,239,2373.0,5.0,60.0,776.0,776.0,60.0,1
22,508,508,1622.0,1154.5,564.0,60.0,564.0,60.0,0
22,422,422,2373.0,781.0,60.0,315.0,315.0,60.0,1
23,492,492,5.0,5.0,1849.5,549.0,1849.5,549.0,0
23,149,149,5.0,554.0,1807.0,291.0,1807.0,291.0,0
