uid,step
407,1
499,2
324,3
493,4
142,5
301,6
278,7
69,8
89,9
403,10
358,11
209,12
106,13
155,14
374,15
4,16
66,17
95,18
13,19
464,20
127,21
40,22
185,23
430,24
521,25
294,26
404,27
54,28
410,29
152,30
527,31
302,32
103,33
342,34
74,35
166,36
36,37
439,38
51,39
385,40
15,41
254,42
160,43
70,44
176,45
81,46
26,47
330,48
47,49
118,50
162,51
311,52
514,53
512,54
473,55
526,56
138,57
456,58
215,59
347,60
123,61
76,62
270,63
296,64
182,65
251,66
506,67
434,68
551,69
492,70
41,71
149,72
475,73
135,74
449,75
338,76
288,77
268,78
236,79
194,80
362,81
350,82
68,83
552,84
500,85
408,86
238,87
203,88
22,89
156,90
273,91
345,92
200,93
378,94
563,95
477,96
82,97
258,98
300,99
32,100
503,101
304,102
431,103
101,104
90,105
260,106
459,107
286,108
43,109
307,110
85,111
377,112
353,113
11,114
382,115
452,116
269,117
212,118
316,119
436,120
281,121
227,122
154,123
401,124
224,125
352,126
481,127
354,128
72,129
112,130
136,131
255,132
476,133
201,134
479,135
188,136
280,137
56,138
113,139
465,140
164,141
364,142
332,143
151,144
57,145
471,146
447,147
107,148
8,149
266,150
564,151
413,152
148,153
249,154
349,155
168,156
424,157
257,158
29,159
494,160
435,161
491,162
505,163
202,164
543,165
140,166
453,167
554,168
65,169
438,170
31,171
3,172
248,173
153,174
282,175
368,176
474,177
28,178
105,179
462,180
555,181
341,182
333,183
295,184
400,185
244,186
124,187
172,188
158,189
42,190
310,191
539,192
6,193
336,194
287,195
186,196
298,197
327,198
319,199
265,200
49,201
190,202
516,203
544,204
167,205
104,206
414,207
165,208
329,209
21,210
406,211
141,212
116,213
143,214
429,215
163,216
125,217
241,218
381,219
558,220
259,221
52,222
38,223
245,224
322,225
412,226
30,227
211,228
235,229
9,230
91,231
440,232
361,233
397,234
12,235
518,236
445,237
427,238
355,239
60,240
469,241
395,242
187,243
24,244
515,245
137,246
80,247
84,248
426,249
133,250
146,251
98,252
448,253
48,254
292,255
497,256
483,257
480,258
177,259
67,260
207,261
277,262
139,263
159,264
550,265
179,266
388,267
328,268
389,269
501,270
78,271
86,272
219,273
216,274
121,275
443,276
478,277
1,278
387,279
418,280
467,281
419,282
472,283
93,284
405,285
444,286
144,287
547,288
115,289
308,290
484,291
222,292
192,293
390,294
524,295
415,296
83,297
220,298
191,299
205,300
35,301
129,302
180,303
331,304
291,305
206,306
131,307
507,308
511,309
297,310
542,311
541,312
314,313
510,314
533,315
239,316
208,317
223,318
508,319
398,320
108,321
240,322
132,323
509,324
267,325
289,326
540,327
373,328
535,329
325,330
253,331
548,332
359,333
173,334
114,335
126,336
79,337
460,338
560,339
482,340
170,341
531,342
337,343
18,344
367,345
46,346
546,347
120,348
264,349
92,350
529,351
122,352
279,353
369,354
17,355
454,356
391,357
461,358
88,359
246,360
229,361
174,362
386,363
64,364
33,365
196,366
157,367
468,368
250,369
530,370
504,371
58,372
487,373
204,374
383,375
39,376
376,377
306,378
496,379
411,380
417,381
421,382
488,383
62,384
94,385
502,386
195,387
53,388
384,389
463,390
61,391
303,392
470,393
523,394
175,395
458,396
271,397
321,398
37,399
299,400
110,401
559,402
392,403
326,404
420,405
183,406
528,407
59,408
274,409
425,410
134,411
276,412
7,413
466,414
2,415
225,416
226,417
357,418
553,419
197,420
351,421
428,422
545,423
495,424
184,425
318,426
102,427
293,428
233,429
334,430
117,431
45,432
323,433
442,434
275,435
537,436
372,437
394,438
339,439
234,440
437,441
416,442
119,443
549,444
290,445
247,446
96,447
538,448
272,449
360,450
189,451
532,452
517,453
344,454
10,455
313,456
228,457
97,458
231,459
561,460
433,461
193,462
441,463
198,464
423,465
50,466
520,467
55,468
34,469
263,470
252,471
5,472
161,473
379,474
340,475
525,476
519,477
213,478
343,479
363,480
380,481
73,482
147,483
16,484
366,485
489,486
393,487
27,488
99,489
365,490
451,491
230,492
562,493
396,494
44,495
25,496
283,497
446,498
312,499
217,500
522,501
63,502
317,503
309,504
556,505
348,506
284,507
77,508
513,509
14,510
150,511
243,512
498,513
100,514
19,515
486,516
534,517
178,518
75,519
218,520
87,521
262,522
346,523
455,524
402,525
232,526
490,527
171,528
485,529
356,530
210,531
261,532
375,533
242,534
371,535
20,536
285,537
145,538
557,539
450,540
221,541
237,542
399,543
109,544
169,545
71,546
130,547
432,548
305,549
315,550
422,551
181,552
23,553
320,554
111,555
128,556
256,557
457,558
370,559
536,560
335,561
214,562
409,563
199,564
