board,n_parts,used_area,waste_area,board_area,U
1,7,2867296.0,109504.0,2976800.0,0.9632141897339425
2,4,2858558.0,118242.0,2976800.0,0.9602788228970707
3,2,2816974.0,159826.0,2976800.0,0.9463094598226284
4,4,2879916.0,96884.0,2976800.0,0.967453641494222
5,5,2904100.0,72700.0,2976800.0,0.9755778016662188
6,5,2845380.0,131420.0,2976800.0,0.9558519215264714
7,2,2523110.0,453690.0,2976800.0,0.8475913732867508
8,4,2792722.0,184078.0,2976800.0,0.9381624563289438
9,4,2837854.0,138946.0,2976800.0,0.953323703305563
10,4,2665550.0,311250.0,2976800.0,0.895441413598495
11,6,2850523.0,126277.0,2976800.0,0.9575796156947057
12,7,2851019.0,125781.0,2976800.0,0.9577462375705456
13,5,2856621.6,120178.3999999999,2976800.0,0.9596283257188928
14,7,2886560.0,90240.0,2976800.0,0.9696855683955926
15,6,2786414.0,190386.0,2976800.0,0.9360434023112066
16,4,2753439.0,223361.0,2976800.0,0.9249660709486697
17,7,2831579.5,145220.5,2976800.0,0.951215902983069
18,7,2791383.25,185416.75,2976800.0,0.9377127284332168
19,6,2783212.0,193588.0,2976800.0,0.9349677506046762
20,7,2724146.0,252654.0,2976800.0,0.9151256382692825
21,7,2898350.0,78450.0,2976800.0,0.9736461972588014
22,6,2720764.5,256035.5,2976800.0,0.9139896869121203
23,7,2810995.0,165805.0,2976800.0,0.9443009271701156
24,5,2810290.25,166509.75,2976800.0,0.9440641796560064
25,6,2835678.25,141121.75,2976800.0,0.9525928009943564
26,6,2807013.0,169787.0,2976800.0,0.9429632491265789
27,4,2815927.25,160872.75,2976800.0,0.945957823837678
28,7,2799412.0,177388.0,2976800.0,0.9404098360655738
29,5,2693301.25,283498.75,2976800.0,0.9047639243482934
30,8,2736831.75,239968.25,2976800.0,0.9193871775060468
31,6,2669766.35,307033.6499999999,2976800.0,0.8968578171190541
32,6,2827551.25,149248.75,2976800.0,0.9498626881214727
33,7,2826271.5,150528.5,2976800.0,0.9494327801666219
34,7,2706582.75,270217.25,2976800.0,0.9092255945982263
35,9,2754969.0,221831.0,2976800.0,0.9254800456866433
36,6,2741642.0,235158.0,2976800.0,0.9210030905670519
37,8,2787624.0,189176.0,2976800.0,0.9364498790647675
38,7,2714538.65,262261.3500000001,2976800.0,0.9118982296425692
39,6,2625060.75,351739.25,2976800.0,0.8818398112066649
40,7,2650626.75,326173.25,2976800.0,0.8904282282988444
41,8,2791821.75,184978.25,2976800.0,0.9378600342649825
42,10,2770972.5,205827.5,2976800.0,0.9308561206664875
43,8,2782919.5,193880.5,2976800.0,0.9348694907282988
44,5,2389276.75,587523.25,2976800.0,0.8026326088417092
45,12,2859293.0,117507.0,2976800.0,0.9605257323300188
46,13,2732977.0,243823.0,2976800.0,0.9180922467078743
47,9,2773329.25,203470.75,2976800.0,0.9316478265251277
48,10,2770491.0,206309.0,2976800.0,0.9306943697930664
49,9,2289858.7,686941.2999999998,2976800.0,0.7692349838753024
50,11,2494362.5,482437.5,2976800.0,0.8379341910776673
51,11,2629290.0,347510.0,2976800.0,0.8832605482397206
52,9,2541785.85,435014.1499999999,2976800.0,0.8538651740123623
53,8,2427690.5,549109.5,2976800.0,0.815536986025262
54,9,2664183.0,312617.0,2976800.0,0.8949821956463316
55,9,2694478.25,282321.75,2976800.0,0.9051593153722117
56,8,2500504.0,476296.0,2976800.0,0.8399973125503897
57,14,2812074.5,164725.5,2976800.0,0.9446635649019081
58,10,2228274.0,748526.0,2976800.0,0.7485467616232195
59,15,2168237.0,808563.0,2976800.0,0.7283784600913733
60,9,2743924.5,232875.5,2976800.0,0.9217698535339962
61,12,2583192.3,393607.7000000002,2976800.0,0.8677748925020156
62,14,2592801.0,383999.0,2976800.0,0.8710027546358505
63,12,2675601.0,301199.0,2976800.0,0.8988178581026606
64,11,2571404.3,405395.7000000002,2976800.0,0.8638149355012092
65,17,2612202.65,364597.3500000001,2976800.0,0.8775203742273582
66,11,2584497.0,392303.0,2976800.0,0.8682131819403386
67,14,2575167.75,401632.25,2976800.0,0.8650791957807041
68,18,2520050.0,456750.0,2976800.0,0.8465634238108035
69,19,2552724.5,424075.5,2976800.0,0.8575398078473528
70,6,640019.0,2336781.0,2976800.0,0.21500235151840902
