board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
1,127,127,5.0,529.0,2382.0,544.0,2382.0,544.0,0
1,108,108,5.0,1073.0,1550.0,70.0,1550.0,70.0,0
1,219,219,5.0,1143.0,1244.0,70.0,1244.0,70.0,0
1,191,191,1249.0,1143.0,1004.0,60.0,1004.0,60.0,0
1,507,507,1555.0,1073.0,874.0,60.0,874.0,60.0,0
1,398,398,2357.0,5.0,60.0,513.0,513.0,60.0,1
2,152,152,5.0,5.0,2347.0,479.0,2347.0,479.0,0
2,4,4,5.0,484.0,2405.0,554.0,2405.0,554.0,0
2,358,358,5.0,1038.0,2345.0,159.0,2345.0,159.0,0
2,450,450,2352.0,5.0,70.0,416.0,416.0,70.0,1
3,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
3,294,294,5.0,817.0,2353.0,370.0,2353.0,370.0,0
4,66,66,5.0,5.0,2400.0,580.0,2400.0,580.0,0
4,95,95,5.0,585.0,2400.0,550.0,2400.0,550.0,0
4,374,374,5.0,1135.0,2054.0,70.0,2054.0,70.0,0
4,169,169,2059.0,1135.0,344.8,70.0,344.8,70.0,0
5,302,302,5.0,5.0,2330.0,586.0,2330.0,586.0,0
5,410,410,5.0,591.0,2350.0,544.0,2350.0,544.0,0
5,80,80,5.0,1135.0,1600.0,75.0,1600.0,75.0,0
5,179,179,2355.0,5.0,80.0,1209.5,1209.5,80.0,1
5,373,373,1605.0,1135.0,726.0,60.0,726.0,60.0,0
6,40,40,5.0,5.0,2382.0,535.0,2382.0,535.0,0
6,166,166,5.0,540.0,2320.0,554.0,2320.0,554.0,0
6,397,397,5.0,1094.0,1724.0,120.0,1724.0,120.0,0
6,508,508,2325.0,540.0,60.0,564.0,564.0,60.0,1
6,208,208,1729.0,1104.0,643.0,70.0,643.0,70.0,0
7,342,342,5.0,5.0,2321.0,550.0,2321.0,550.0,0
7,404,404,5.0,555.0,2352.0,530.0,2352.0,530.0,0
8,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
8,185,185,5.0,543.0,2382.0,405.0,2382.0,405.0,0
8,278,278,5.0,948.0,2340.0,242.0,2340.0,242.0,0
8,375,375,2284.0,5.0,70.0,509.0,509.0,70.0,1
9,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
9,36,36,5.0,541.0,2295.0,364.0,2295.0,364.0,0
9,51,51,5.0,905.0,2271.0,294.0,2271.0,294.0,0
9,484,484,2365.0,5.0,60.0,1164.0,1164.0,60.0,1
10,385,385,5.0,5.0,2222.0,350.0,2222.0,350.0,0
10,15,15,5.0,355.0,2220.0,474.0,2220.0,474.0,0
10,74,74,5.0,829.0,2321.0,334.0,2321.0,334.0,0
10,511,511,2326.0,5.0,79.0,764.0,764.0,79.0,1
11,160,160,5.0,5.0,2190.0,330.0,2190.0,330.0,0
11,176,176,5.0,335.0,2119.0,330.0,2119.0,330.0,0
11,26,26,5.0,665.0,2090.0,363.0,2090.0,363.0,0
11,403,403,5.0,1028.0,2119.0,184.0,2119.0,184.0,0
11,253,253,2124.0,335.0,257.0,851.0,851.0,257.0,1
11,232,232,2195.0,5.0,191.5,320.0,191.5,320.0,0
12,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
12,311,311,5.0,575.0,2040.0,564.0,2040.0,564.0,0
12,216,216,2045.0,5.0,303.0,918.0,918.0,303.0,1
12,240,240,5.0,1139.0,1550.0,70.0,1550.0,70.0,0
12,192,192,2348.0,5.0,70.0,1044.0,1044.0,70.0,1
12,267,267,1555.0,1139.0,820.0,60.0,820.0,60.0,0
12,199,199,2045.0,1049.0,383.0,75.0,383.0,75.0,0
13,215,215,5.0,5.0,2040.0,549.0,2040.0,549.0,0
13,81,81,5.0,554.0,2100.0,334.0,2100.0,334.0,0
13,521,521,5.0,888.0,2355.0,327.0,2355.0,327.0,0
13,116,116,2105.0,5.0,308.0,767.7,767.7,308.0,1
13,128,128,2360.0,772.7,75.0,383.0,383.0,75.0,1
14,76,76,5.0,5.0,2000.0,554.0,2000.0,554.0,0
14,330,330,5.0,559.0,2090.0,330.0,2090.0,330.0,0
14,527,527,5.0,889.0,2332.0,320.0,2332.0,320.0,0
14,38,38,2095.0,5.0,340.0,723.5,723.5,340.0,1
14,210,210,2005.0,5.0,70.0,519.0,519.0,70.0,1
14,109,109,2095.0,728.5,276.0,150.0,150.0,276.0,1
14,422,422,2371.0,728.5,60.0,315.0,315.0,60.0,1
15,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
15,142,142,5.0,459.0,2320.0,288.0,2320.0,288.0,0
15,254,254,5.0,747.0,2220.0,300.0,2220.0,300.0,0
15,106,106,5.0,1047.0,2119.0,160.0,2119.0,160.0,0
15,225,225,2045.0,5.0,353.0,398.0,398.0,353.0,1
15,239,239,2325.0,403.0,60.0,776.0,776.0,60.0,1
16,464,464,5.0,5.0,2395.0,315.0,2395.0,315.0,0
16,434,434,5.0,320.0,1874.0,537.0,1874.0,537.0,0
16,103,103,5.0,857.0,2330.0,312.0,2330.0,312.0,0
16,440,440,1879.0,320.0,549.0,484.0,484.0,549.0,1
17,492,492,5.0,5.0,1849.5,549.0,1849.5,549.0,0
17,270,270,5.0,554.0,2000.0,354.0,2000.0,354.0,0
17,70,70,5.0,908.0,2190.0,304.0,2190.0,304.0,0
17,35,35,2005.0,5.0,333.0,844.0,844.0,333.0,1
17,533,533,2338.0,5.0,70.0,844.0,844.0,70.0,1
17,490,490,2195.0,849.0,235.0,273.0,235.0,273.0,0
17,221,221,1854.5,5.0,118.5,322.0,118.5,322.0,0
18,118,118,5.0,5.0,2064.0,321.0,2064.0,321.0,0
18,395,395,5.0,326.0,2220.0,294.0,2220.0,294.0,0
18,60,60,5.0,620.0,2220.0,294.0,2220.0,294.0,0
18,123,123,5.0,914.0,2020.0,284.0,2020.0,284.0,0
18,292,292,2225.0,5.0,123.5,1045.5,123.5,1045.5,0
18,220,220,2348.5,5.0,70.0,944.0,944.0,70.0,1
18,20,20,2025.0,914.0,182.0,300.0,182.0,300.0,0
19,475,475,5.0,5.0,1796.0,600.0,1796.0,600.0,0
19,301,301,5.0,605.0,2290.0,279.0,2290.0,279.0,0
19,47,47,5.0,884.0,2090.0,304.0,2090.0,304.0,0
19,144,144,1801.0,5.0,564.0,543.0,564.0,543.0,0
19,180,180,2365.0,5.0,70.0,884.0,884.0,70.0,1
19,485,485,2095.0,884.0,245.0,258.0,258.0,245.0,1
20,236,236,5.0,5.0,1720.0,689.0,1720.0,689.0,0
20,506,506,5.0,694.0,1884.0,330.0,1884.0,330.0,0
20,56,56,1889.0,5.0,463.0,1018.0,1018.0,463.0,1
20,92,92,5.0,1024.0,1114.0,150.0,1114.0,150.0,0
20,299,299,1119.0,1024.0,700.0,182.0,700.0,182.0,0
20,423,423,1725.0,5.0,142.0,520.0,142.0,520.0,0
20,433,433,1889.0,1023.0,511.0,152.0,511.0,152.0,0
21,84,84,5.0,5.0,2040.0,544.0,2040.0,544.0,0
21,362,362,5.0,549.0,1650.0,554.0,1650.0,554.0,0
21,104,104,1655.0,549.0,777.0,654.0,777.0,654.0,0
21,469,469,5.0,1103.0,1626.0,110.0,1626.0,110.0,0
21,7,7,2045.0,5.0,373.0,384.0,384.0,373.0,1
21,130,130,2045.0,389.0,333.0,70.0,333.0,70.0,0
21,315,315,2045.0,459.0,299.0,70.0,299.0,70.0,0
22,350,350,5.0,5.0,1629.0,508.0,1629.0,508.0,0
22,338,338,5.0,513.0,1724.0,432.0,1724.0,432.0,0
22,89,89,5.0,945.0,2352.0,230.0,2352.0,230.0,0
22,202,202,1729.0,5.0,463.0,931.5,463.0,931.5,0
22,197,197,2192.0,5.0,110.0,844.0,844.0,110.0,1
22,372,372,2302.0,5.0,110.0,758.0,758.0,110.0,1
23,288,288,5.0,5.0,1724.0,361.0,1724.0,361.0,0
23,133,133,5.0,366.0,2040.0,544.0,2040.0,544.0,0
23,296,296,5.0,910.0,2000.0,280.0,2000.0,280.0,0
23,388,388,2045.0,5.0,316.0,830.0,830.0,316.0,1
23,428,428,2045.0,835.0,375.0,357.0,375.0,357.0,0
23,510,510,2361.0,5.0,60.0,777.0,777.0,60.0,1
23,519,519,1729.0,5.0,232.0,328.0,232.0,328.0,0
24,238,238,5.0,5.0,1563.5,917.5,1563.5,917.5,0
24,551,551,5.0,922.5,1864.0,280.0,1864.0,280.0,0
24,154,154,1869.0,5.0,529.0,1154.0,1154.0,529.0,1
24,184,184,1568.5,5.0,259.0,468.0,468.0,259.0,1
24,293,293,1568.5,473.0,293.0,417.0,417.0,293.0,1
25,22,22,5.0,5.0,1534.0,541.0,1534.0,541.0,0
25,187,187,5.0,546.0,1796.5,424.5,1796.5,424.5,0
25,69,69,5.0,970.5,2347.0,234.0,2347.0,234.0,0
25,148,148,1801.5,5.0,548.0,944.0,944.0,548.0,1
25,545,545,1539.0,5.0,232.0,515.0,232.0,515.0,0
25,129,129,2349.5,5.0,60.0,953.0,953.0,60.0,1
26,251,251,5.0,5.0,1900.0,324.0,1900.0,324.0,0
26,268,268,5.0,329.0,1724.0,344.0,1724.0,344.0,0
26,200,200,5.0,673.0,1502.0,530.0,1502.0,530.0,0
26,224,224,1905.0,5.0,494.0,1149.5,1149.5,494.0,1
26,380,380,1507.0,673.0,344.0,528.0,528.0,344.0,1
26,242,242,1729.0,329.0,162.0,326.0,162.0,326.0,0
27,345,345,5.0,5.0,1516.0,395.0,1516.0,395.0,0
27,378,378,5.0,400.0,1499.5,757.5,1499.5,757.5,0
27,481,481,1521.0,5.0,901.5,1144.0,901.5,1144.0,0
27,542,542,1504.5,1149.0,832.0,60.0,832.0,60.0,0
28,146,146,5.0,5.0,2040.0,544.0,2040.0,544.0,0
28,477,477,5.0,549.0,1484.0,543.0,1484.0,543.0,0
28,249,249,1489.0,549.0,944.0,523.0,944.0,523.0,0
28,53,53,2045.0,5.0,332.0,514.0,514.0,332.0,1
28,509,509,1489.0,1072.0,900.0,100.0,900.0,100.0,0
28,132,132,5.0,1092.0,900.0,100.0,900.0,100.0,0
28,223,223,905.0,1092.0,564.0,70.0,564.0,70.0,0
29,563,563,5.0,5.0,1486.5,516.5,1486.5,516.5,0
29,82,82,5.0,521.5,1482.0,500.0,1482.0,500.0,0
29,257,257,1487.0,521.5,932.0,450.0,932.0,450.0,0
29,554,554,1491.5,5.0,918.5,452.0,918.5,452.0,0
29,209,209,5.0,1021.5,2397.0,146.0,2397.0,146.0,0
30,182,182,5.0,5.0,1924.0,303.0,1924.0,303.0,0
30,203,203,5.0,308.0,1543.0,380.0,1543.0,380.0,0
30,68,68,5.0,688.0,1626.0,329.0,1626.0,329.0,0
30,282,282,1631.0,308.0,553.0,888.0,888.0,553.0,1
30,281,281,2184.0,5.0,200.0,1191.0,1191.0,200.0,1
30,425,425,5.0,1017.0,673.5,178.5,673.5,178.5,0
30,553,553,678.5,1017.0,633.0,182.0,182.0,633.0,1
30,346,346,1929.0,5.0,239.0,284.0,284.0,239.0,1
31,41,41,5.0,5.0,1847.0,310.0,1847.0,310.0,0
31,431,431,5.0,315.0,1400.5,509.0,1400.5,509.0,0
31,194,194,5.0,824.0,1679.0,318.0,1679.0,318.0,0
31,354,354,1852.0,5.0,575.0,1140.0,1140.0,575.0,1
31,102,102,1405.5,315.0,400.6,311.0,400.6,311.0,0
31,198,198,1684.0,626.0,123.5,569.5,123.5,569.5,0
32,135,135,5.0,5.0,1760.0,299.0,1760.0,299.0,0
32,515,515,5.0,304.0,1796.5,424.5,1796.5,424.5,0
32,149,149,5.0,728.5,1807.0,291.0,1807.0,291.0,0
32,401,401,1812.0,5.0,600.0,1150.0,600.0,1150.0,0
32,155,155,5.0,1019.5,1499.0,180.0,1499.0,180.0,0
32,206,206,1504.0,1155.0,884.0,60.0,884.0,60.0,0
33,286,286,5.0,5.0,1376.0,508.0,1376.0,508.0,0
33,503,503,5.0,513.0,1403.0,380.0,1403.0,380.0,0
33,552,552,5.0,893.0,1626.0,311.0,1626.0,311.0,0
33,227,227,1631.0,5.0,732.0,1190.0,1190.0,732.0,1
33,96,96,1408.0,5.0,154.5,595.0,154.5,595.0,0
33,222,222,2363.0,5.0,70.0,1089.0,1089.0,70.0,1
33,540,540,1562.5,5.0,60.0,820.0,820.0,60.0,1
34,156,156,5.0,5.0,1530.0,330.0,1530.0,330.0,0
34,43,43,5.0,335.0,1334.5,605.0,1334.5,605.0,0
34,164,164,1339.5,335.0,1010.0,553.0,1010.0,553.0,0
34,114,114,1339.5,888.0,789.0,273.0,789.0,273.0,0
34,319,319,1535.0,5.0,804.0,303.0,804.0,303.0,0
34,307,307,5.0,940.0,1334.5,213.5,1334.5,213.5,0
34,50,50,2128.5,888.0,293.0,313.5,313.5,293.0,1
35,24,24,5.0,5.0,1686.0,294.0,1686.0,294.0,0
35,377,377,5.0,299.0,1324.0,376.0,1324.0,376.0,0
35,137,137,5.0,675.0,1686.0,294.0,1686.0,294.0,0
35,201,201,1691.0,5.0,543.0,1044.0,1044.0,543.0,1
35,408,408,5.0,969.0,1565.0,200.0,1565.0,200.0,0
35,325,325,2234.0,5.0,175.0,1143.0,175.0,1143.0,0
35,97,97,1329.0,299.0,300.0,330.0,300.0,330.0,0
35,285,285,1570.0,1049.0,320.0,158.0,320.0,158.0,0
35,399,399,1890.0,1049.0,330.0,110.0,110.0,330.0,1
36,449,449,5.0,5.0,1760.0,280.0,1760.0,280.0,0
36,452,452,5.0,285.0,1275.5,844.0,1275.5,844.0,0
36,136,136,1280.5,285.0,1089.0,573.0,1089.0,573.0,0
36,291,291,1280.5,858.0,844.0,333.0,844.0,333.0,0
36,243,243,2124.5,858.0,284.0,323.0,284.0,323.0,0
36,306,306,1765.0,5.0,643.0,273.0,643.0,273.0,0
37,364,364,5.0,5.0,1004.0,534.0,1004.0,534.0,0
37,151,151,1009.0,5.0,983.0,868.5,983.0,868.5,0
37,555,555,5.0,539.0,875.0,555.0,875.0,555.0,0
37,512,512,880.0,873.5,1355.0,327.0,1355.0,327.0,0
37,419,419,1992.0,5.0,353.0,826.0,826.0,353.0,1
37,516,516,5.0,1094.0,844.0,70.0,844.0,70.0,0
37,131,131,2345.0,5.0,80.0,780.0,780.0,80.0,1
37,356,356,2235.0,831.0,175.5,319.0,175.5,319.0,0
38,57,57,5.0,5.0,982.0,869.0,982.0,869.0,0
38,72,72,987.0,5.0,1140.0,569.0,1140.0,569.0,0
38,107,107,987.0,574.0,971.0,543.0,971.0,543.0,0
38,359,359,5.0,874.0,729.5,310.7,310.7,729.5,1
38,518,518,1958.0,574.0,440.0,574.0,440.0,574.0,0
38,233,233,2127.0,5.0,303.0,404.0,404.0,303.0,1
38,207,207,734.5,1148.0,1394.0,60.0,1394.0,60.0,0
39,349,349,5.0,5.0,939.0,835.5,939.0,835.5,0
39,98,98,944.0,5.0,1164.0,553.0,1164.0,553.0,0
39,474,474,944.0,558.0,878.0,561.0,878.0,561.0,0
39,91,91,1822.0,558.0,513.0,551.0,513.0,551.0,0
39,245,245,5.0,840.5,720.5,352.5,720.5,352.5,0
39,463,463,2108.0,5.0,323.0,519.0,519.0,323.0,1
40,514,514,5.0,5.0,1326.0,373.5,1326.0,373.5,0
40,172,172,1331.0,5.0,706.0,861.5,706.0,861.5,0
40,500,500,5.0,866.5,1580.0,305.0,1580.0,305.0,0
40,353,353,5.0,378.5,1291.5,368.5,1291.5,368.5,0
40,472,472,2037.0,5.0,363.0,799.0,799.0,363.0,1
40,159,159,1585.0,866.5,844.0,303.0,844.0,303.0,0
40,289,289,5.0,747.0,726.0,60.0,726.0,60.0,0
41,304,304,5.0,5.0,1401.0,350.0,1401.0,350.0,0
41,368,368,1406.0,5.0,543.0,880.1,880.1,543.0,1
41,273,273,5.0,885.1,1524.0,303.0,1524.0,303.0,0
41,42,42,5.0,355.0,849.0,523.0,849.0,523.0,0
41,550,550,1949.0,5.0,453.0,1004.0,1004.0,453.0,1
41,427,427,854.0,355.0,531.0,484.0,484.0,531.0,1
41,318,318,1529.0,885.1,403.5,310.7,310.7,403.5,1
41,256,256,1932.5,1009.0,405.0,199.0,405.0,199.0,0
42,141,141,5.0,5.0,771.0,685.0,685.0,771.0,1
42,258,258,5.0,690.0,1468.0,304.0,1468.0,304.0,0
42,414,414,1473.0,5.0,636.0,777.0,777.0,636.0,1
42,412,412,776.0,5.0,378.0,685.0,685.0,378.0,1
42,211,211,1473.0,782.0,645.0,370.0,645.0,370.0,0
42,173,173,2109.0,5.0,322.0,706.5,706.5,322.0,1
42,269,269,5.0,994.0,1259.0,219.0,1259.0,219.0,0
42,117,117,1154.0,5.0,288.0,415.0,415.0,288.0,1
42,334,334,2118.0,711.5,279.0,425.5,425.5,279.0,1
42,486,486,1154.0,420.0,290.0,218.5,218.5,290.0,1
43,143,143,5.0,5.0,762.0,660.0,762.0,660.0,0
43,497,497,767.0,5.0,1164.0,553.0,1164.0,553.0,0
43,295,295,1931.0,5.0,492.0,868.5,868.5,492.0,1
43,480,480,767.0,558.0,953.0,548.0,953.0,548.0,0
43,1,1,5.0,665.0,713.5,409.0,713.5,409.0,0
43,548,548,1720.0,873.5,700.0,330.0,700.0,330.0,0
43,426,426,5.0,1106.0,1614.0,70.0,1614.0,70.0,0
43,145,145,1720.0,558.0,182.0,280.0,182.0,280.0,0
44,67,67,5.0,5.0,884.0,543.0,884.0,543.0,0
44,501,501,889.0,5.0,953.0,548.0,953.0,548.0,0
44,124,124,1842.0,5.0,543.0,866.0,866.0,543.0,1
44,165,165,5.0,548.0,776.5,613.5,613.5,776.5,1
44,300,300,781.5,871.0,1468.0,300.0,1468.0,300.0,0
45,443,443,5.0,5.0,884.0,543.0,884.0,543.0,0
45,139,139,5.0,548.0,862.0,279.0,862.0,279.0,0
45,186,186,867.0,548.0,820.0,294.0,820.0,294.0,0
45,48,48,889.0,5.0,1004.0,453.0,1004.0,453.0,0
45,121,121,1687.0,458.0,348.0,740.5,740.5,348.0,1
45,445,445,1893.0,5.0,541.0,443.0,443.0,541.0,1
45,280,280,5.0,842.0,1020.0,300.0,1020.0,300.0,0
45,163,163,2035.0,448.0,398.0,758.0,758.0,398.0,1
45,229,229,1025.0,842.0,574.0,370.0,370.0,574.0,1
45,541,541,5.0,1142.0,776.0,70.0,776.0,70.0,0
45,314,314,889.0,458.0,773.0,70.0,773.0,70.0,0
45,181,181,1599.0,842.0,60.0,284.0,284.0,60.0,1
46,560,560,5.0,5.0,534.0,434.0,434.0,534.0,1
46,264,264,5.0,439.0,502.0,451.0,502.0,451.0,0
46,369,369,507.0,439.0,514.0,431.0,514.0,431.0,0
46,429,429,1021.0,5.0,360.0,760.0,760.0,360.0,1
46,122,122,1021.0,765.0,654.0,320.0,654.0,320.0,0
46,465,465,1381.0,5.0,1014.0,323.0,1014.0,323.0,0
46,489,489,1675.0,328.0,331.0,509.0,509.0,331.0,1
46,23,23,2006.0,328.0,331.0,509.0,509.0,331.0,1
46,39,39,539.0,5.0,474.0,411.0,474.0,411.0,0
46,413,413,5.0,890.0,945.0,324.0,945.0,324.0,0
46,125,125,1675.0,837.0,757.0,343.0,757.0,343.0,0
46,441,441,1381.0,328.0,286.0,330.0,286.0,330.0,0
