board,n_parts,used_area,waste_area,board_area,U
1,5,2877396.0,99404.0,2976800.0,0.9666070948669713
2,2,2781744.0,195056.0,2976800.0,0.9344746036011825
3,4,2892286.0,84514.0,2976800.0,0.971609110454179
4,5,2903580.0,73220.0,2976800.0,0.975403117441548
5,5,2855908.0,120892.0,2976800.0,0.9593886052136522
6,4,2729410.0,247390.0,2976800.0,0.9168939801128729
7,7,2893280.0,83520.0,2976800.0,0.9719430260682612
8,5,2829052.0,147748.0,2976800.0,0.9503668368718087
9,3,2746557.0,230243.0,2976800.0,0.9226541924213921
10,7,2837735.65,139064.3500000001,2976800.0,0.9532839458478903
11,6,2845431.25,131368.75,2976800.0,0.9558691380005375
12,7,2830488.95,146311.0499999998,2976800.0,0.9508495532115023
13,6,2789792.0,187008.0,2976800.0,0.9371781779091642
14,10,2833769.75,143030.25,2976800.0,0.9519516762966944
15,4,2710299.0,266501.0,2976800.0,0.9104739989250201
16,6,2849892.5,126907.5,2976800.0,0.9573678110722924
17,8,2864044.0,112756.0,2976800.0,0.9621217414673475
18,5,2483032.0,493768.0,2976800.0,0.8341279226014512
19,5,2527557.0,449243.0,2976800.0,0.8490852593388873
20,6,2889529.0,87271.0,2976800.0,0.9706829481322226
21,5,2703123.0,273677.0,2976800.0,0.9080633566245633
22,7,2858770.25,118029.75,2976800.0,0.9603501242945445
23,5,2881067.85,95732.1499999999,2976800.0,0.9678405838484279
24,7,2853608.5,123191.5,2976800.0,0.958616131416286
25,7,2828709.3,148090.7000000002,2976800.0,0.9502517132491265
26,9,2832244.0,144556.0,2976800.0,0.9514391292663262
27,8,2816802.25,159997.75,2976800.0,0.9462517636388068
28,5,2715765.25,261034.75,2976800.0,0.9123102828540715
29,5,2433736.1,543063.8999999999,2976800.0,0.8175678916957807
30,6,2721857.5,254942.5,2976800.0,0.9143568597151304
31,6,2673052.75,303747.25,2976800.0,0.8979618214189734
32,6,2805500.5,171299.5,2976800.0,0.9424551531846278
33,6,2625386.75,351413.25,2976800.0,0.8819493247782854
34,6,2804188.0,172612.0,2976800.0,0.9420142434829347
35,6,2707756.0,269044.0,2976800.0,0.9096197258801397
36,9,2724107.65,252692.3500000001,2976800.0,0.915112755307713
37,5,2641282.5,335517.5,2976800.0,0.8872892031711905
38,8,2817281.5,159518.5,2976800.0,0.946412758667025
39,7,2794758.5,182041.5,2976800.0,0.9388465802203708
40,9,2795109.25,181690.75,2976800.0,0.9389644080892233
41,10,2760459.75,216340.25,2976800.0,0.9273245599301263
42,8,2693698.5,283101.5,2976800.0,0.9048973730180059
43,8,2752371.5,224428.5,2976800.0,0.9246074643912927
44,9,2781056.0,195744.0,2976800.0,0.934243482934695
45,11,2835826.0,140974.0,2976800.0,0.952642434829347
46,6,2431945.75,544854.25,2976800.0,0.8169664572695512
47,11,2618183.5,358616.5,2976800.0,0.8795295283525933
48,9,2731306.5,245493.5,2976800.0,0.9175310736361193
49,8,2358634.0,618166.0,2976800.0,0.7923387530233809
50,11,2739503.75,237296.25,2976800.0,0.9202847856758936
51,8,2263475.0,713325.0,2976800.0,0.760371875839828
52,9,2665140.75,311659.25,2976800.0,0.8953039337543671
53,6,2252073.0,724727.0,2976800.0,0.7565415882827197
54,8,2270707.0,706093.0,2976800.0,0.7628013302875571
55,8,2428415.5,548384.5,2976800.0,0.8157805361461973
56,10,2751710.0,225090.0,2976800.0,0.9243852459016394
57,10,2419715.0,557085.0,2976800.0,0.8128577667293738
58,10,2409136.8,567663.2000000002,2976800.0,0.8093042192958881
59,10,2478978.5,497821.5,2976800.0,0.8327662254770223
60,9,2551927.25,424872.75,2976800.0,0.8572719866971245
61,9,2416879.0,559921.0,2976800.0,0.8119050658425154
62,14,2725560.0,251240.0,2976800.0,0.9156006449879065
63,12,2526081.5,450718.5,2976800.0,0.848589592851384
64,14,2654000.0,322800.0,2976800.0,0.8915614082235958
65,14,2632469.8,344330.2000000002,2976800.0,0.8843287422735823
66,18,2313984.0,662816.0,2976800.0,0.7773394248857833
67,18,2525807.8,450992.2000000002,2976800.0,0.8484976484815909
68,15,2527205.5,449594.5,2976800.0,0.8489671795216339
69,16,2603872.5,372927.5,2976800.0,0.8747220169309325
70,13,2187941.0,788859.0,2976800.0,0.734997648481591
