board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,410,410,5.0,5.0,2350.0,544.0,2350.0,544.0,0
1,301,301,5.0,549.0,2290.0,279.0,2290.0,279.0,0
1,294,294,5.0,828.0,2353.0,370.0,2353.0,370.0,0
1,511,511,2355.0,5.0,79.0,764.0,764.0,79.0,1
1,450,450,2358.0,769.0,70.0,416.0,416.0,70.0,1
2,13,13,5.0,5.0,2397.0,812.0,2397.0,812.0,0
2,36,36,5.0,817.0,2295.0,364.0,2295.0,364.0,0
3,4,4,5.0,5.0,2405.0,554.0,2405.0,554.0,0
3,66,66,5.0,559.0,2400.0,580.0,2400.0,580.0,0
3,374,374,5.0,1139.0,2054.0,70.0,2054.0,70.0,0
3,169,169,2059.0,1139.0,344.8,70.0,344.8,70.0,0
4,95,95,5.0,5.0,2400.0,550.0,2400.0,550.0,0
4,302,302,5.0,555.0,2330.0,586.0,2330.0,586.0,0
4,426,426,5.0,1141.0,1614.0,70.0,1614.0,70.0,0
4,541,541,1619.0,1141.0,776.0,70.0,776.0,70.0,0
4,178,178,2335.0,555.0,100.0,509.0,509.0,100.0,1
5,127,127,5.0,5.0,2382.0,544.0,2382.0,544.0,0
5,40,40,5.0,549.0,2382.0,535.0,2382.0,535.0,0
5,397,397,5.0,1084.0,1724.0,120.0,1724.0,120.0,0
5,208,208,1729.0,1084.0,643.0,70.0,643.0,70.0,0
5,508,508,1729.0,1154.0,564.0,60.0,564.0,60.0,0
6,166,166,5.0,5.0,2320.0,554.0,2320.0,554.0,0
6,342,342,5.0,559.0,2321.0,550.0,2321.0,550.0,0
6,240,240,5.0,1109.0,1550.0,70.0,1550.0,70.0,0
6,516,516,1555.0,1109.0,844.0,70.0,844.0,70.0,0
7,430,430,5.0,5.0,2360.0,536.0,2360.0,536.0,0
7,404,404,5.0,541.0,2352.0,530.0,2352.0,530.0,0
7,108,108,5.0,1071.0,1550.0,70.0,1550.0,70.0,0
7,222,222,2365.0,5.0,70.0,1089.0,1089.0,70.0,1
7,192,192,5.0,1141.0,1044.0,70.0,1044.0,70.0,0
7,484,484,1049.0,1141.0,1164.0,60.0,1164.0,60.0,0
7,314,314,1555.0,1071.0,773.0,70.0,773.0,70.0,0
8,439,439,5.0,5.0,2279.0,538.0,2279.0,538.0,0
8,185,185,5.0,543.0,2382.0,405.0,2382.0,405.0,0
8,278,278,5.0,948.0,2340.0,242.0,2340.0,242.0,0
8,210,210,2284.0,5.0,70.0,519.0,519.0,70.0,1
8,375,375,2354.0,5.0,70.0,509.0,509.0,70.0,1
9,54,54,5.0,5.0,2352.0,524.0,2352.0,524.0,0
9,152,152,5.0,529.0,2347.0,479.0,2347.0,479.0,0
9,403,403,5.0,1008.0,2119.0,184.0,2119.0,184.0,0
10,162,162,5.0,5.0,2040.0,570.0,2040.0,570.0,0
10,215,215,5.0,575.0,2040.0,549.0,2040.0,549.0,0
10,359,359,2045.0,5.0,310.7,729.5,310.7,729.5,0
10,117,117,2045.0,734.5,288.0,415.0,415.0,288.0,1
10,220,220,2355.7,5.0,70.0,944.0,944.0,70.0,1
10,533,533,5.0,1124.0,844.0,70.0,844.0,70.0,0
10,207,207,849.0,1149.5,1394.0,60.0,1394.0,60.0,0
11,311,311,5.0,5.0,2040.0,564.0,2040.0,564.0,0
11,15,15,5.0,569.0,2220.0,474.0,2220.0,474.0,0
11,106,106,5.0,1043.0,2119.0,160.0,2119.0,160.0,0
11,292,292,2225.0,5.0,123.5,1045.5,123.5,1045.5,0
11,179,179,2348.5,5.0,80.0,1209.5,1209.5,80.0,1
11,433,433,2045.0,5.0,152.0,511.0,511.0,152.0,1
12,347,347,5.0,5.0,2040.0,454.0,2040.0,454.0,0
12,76,76,5.0,459.0,2000.0,554.0,2000.0,554.0,0
12,547,547,2005.0,459.0,409.0,713.5,713.5,409.0,1
12,155,155,5.0,1013.0,1499.0,180.0,1499.0,180.0,0
12,318,318,2045.0,5.0,310.7,403.5,310.7,403.5,0
12,256,256,1504.0,1013.0,405.0,199.0,405.0,199.0,0
12,128,128,2355.7,5.0,75.0,383.0,383.0,75.0,1
13,385,385,5.0,5.0,2222.0,350.0,2222.0,350.0,0
13,26,26,5.0,355.0,2090.0,363.0,2090.0,363.0,0
13,160,160,5.0,718.0,2190.0,330.0,2190.0,330.0,0
13,209,209,5.0,1048.0,2397.0,146.0,2397.0,146.0,0
13,545,545,2195.0,355.0,232.0,515.0,232.0,515.0,0
13,232,232,2227.0,5.0,191.5,320.0,191.5,320.0,0
14,270,270,5.0,5.0,2000.0,354.0,2000.0,354.0,0
14,81,81,5.0,359.0,2100.0,334.0,2100.0,334.0,0
14,176,176,5.0,693.0,2119.0,330.0,2119.0,330.0,0
14,170,170,2124.0,5.0,278.0,753.0,753.0,278.0,1
14,466,466,2124.0,758.0,305.0,448.0,448.0,305.0,1
14,425,425,5.0,1023.0,673.5,178.5,673.5,178.5,0
14,553,553,678.5,1023.0,633.0,182.0,182.0,633.0,1
14,423,423,1311.5,1023.0,520.0,142.0,142.0,520.0,1
14,145,145,1831.5,1023.0,280.0,182.0,182.0,280.0,1
14,422,422,2005.0,5.0,60.0,315.0,315.0,60.0,1
15,434,434,5.0,5.0,1874.0,537.0,1874.0,537.0,0
15,142,142,5.0,542.0,2320.0,288.0,2320.0,288.0,0
15,521,521,5.0,830.0,2355.0,327.0,2355.0,327.0,0
15,440,440,1879.0,5.0,549.0,484.0,484.0,549.0,1
16,492,492,5.0,5.0,1849.5,549.0,1849.5,549.0,0
16,330,330,5.0,554.0,2090.0,330.0,2090.0,330.0,0
16,464,464,5.0,884.0,2395.0,315.0,2395.0,315.0,0
16,144,144,1854.5,5.0,564.0,543.0,564.0,543.0,0
16,485,485,2095.0,548.0,258.0,245.0,258.0,245.0,0
16,315,315,2353.0,548.0,70.0,299.0,299.0,70.0,1
17,475,475,5.0,5.0,1796.0,600.0,1796.0,600.0,0
17,254,254,5.0,605.0,2220.0,300.0,2220.0,300.0,0
17,51,51,5.0,905.0,2271.0,294.0,2271.0,294.0,0
17,518,518,1801.0,5.0,574.0,440.0,440.0,574.0,1
17,191,191,2375.0,5.0,60.0,1004.0,1004.0,60.0,1
17,193,193,1801.0,445.0,530.0,142.0,142.0,530.0,1
17,109,109,2225.0,587.0,150.0,276.0,150.0,276.0,0
17,130,130,2276.0,863.0,70.0,333.0,333.0,70.0,1
18,118,118,5.0,5.0,2064.0,321.0,2064.0,321.0,0
18,338,338,5.0,326.0,1724.0,432.0,1724.0,432.0,0
18,527,527,5.0,758.0,2332.0,320.0,2332.0,320.0,0
18,211,211,1729.0,326.0,645.0,370.0,645.0,370.0,0
18,150,150,2069.0,5.0,310.0,293.0,310.0,293.0,0
