uid,step
410,1
301,2
13,3
4,4
66,5
95,6
302,7
36,8
127,9
40,10
166,11
342,12
294,13
430,14
404,15
439,16
185,17
54,18
152,19
162,20
215,21
311,22
15,23
347,24
76,25
385,26
26,27
160,28
270,29
81,30
176,31
434,32
142,33
521,34
492,35
330,36
464,37
475,38
254,39
51,40
118,41
338,42
527,43
236,44
84,45
70,46
362,47
74,48
350,49
103,50
133,51
238,52
123,53
187,54
22,55
395,56
60,57
288,58
200,59
47,60
146,61
378,62
251,63
477,64
563,65
506,66
41,67
345,68
268,69
182,70
82,71
203,72
296,73
515,74
431,75
278,76
286,77
43,78
69,79
68,80
194,81
89,82
452,83
227,84
552,85
154,86
401,87
224,88
135,89
481,90
72,91
551,92
136,93
201,94
503,95
364,96
151,97
57,98
149,99
164,100
354,101
148,102
249,103
156,104
24,105
98,106
349,107
137,108
368,109
282,110
107,111
474,112
202,113
172,114
304,115
449,116
42,117
555,118
104,119
414,120
165,121
329,122
56,123
273,124
295,125
497,126
500,127
124,128
258,129
512,130
141,131
501,132
459,133
480,134
550,135
514,136
554,137
300,138
260,139
403,140
209,141
106,142
32,143
419,144
397,145
358,146
469,147
144,148
388,149
440,150
374,151
225,152
7,153
159,154
80,155
292,156
545,157
426,158
92,159
291,160
472,161
359,162
518,163
240,164
548,165
114,166
179,167
211,168
173,169
253,170
108,171
139,172
219,173
547,174
155,175
222,176
121,177
126,178
293,179
132,180
192,181
170,182
96,183
79,184
131,185
102,186
318,187
484,188
233,189
78,190
180,191
467,192
334,193
117,194
442,195
220,196
511,197
509,198
325,199
307,200
269,201
195,202
485,203
533,204
207,205
281,206
191,207
516,208
343,209
502,210
129,211
206,212
314,213
372,214
537,215
534,216
490,217
55,218
379,219
197,220
541,221
256,222
507,223
525,224
213,225
346,226
436,227
352,228
370,229
510,230
483,231
239,232
214,233
540,234
542,235
408,236
332,237
101,238
280,239
279,240
393,241
402,242
208,243
411,244
10,245
377,246
48,247
178,248
150,249
267,250
113,251
466,252
353,253
276,254
448,255
499,256
520,257
535,258
373,259
34,260
473,261
471,262
526,263
257,264
39,265
289,266
198,267
433,268
444,269
38,270
50,271
223,272
67,273
11,274
443,275
479,276
316,277
210,278
476,279
382,280
255,281
112,282
188,283
266,284
461,285
29,286
231,287
90,288
168,289
212,290
564,291
561,292
85,293
371,294
375,295
75,296
494,297
435,298
491,299
465,300
456,301
310,302
424,303
409,304
65,305
335,306
6,307
361,308
505,309
508,310
140,311
417,312
539,313
387,314
321,315
143,316
153,317
447,318
8,319
216,320
205,321
299,322
105,323
14,324
331,325
28,326
83,327
277,328
244,329
157,330
91,331
425,332
558,333
413,334
453,335
543,336
478,337
405,338
86,339
312,340
175,341
365,342
336,343
3,344
438,345
31,346
341,347
64,348
271,349
138,350
328,351
398,352
553,353
327,354
319,355
298,356
389,357
287,358
49,359
190,360
193,361
18,362
116,363
544,364
406,365
167,366
21,367
429,368
486,369
163,370
391,371
125,372
265,373
35,374
297,375
366,376
241,377
93,378
245,379
487,380
556,381
110,382
322,383
462,384
259,385
1,386
455,387
248,388
468,389
37,390
381,391
423,392
30,393
100,394
52,395
177,396
306,397
158,398
400,399
367,400
470,401
488,402
463,403
243,404
303,405
333,406
12,407
186,408
340,409
418,410
97,411
412,412
356,413
235,414
528,415
122,416
326,417
27,418
458,419
441,420
221,421
390,422
9,423
531,424
399,425
229,426
120,427
46,428
73,429
174,430
532,431
61,432
557,433
171,434
524,435
115,436
363,437
376,438
445,439
88,440
454,441
111,442
339,443
522,444
228,445
427,446
250,447
421,448
415,449
232,450
355,451
308,452
460,453
58,454
560,455
559,456
482,457
529,458
380,459
493,460
252,461
305,462
261,463
457,464
428,465
446,466
63,467
25,468
217,469
396,470
45,471
230,472
323,473
394,474
234,475
309,476
437,477
119,478
549,479
77,480
147,481
16,482
360,483
247,484
407,485
324,486
284,487
44,488
2,489
517,490
99,491
513,492
357,493
348,494
495,495
416,496
275,497
246,498
386,499
204,500
33,501
496,502
384,503
344,504
504,505
23,506
53,507
283,508
196,509
317,510
351,511
272,512
189,513
451,514
536,515
5,516
19,517
237,518
432,519
530,520
383,521
59,522
546,523
62,524
94,525
320,526
184,527
523,528
274,529
183,530
264,531
369,532
242,533
285,534
71,535
17,536
489,537
226,538
134,539
420,540
392,541
562,542
498,543
262,544
20,545
109,546
145,547
450,548
199,549
128,550
169,551
130,552
315,553
422,554
181,555
313,556
290,557
538,558
263,559
161,560
519,561
87,562
218,563
337,564
