board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,785,785,5.0,5.0,2172.5,918.5,2172.5,918.5,0
1,827,827,5.0,923.5,2285.0,289.0,2285.0,289.0,0
1,60,60,2177.5,5.0,251.0,814.0,814.0,251.0,1
1,1009,1009,2290.0,819.0,145.0,380.0,380.0,145.0,1
2,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
2,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
2,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
3,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
3,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
3,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
4,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
4,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
4,1059,1059,2304.0,755.0,122.0,318.5,318.5,122.0,1
5,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
5,474,474,5.0,660.0,2299.0,540.0,2299.0,540.0,0
5,548,548,2304.0,660.0,109.0,469.0,469.0,109.0,1
6,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
6,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
6,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
6,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
7,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
7,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
7,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
7,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
8,848,848,5.0,5.0,2240.0,684.0,2240.0,684.0,0
8,628,628,5.0,689.0,2299.0,520.0,2299.0,520.0,0
8,420,420,2304.0,5.0,120.0,1170.0,1170.0,120.0,1
9,979,979,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,375,375,5.0,689.0,2390.0,495.0,2390.0,495.0,0
9,532,532,2245.0,5.0,180.0,570.0,180.0,570.0,0
10,744,744,5.0,5.0,2333.0,600.0,2333.0,600.0,0
10,265,265,5.0,605.0,2335.0,590.0,2335.0,590.0,0
10,482,482,2338.0,5.0,80.0,383.0,383.0,80.0,1
11,1050,1050,5.0,5.0,2315.0,590.0,2315.0,590.0,0
11,913,913,5.0,595.0,2299.0,590.0,2299.0,590.0,0
11,142,142,2320.0,5.0,109.0,1026.0,1026.0,109.0,1
12,1105,1105,5.0,5.0,2295.0,573.0,2295.0,573.0,0
12,314,314,5.0,578.0,2150.0,590.0,2150.0,590.0,0
12,381,381,2155.0,578.0,262.0,600.0,600.0,262.0,1
12,747,747,2300.0,5.0,131.5,509.0,131.5,509.0,0
13,274,274,5.0,5.0,1852.0,683.0,1852.0,683.0,0
13,706,706,5.0,688.0,2360.0,500.0,2360.0,500.0,0
13,293,293,1857.0,5.0,574.0,667.0,667.0,574.0,1
13,483,483,2365.0,672.0,70.0,436.0,436.0,70.0,1
14,948,948,5.0,5.0,1852.0,683.0,1852.0,683.0,0
14,194,194,5.0,688.0,2335.0,492.0,2335.0,492.0,0
14,294,294,1857.0,5.0,574.0,667.0,667.0,574.0,1
14,484,484,2340.0,672.0,80.0,383.0,383.0,80.0,1
15,447,447,5.0,5.0,2254.0,550.0,2254.0,550.0,0
15,780,780,5.0,555.0,2254.0,550.0,2254.0,550.0,0
15,748,748,5.0,1105.0,1970.0,100.0,1970.0,100.0,0
15,943,943,2259.0,5.0,140.0,1135.0,1135.0,140.0,1
15,877,877,1975.0,1140.0,421.0,70.0,421.0,70.0,0
16,959,959,5.0,5.0,2254.0,550.0,2254.0,550.0,0
16,1111,1111,5.0,555.0,2254.0,550.0,2254.0,550.0,0
16,875,875,5.0,1105.0,1970.0,100.0,1970.0,100.0,0
16,1004,1004,2259.0,5.0,120.0,1170.0,1170.0,120.0,1
16,1065,1065,1975.0,1105.0,265.0,70.0,265.0,70.0,0
17,82,82,5.0,5.0,2254.0,544.0,2254.0,544.0,0
17,147,147,5.0,549.0,2254.0,544.0,2254.0,544.0,0
17,944,944,5.0,1093.0,2400.0,120.0,2400.0,120.0,0
17,580,580,2259.0,5.0,160.0,874.0,874.0,160.0,1
18,219,219,5.0,5.0,2250.0,534.0,2250.0,534.0,0
18,269,269,5.0,539.0,2250.0,534.0,2250.0,534.0,0
18,1000,1000,5.0,1073.0,2400.0,120.0,2400.0,120.0,0
18,451,451,2255.0,5.0,180.0,908.0,180.0,908.0,0
19,429,429,5.0,5.0,2250.0,534.0,2250.0,534.0,0
19,378,378,5.0,539.0,2100.0,560.0,2100.0,560.0,0
19,812,812,5.0,1099.0,2399.0,80.0,2399.0,80.0,0
19,57,57,2105.0,539.0,330.0,530.0,530.0,330.0,1
19,773,773,2255.0,5.0,160.0,480.0,480.0,160.0,1
20,537,537,5.0,5.0,1207.0,983.5,1207.0,983.5,0
20,588,588,1212.0,5.0,1207.0,983.5,1207.0,983.5,0
20,422,422,5.0,988.5,913.5,94.0,913.5,94.0,0
20,283,283,5.0,1082.5,306.0,70.0,306.0,70.0,0
20,11,11,311.0,1082.5,264.0,60.0,264.0,60.0,0
20,850,850,918.5,988.5,801.0,188.0,801.0,188.0,0
20,1010,1010,1719.5,988.5,383.0,75.0,383.0,75.0,0
20,940,940,2102.5,988.5,322.0,144.0,144.0,322.0,1
20,418,418,5.0,1152.5,895.0,60.0,895.0,60.0,0
21,175,175,5.0,5.0,917.0,460.0,460.0,917.0,1
21,218,218,5.0,465.0,422.5,264.0,422.5,264.0,0
21,841,841,922.0,5.0,1360.0,869.0,1360.0,869.0,0
21,561,561,5.0,874.0,1260.0,334.0,1260.0,334.0,0
21,572,572,1265.0,874.0,1133.0,262.0,1133.0,262.0,0
21,616,616,2282.0,5.0,109.0,469.0,469.0,109.0,1
21,946,946,5.0,729.0,718.0,110.0,718.0,110.0,0
21,489,489,1265.0,1136.0,1020.0,70.0,1020.0,70.0,0
21,52,52,427.5,465.0,480.0,158.0,480.0,158.0,0
22,469,469,5.0,5.0,1187.0,973.5,1187.0,973.5,0
22,724,724,1192.0,5.0,1187.0,973.5,1187.0,973.5,0
22,1011,1011,5.0,978.5,2187.0,172.0,2187.0,172.0,0
22,937,937,5.0,1150.5,2400.0,60.0,2400.0,60.0,0
23,123,123,5.0,5.0,1523.5,765.5,1523.5,765.5,0
23,631,631,5.0,770.5,2205.0,419.0,2205.0,419.0,0
23,360,360,1528.5,5.0,782.0,755.0,755.0,782.0,1
23,1061,1061,2310.5,5.0,120.0,1020.0,1020.0,120.0,1
23,1005,1005,2210.0,760.0,80.0,383.0,383.0,80.0,1
24,300,300,5.0,5.0,1523.5,765.5,1523.5,765.5,0
24,144,144,5.0,770.5,2187.0,419.0,2187.0,419.0,0
24,834,834,1528.5,5.0,760.0,725.0,725.0,760.0,1
24,939,939,2288.5,5.0,109.0,1026.0,1026.0,109.0,1
24,1066,1066,2192.0,730.0,80.0,383.0,383.0,80.0,1
25,272,272,5.0,5.0,2100.0,554.0,2100.0,554.0,0
25,311,311,5.0,559.0,2100.0,554.0,2100.0,554.0,0
25,350,350,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
25,813,813,5.0,1113.0,1805.0,100.0,1805.0,100.0,0
25,997,997,1810.0,1113.0,264.0,60.0,264.0,60.0,0
26,328,328,5.0,5.0,2100.0,554.0,2100.0,554.0,0
26,683,683,5.0,559.0,2100.0,554.0,2100.0,554.0,0
26,478,478,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
26,617,617,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
27,1030,1030,5.0,5.0,2100.0,554.0,2100.0,554.0,0
27,1031,1031,5.0,559.0,2100.0,554.0,2100.0,554.0,0
27,192,192,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
27,1067,1067,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
27,874,874,1775.0,1138.5,621.0,70.0,621.0,70.0,0
28,817,817,5.0,5.0,2000.0,580.0,2000.0,580.0,0
28,912,912,5.0,585.0,2000.0,580.0,2000.0,580.0,0
28,226,226,2005.0,5.0,383.0,1080.0,1080.0,383.0,1
28,750,750,2005.0,1085.0,383.0,75.0,383.0,75.0,0
29,709,709,5.0,5.0,1215.0,947.5,1215.0,947.5,0
29,718,718,5.0,952.5,1324.0,261.0,1324.0,261.0,0
29,1021,1021,1220.0,5.0,1215.0,947.5,1215.0,947.5,0
29,1058,1058,1329.0,952.5,856.0,124.0,856.0,124.0,0
29,1002,1002,1329.0,1076.5,855.5,123.5,123.5,855.5,1
30,183,183,5.0,5.0,1073.0,1062.5,1073.0,1062.5,0
30,592,592,1078.0,5.0,1080.0,814.0,1080.0,814.0,0
30,711,711,2158.0,5.0,199.0,1069.0,1069.0,199.0,1
30,452,452,1078.0,819.0,379.0,333.0,379.0,333.0,0
30,1075,1075,1457.0,819.0,521.0,303.0,303.0,521.0,1
30,620,620,2357.0,5.0,70.0,964.0,964.0,70.0,1
31,621,621,5.0,5.0,1908.0,603.0,1908.0,603.0,0
31,766,766,5.0,608.0,1908.0,603.0,1908.0,603.0,0
31,622,622,1913.0,5.0,510.0,964.0,964.0,510.0,1
31,1024,1024,1913.0,969.0,520.0,226.0,226.0,520.0,1
32,776,776,5.0,5.0,2335.0,492.0,2335.0,492.0,0
32,401,401,5.0,497.0,1610.5,707.5,1610.5,707.5,0
32,664,664,1615.5,497.0,784.0,660.0,784.0,660.0,0
32,746,746,2340.0,5.0,70.0,403.0,403.0,70.0,1
33,35,35,5.0,5.0,2100.0,534.0,2100.0,534.0,0
33,639,639,5.0,539.0,2100.0,534.0,2100.0,534.0,0
33,599,599,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
33,207,207,5.0,1073.0,1451.0,134.0,1451.0,134.0,0
33,1064,1064,1456.0,1073.0,592.0,119.0,592.0,119.0,0
33,74,74,2048.0,1138.5,384.0,60.0,384.0,60.0,0
34,1096,1096,5.0,5.0,2100.0,534.0,2100.0,534.0,0
34,725,725,5.0,539.0,2018.5,552.0,2018.5,552.0,0
34,1107,1107,2105.0,5.0,300.0,1113.0,1113.0,300.0,1
34,942,942,5.0,1118.0,2160.0,80.0,2160.0,80.0,0
34,996,996,2023.5,539.0,60.0,451.0,451.0,60.0,1
35,958,958,5.0,5.0,2299.0,480.0,2299.0,480.0,0
35,659,659,5.0,485.0,1887.0,550.0,1887.0,550.0,0
35,660,660,1892.0,485.0,531.0,540.0,540.0,531.0,1
35,1074,1074,5.0,1035.0,2390.0,120.0,2390.0,120.0,0
35,485,485,5.0,1155.0,1302.0,60.0,1302.0,60.0,0
35,210,210,1307.0,1155.0,1012.0,60.0,1012.0,60.0,0
36,715,715,5.0,5.0,1887.0,550.0,1887.0,550.0,0
36,779,779,5.0,555.0,1887.0,550.0,1887.0,550.0,0
36,250,250,1892.0,5.0,523.0,1194.0,1194.0,523.0,1
36,615,615,5.0,1105.0,1561.0,110.0,1561.0,110.0,0
37,96,96,5.0,5.0,1417.0,725.0,1417.0,725.0,0
37,822,822,5.0,730.0,1380.0,480.0,1380.0,480.0,0
37,701,701,1422.0,5.0,759.0,1134.0,1134.0,759.0,1
37,486,486,2181.0,5.0,70.0,895.0,895.0,70.0,1
37,423,423,2251.0,5.0,154.0,869.0,154.0,869.0,0
37,145,145,2251.0,874.0,160.0,330.0,160.0,330.0,0
37,1007,1007,1385.0,1139.0,775.7,70.0,775.7,70.0,0
38,89,89,5.0,5.0,1887.0,544.0,1887.0,544.0,0
38,186,186,5.0,549.0,1887.0,544.0,1887.0,544.0,0
38,1102,1102,1892.0,5.0,523.0,1194.0,1194.0,523.0,1
38,487,487,5.0,1093.0,1874.0,70.0,1874.0,70.0,0
39,336,336,5.0,5.0,1887.0,544.0,1887.0,544.0,0
39,655,655,5.0,549.0,1887.0,544.0,1887.0,544.0,0
39,27,27,1892.0,5.0,543.0,1012.0,1012.0,543.0,1
39,76,76,5.0,1093.0,2390.0,120.0,2390.0,120.0,0
39,1071,1071,1892.0,1017.0,451.0,60.0,451.0,60.0,0
40,849,849,5.0,5.0,1887.0,544.0,1887.0,544.0,0
40,892,892,5.0,549.0,1715.0,590.0,1715.0,590.0,0
40,656,656,1892.0,5.0,543.0,1012.0,1012.0,543.0,1
40,73,73,5.0,1139.0,2293.0,70.0,2293.0,70.0,0
40,570,570,1720.0,549.0,160.0,584.0,584.0,160.0,1
40,551,551,1880.0,1017.0,429.0,60.0,429.0,60.0,0
41,595,595,5.0,5.0,1535.5,582.0,1535.5,582.0,0
41,521,521,5.0,587.0,1523.5,578.5,1523.5,578.5,0
41,597,597,1540.5,5.0,759.0,1134.0,1134.0,759.0,1
41,999,999,2299.5,5.0,110.0,718.0,718.0,110.0,1
41,12,12,1528.5,1139.0,895.0,70.0,895.0,70.0,0
41,75,75,2299.5,723.0,60.0,416.0,416.0,60.0,1
41,749,749,2359.5,723.0,60.0,384.0,384.0,60.0,1
42,865,865,5.0,5.0,2385.0,365.0,2385.0,365.0,0
42,238,238,5.0,370.0,1240.0,700.0,1240.0,700.0,0
42,641,641,1245.0,370.0,1134.0,759.0,1134.0,759.0,0
42,419,419,5.0,1129.0,1956.0,82.0,1956.0,82.0,0
43,540,540,5.0,5.0,1240.0,700.0,1240.0,700.0,0
43,794,794,5.0,705.0,2390.0,363.0,2390.0,363.0,0
43,228,228,1245.0,5.0,1013.5,692.0,692.0,1013.5,1
43,421,421,5.0,1068.0,2390.0,120.0,2390.0,120.0,0
43,1006,1006,2258.5,5.0,146.0,600.0,600.0,146.0,1
44,805,805,5.0,5.0,2390.0,363.0,2390.0,363.0,0
44,62,62,5.0,368.0,1865.5,463.5,1865.5,463.5,0
44,576,576,5.0,831.5,2172.5,378.5,2172.5,378.5,0
44,102,102,1870.5,368.0,544.0,448.0,448.0,544.0,1
44,241,241,2177.5,816.0,250.0,350.0,250.0,350.0,0
45,798,798,5.0,5.0,1865.5,463.5,1865.5,463.5,0
45,679,679,5.0,468.5,1676.5,513.0,1676.5,513.0,0
45,880,880,1870.5,5.0,543.0,1012.0,1012.0,543.0,1
45,790,790,5.0,1017.0,2390.0,185.0,2390.0,185.0,0
45,36,36,1681.5,468.5,158.0,480.0,480.0,158.0,1
46,952,952,5.0,5.0,1134.0,759.0,1134.0,759.0,0
46,386,386,1139.0,5.0,1013.5,805.5,805.5,1013.5,1
46,134,134,5.0,810.5,2100.5,397.0,2100.5,397.0,0
46,700,700,2105.5,810.5,288.0,384.0,384.0,288.0,1
46,876,876,2152.5,5.0,143.5,550.0,143.5,550.0,0
46,261,261,2152.5,555.0,270.0,200.0,200.0,270.0,1
47,1104,1104,5.0,5.0,1550.5,552.0,1550.5,552.0,0
47,783,783,5.0,557.0,1600.0,530.0,1600.0,530.0,0
47,770,770,1605.0,5.0,805.5,1013.5,805.5,1013.5,0
47,811,811,5.0,1087.0,2390.0,120.0,2390.0,120.0,0
48,290,290,5.0,5.0,1600.0,524.0,1600.0,524.0,0
48,104,104,5.0,529.0,2345.0,280.0,2345.0,280.0,0
48,193,193,1605.0,5.0,762.0,517.0,762.0,517.0,0
48,740,740,5.0,809.0,2100.5,397.0,2100.5,397.0,0
48,791,791,2105.5,809.0,288.0,384.0,384.0,288.0,1
49,29,29,5.0,5.0,1600.0,518.0,1600.0,518.0,0
49,980,980,5.0,523.0,2400.0,295.0,2400.0,295.0,0
49,66,66,1605.0,5.0,809.5,481.5,809.5,481.5,0
49,601,601,5.0,818.0,2160.0,374.0,2160.0,374.0,0
49,42,42,2165.0,818.0,167.0,353.0,353.0,167.0,1
50,505,505,5.0,5.0,1600.0,518.0,1600.0,518.0,0
50,699,699,5.0,523.0,1796.0,455.0,1796.0,455.0,0
50,184,184,1801.0,5.0,600.0,1110.0,1110.0,600.0,1
50,769,769,5.0,978.0,1789.5,206.5,1789.5,206.5,0
50,894,894,1605.0,5.0,184.0,480.0,184.0,480.0,0
50,15,15,1794.5,1115.0,636.0,82.0,82.0,636.0,1
51,1014,1014,5.0,5.0,2247.0,354.0,2247.0,354.0,0
51,1028,1028,5.0,359.0,2247.0,354.0,2247.0,354.0,0
51,9,9,5.0,713.0,1755.5,448.2,1755.5,448.2,0
51,83,83,1760.5,713.0,665.0,421.0,421.0,665.0,1
51,180,180,2252.0,5.0,167.0,708.0,708.0,167.0,1
52,461,461,5.0,5.0,1519.0,522.0,1519.0,522.0,0
52,373,373,5.0,527.0,1315.0,600.0,1315.0,600.0,0
52,287,287,1524.0,5.0,692.0,1013.5,692.0,1013.5,0
52,259,259,2216.0,5.0,203.0,1068.5,203.0,1068.5,0
52,77,77,5.0,1127.0,1956.0,81.0,1956.0,81.0,0
52,153,153,1320.0,527.0,197.0,520.0,520.0,197.0,1
52,612,612,1320.0,1047.0,775.7,70.0,775.7,70.0,0
53,506,506,5.0,5.0,2090.0,374.0,2090.0,374.0,0
53,464,464,5.0,379.0,2258.0,344.0,2258.0,344.0,0
53,528,528,5.0,723.0,2258.0,344.0,2258.0,344.0,0
53,79,79,5.0,1067.0,1560.0,80.0,1560.0,80.0,0
53,719,719,2263.0,5.0,167.0,708.0,708.0,167.0,1
54,845,845,5.0,5.0,2258.0,344.0,2258.0,344.0,0
54,846,846,5.0,349.0,2258.0,344.0,2258.0,344.0,0
54,209,209,5.0,693.0,1910.0,150.0,1910.0,150.0,0
