board,n_parts,used_area,waste_area,board_area,U
1,10,2787033.5,189766.5,2976800.0,0.9362515116904058
2,4,2915220.25,61579.75,2976800.0,0.9793134406073636
3,3,2885510.0,91290.0,2976800.0,0.9693328406342381
4,3,2850550.0,126250.0,2976800.0,0.9575886858371405
5,3,2792942.0,183858.0,2976800.0,0.9382363611932276
6,3,2858031.0,118769.0,2976800.0,0.9601017871539909
7,4,2900920.0,75880.0,2976800.0,0.9745095404461166
8,4,2897920.0,78880.0,2976800.0,0.9735017468422467
9,3,2868040.0,108760.0,2976800.0,0.9634641225477022
10,3,2817810.0,158990.0,2976800.0,0.9465902983069068
11,3,2808090.0,168710.0,2976800.0,0.9433250470303682
12,3,2834094.0,142706.0,2976800.0,0.9520606019887127
13,4,2807668.5,169131.5,2976800.0,0.9431834520290244
14,4,2858294.0,118506.0,2976800.0,0.9601901370599302
15,4,2827234.0,149566.0,2976800.0,0.9497561139478635
16,5,2864770.0,112030.0,2976800.0,0.962365627519484
17,5,2835350.0,141450.0,2976800.0,0.9524825315775329
18,4,2880192.0,96608.0,2976800.0,0.967546358505778
19,4,2854440.0,122360.0,2976800.0,0.9588954582101585
20,5,2821120.0,155680.0,2976800.0,0.9477022305831766
21,7,2799900.5,176899.5,2976800.0,0.9405739384574039
22,6,2881353.5,95446.5,2976800.0,0.9679365425960763
23,5,2833584.25,143215.75,2976800.0,0.9518893610588551
24,5,2776066.25,200733.75,2976800.0,0.9325672702230583
25,5,2882500.5,94299.5,2976800.0,0.9683218556839559
26,4,2863160.5,113639.5,2976800.0,0.9618249462510078
27,5,2885619.75,91180.25,2976800.0,0.9693697090835797
28,4,2762365.0,214435.0,2976800.0,0.927964592851384
29,7,2772521.0,204279.0,2976800.0,0.931376310131685
30,6,2846287.25,130512.75,2976800.0,0.9561566951088417
31,4,2910208.0,66592.0,2976800.0,0.9776296694436979
32,4,2833898.75,142901.25,2976800.0,0.9519950114216609
33,6,2869071.75,107728.25,2976800.0,0.9638107195646332
34,5,2769372.0,207428.0,2976800.0,0.9303184627788229
35,5,2855395.0,121405.0,2976800.0,0.9592162725073905
36,4,2871872.0,104928.0,2976800.0,0.9647514109110454
37,5,2860556.0,116244.0,2976800.0,0.9609500134372481
38,4,2808698.0,168102.0,2976800.0,0.9435292932007525
39,5,2916432.0,60368.0,2976800.0,0.9797205052405268
40,6,2867584.0,109216.0,2976800.0,0.963310937919914
41,7,2825341.75,151458.25,2976800.0,0.9491204481322225
42,4,2759623.0,217177.0,2976800.0,0.9270434694974469
43,5,2811312.0,165488.0,2976800.0,0.9444074173609245
44,5,2885732.5,91067.5,2976800.0,0.9694075853265252
45,5,2792209.75,184590.25,2976800.0,0.937990375571083
46,6,2754495.75,222304.25,2976800.0,0.9253210662456329
47,4,2807050.25,169749.75,2976800.0,0.942975762563827
48,5,2833444.5,143355.5,2976800.0,0.9518424146734749
49,5,2793365.25,183434.75,2976800.0,0.9383785440741736
50,6,2809503.75,167296.25,2976800.0,0.9437999697661918
51,6,2903779.0,73021.0,2976800.0,0.9754699677506047
52,7,2815340.5,161459.5,2976800.0,0.9457607162053211
53,8,2866374.1,110425.8999999999,2976800.0,0.9629044947594733
54,6,2753116.0,223684.0,2976800.0,0.9248575651706531
55,10,2707286.75,269513.25,2976800.0,0.9094620901639344
56,9,2779608.25,197191.75,2976800.0,0.9337571385380274
57,7,2692827.75,283972.25,2976800.0,0.9046048609244827
58,7,2772847.5,203952.5,2976800.0,0.9314859916689062
59,7,2794064.5,182735.5,2976800.0,0.9386134439666757
60,9,2745104.75,231695.25,2976800.0,0.9221663363343188
61,6,2858927.9,117872.1000000001,2976800.0,0.9604030838484278
62,6,2802664.0,174136.0,2976800.0,0.9415022843321688
63,7,2784531.5,192268.5,2976800.0,0.9354110118247783
64,6,2843832.6,132967.3999999999,2976800.0,0.9553321015855953
65,7,2839779.0,137021.0,2976800.0,0.9539703708680463
66,5,2759830.0,216970.0,2976800.0,0.9271130072561139
67,5,2693804.5,282995.5,2976800.0,0.9049329817253426
68,6,2800957.5,175842.5,2976800.0,0.9409290177371674
69,5,2810669.0,166131.0,2976800.0,0.944191413598495
70,5,2800180.75,176619.25,2976800.0,0.9406680831765655
71,7,2765523.35,211276.6499999999,2976800.0,0.9290255811609782
72,5,2794606.0,182194.0,2976800.0,0.9387953507121741
73,7,2784973.0,191827.0,2976800.0,0.9355593254501479
74,7,2747312.0,229488.0,2976800.0,0.9229078204783661
75,7,2684745.75,292054.25,2976800.0,0.901889864955657
76,7,2836333.75,140466.25,2976800.0,0.9528130038968019
77,8,2804162.5,172637.5,2976800.0,0.9420056772373018
78,5,2690602.5,286197.5,2976800.0,0.9038573300188122
79,7,2630734.5,346065.5,2976800.0,0.8837458008599839
80,5,2542756.5,434043.5,2976800.0,0.8541912456328944
81,8,2791396.75,185403.25,2976800.0,0.9377172635044343
82,6,2623494.0,353306.0,2976800.0,0.8813134909970438
83,7,2725124.5,251675.5,2976800.0,0.9154543469497447
84,7,2778064.0,198736.0,2976800.0,0.9332383767804354
85,7,2752888.0,223912.0,2976800.0,0.924780972856759
86,7,2629739.0,347061.0,2976800.0,0.8834113813490997
87,7,2768074.0,208726.0,2976800.0,0.9298824240795485
88,7,2652964.25,323835.75,2976800.0,0.8912134674818597
89,9,2753955.0,222845.0,2976800.0,0.9251394114485353
90,9,2843506.0,133294.0,2976800.0,0.9552223864552539
91,8,2667935.0,308865.0,2976800.0,0.8962426095135716
92,7,2677251.0,299549.0,2976800.0,0.8993721445847891
93,7,2738213.0,238587.0,2976800.0,0.9198511824778285
94,6,2499475.0,477325.0,2976800.0,0.8396516393442623
95,7,2616948.0,359852.0,2976800.0,0.8791144853533996
96,6,2558375.0,418425.0,2976800.0,0.8594379871002419
97,5,2392380.25,584419.75,2976800.0,0.8036751713249126
98,9,2839800.0,137000.0,2976800.0,0.9539774254232734
99,9,2809915.0,166885.0,2976800.0,0.9439381214727224
100,9,2653674.25,323125.75,2976800.0,0.8914519786347755
101,7,2716886.5,259913.5,2976800.0,0.9126869457135178
102,9,2784300.0,192500.0,2976800.0,0.9353332437516797
103,9,2713363.75,263436.25,2976800.0,0.9115035440741736
104,6,2591358.0,385442.0,2976800.0,0.8705180059123891
105,10,2679283.25,297516.75,2976800.0,0.9000548407686106
106,8,2717353.0,259447.0,2976800.0,0.9128436576189196
107,7,2691663.75,285136.25,2976800.0,0.9042138370061812
108,7,2678269.0,298531.0,2976800.0,0.8997141225477022
109,8,2656175.0,320625.0,2976800.0,0.8922920585864015
110,8,2617451.0,359349.0,2976800.0,0.8792834587476485
111,8,2774043.0,202757.0,2976800.0,0.9318875974200483
112,9,2595334.5,381465.5,2976800.0,0.8718538363343187
113,10,2772176.75,204623.25,2976800.0,0.9312606658156409
114,6,2300507.5,676292.5,2976800.0,0.772812248051599
115,9,2718025.0,258775.0,2976800.0,0.9130694033861865
116,9,2770656.25,206143.75,2976800.0,0.9307498824240795
117,9,2778992.25,197807.75,2976800.0,0.9335502049180328
118,9,2671310.5,305489.5,2976800.0,0.897376545283526
119,5,1797343.5,1179456.5,2976800.0,0.6037837610857296
120,9,2600574.65,376225.3500000001,2976800.0,0.8736141662187583
121,9,2582758.25,394041.75,2976800.0,0.8676290815640957
122,7,2405188.75,571611.25,2976800.0,0.8079779461166353
123,8,2425896.75,550903.25,2976800.0,0.8149344094329481
124,10,2721039.75,255760.25,2976800.0,0.9140821519752754
125,10,2739790.5,237009.5,2976800.0,0.9203811139478635
126,9,2599768.25,377031.75,2976800.0,0.8733432712980381
127,9,2644228.25,332571.75,2976800.0,0.8882787725073905
128,11,2667411.0,309389.0,2976800.0,0.8960665815640957
129,9,2707926.0,268874.0,2976800.0,0.9096768341843591
130,10,2727201.0,249599.0,2976800.0,0.9161519080892233
131,11,2700869.0,275931.0,2976800.0,0.9073061676968557
132,11,2746051.55,230748.4500000002,2976800.0,0.9224843959957
133,10,2583064.6,393735.3999999999,2976800.0,0.8677319940876109
134,10,2618305.5,358494.5,2976800.0,0.8795705119591508
135,10,2533442.0,443358.0,2976800.0,0.8510622144584788
136,10,2543920.0,432880.0,2976800.0,0.8545821015855952
137,11,2655612.25,321187.75,2976800.0,0.8921030133028756
138,9,2346047.75,630752.25,2976800.0,0.7881106389411449
139,12,2671186.25,305613.75,2976800.0,0.8973348058317656
140,13,2747883.25,228916.75,2976800.0,0.9230997211771029
141,11,2554594.0,422206.0,2976800.0,0.8581678312281644
142,13,2706716.25,270083.75,2976800.0,0.9092704414135985
143,13,2649303.0,327497.0,2976800.0,0.8899835393711368
144,13,2690513.0,286287.0,2976800.0,0.9038272641762967
145,14,2682614.75,294185.25,2976800.0,0.9011739955657081
146,14,2546818.5,429981.5,2976800.0,0.8555557981725342
147,14,2549054.9,427745.1000000001,2976800.0,0.8563070747110991
148,14,2359924.0,616876.0,2976800.0,0.7927721042730449
149,16,2483058.0,493742.0,2976800.0,0.8341366568126848
150,18,2588928.0,387872.0,2976800.0,0.8697016930932545
151,13,2598326.75,378473.25,2976800.0,0.8728590264713787
152,12,2184181.25,792618.75,2976800.0,0.733734631147541
153,6,2375710.5,601089.5,2976800.0,0.7980752821822091
154,1,127193.0,2849607.0,2976800.0,0.04272809728567589
