uid,step
379,1
554,2
574,3
385,4
785,5
827,6
60,7
1009,8
533,9
81,10
13,11
569,12
788,13
618,14
900,15
539,16
1059,17
332,18
474,19
548,20
355,21
86,22
394,23
282,24
792,25
891,26
68,27
810,28
848,29
628,30
420,31
979,32
375,33
532,34
744,35
265,36
482,37
1050,38
913,39
142,40
1105,41
314,42
381,43
747,44
274,45
706,46
293,47
483,48
948,49
194,50
294,51
484,52
447,53
780,54
748,55
943,56
877,57
959,58
1111,59
875,60
1004,61
1065,62
82,63
147,64
944,65
580,66
219,67
269,68
1000,69
451,70
429,71
378,72
812,73
57,74
773,75
537,76
588,77
175,78
218,79
841,80
469,81
561,82
422,83
283,84
11,85
123,86
631,87
360,88
1061,89
1005,90
300,91
144,92
834,93
939,94
1066,95
272,96
311,97
350,98
813,99
997,100
328,101
683,102
478,103
617,104
1030,105
1031,106
192,107
1067,108
874,109
817,110
912,111
226,112
750,113
724,114
709,115
718,116
850,117
1010,118
1021,119
183,120
572,121
1058,122
1002,123
940,124
621,125
766,126
622,127
1024,128
776,129
401,130
664,131
746,132
35,133
639,134
599,135
207,136
1064,137
74,138
1096,139
725,140
1107,141
942,142
996,143
958,144
659,145
1011,146
660,147
616,148
715,149
779,150
250,151
615,152
96,153
592,154
822,155
711,156
946,157
89,158
186,159
1102,160
487,161
336,162
655,163
27,164
76,165
1071,166
849,167
892,168
656,169
73,170
570,171
551,172
595,173
521,174
597,175
999,176
12,177
75,178
749,179
865,180
238,181
641,182
419,183
540,184
794,185
228,186
421,187
1006,188
805,189
62,190
576,191
102,192
241,193
798,194
679,195
880,196
790,197
36,198
701,199
952,200
386,201
937,202
489,203
486,204
1104,205
783,206
770,207
811,208
290,209
134,210
104,211
193,212
700,213
740,214
29,215
980,216
66,217
791,218
505,219
699,220
184,221
769,222
894,223
15,224
601,225
1014,226
1028,227
1074,228
423,229
461,230
373,231
287,232
259,233
77,234
153,235
612,236
9,237
506,238
464,239
83,240
452,241
42,242
528,243
845,244
846,245
209,246
180,247
52,248
145,249
964,250
1082,251
608,252
982,253
79,254
876,255
441,256
784,257
557,258
281,259
584,260
485,261
1049,262
178,263
629,264
201,265
728,266
823,267
2,268
741,269
341,270
296,271
619,272
777,273
309,274
413,275
938,276
908,277
245,278
844,279
504,280
713,281
17,282
1068,283
481,284
988,285
583,286
637,287
78,288
1007,289
349,290
989,291
54,292
46,293
1075,294
119,295
607,296
994,297
1089,298
279,299
666,300
1003,301
630,302
896,303
609,304
100,305
10,306
88,307
22,308
926,309
131,310
136,311
297,312
1063,313
549,314
925,315
1056,316
196,317
95,318
503,319
138,320
868,321
164,322
494,323
969,324
261,325
137,326
919,327
235,328
195,329
444,330
531,331
970,332
437,333
863,334
657,335
634,336
334,337
356,338
978,339
571,340
384,341
357,342
585,343
425,344
4,345
118,346
626,347
955,348
442,349
752,350
696,351
881,352
85,353
866,354
1042,355
677,356
998,357
536,358
826,359
132,360
801,361
864,362
847,363
935,364
347,365
260,366
130,367
55,368
712,369
409,370
412,371
414,372
435,373
246,374
568,375
1001,376
210,377
807,378
653,379
6,380
463,381
453,382
508,383
7,384
544,385
513,386
16,387
918,388
611,389
415,390
680,391
976,392
825,393
206,394
410,395
965,396
763,397
84,398
559,399
839,400
471,401
127,402
121,403
1039,404
23,405
50,406
541,407
697,408
20,409
885,410
668,411
775,412
161,413
1044,414
247,415
1098,416
109,417
911,418
553,419
686,420
455,421
358,422
240,423
907,424
3,425
333,426
377,427
1060,428
331,429
642,430
765,431
1083,432
651,433
14,434
488,435
735,436
732,437
915,438
150,439
253,440
140,441
764,442
878,443
171,444
276,445
277,446
587,447
1027,448
58,449
562,450
594,451
524,452
650,453
467,454
53,455
114,456
842,457
632,458
703,459
61,460
418,461
383,462
404,463
330,464
638,465
1072,466
945,467
1062,468
620,469
582,470
511,471
113,472
257,473
87,474
34,475
613,476
745,477
232,478
302,479
319,480
264,481
177,482
496,483
661,484
428,485
307,486
529,487
600,488
424,489
738,490
1069,491
189,492
753,493
778,494
1091,495
1092,496
963,497
317,498
151,499
737,500
157,501
174,502
987,503
688,504
271,505
310,506
97,507
1070,508
646,509
833,510
961,511
405,512
808,513
103,514
391,515
393,516
1033,517
1034,518
1103,519
727,520
858,521
152,522
853,523
623,524
837,525
678,526
739,527
542,528
224,529
111,530
662,531
1073,532
72,533
884,534
990,535
361,536
684,537
275,538
108,539
353,540
128,541
603,542
828,543
1019,544
1032,545
93,546
714,547
550,548
614,549
1026,550
312,551
564,552
786,553
256,554
408,555
723,556
510,557
80,558
122,559
340,560
390,561
1012,562
188,563
338,564
249,565
436,566
501,567
552,568
575,569
589,570
327,571
546,572
516,573
387,574
941,575
590,576
636,577
832,578
914,579
402,580
928,581
515,582
162,583
1008,584
1035,585
736,586
339,587
167,588
369,589
729,590
143,591
208,592
98,593
517,594
519,595
695,596
647,597
19,598
124,599
211,600
514,601
523,602
821,603
1113,604
172,605
213,606
348,607
166,608
370,609
400,610
462,611
538,612
887,613
173,614
346,615
351,616
476,617
927,618
967,619
352,620
674,621
220,622
51,623
862,624
1048,625
581,626
860,627
1057,628
565,629
389,630
342,631
830,632
454,633
67,634
480,635
18,636
154,637
229,638
458,639
205,640
951,641
543,642
933,643
932,644
934,645
1046,646
252,647
199,648
719,649
1047,650
806,651
871,652
983,653
459,654
606,655
1022,656
426,657
163,658
800,659
870,660
625,661
720,662
819,663
64,664
497,665
793,666
676,667
47,668
239,669
48,670
129,671
563,672
973,673
558,674
430,675
243,676
947,677
835,678
974,679
924,680
782,681
191,682
722,683
234,684
406,685
1106,686
71,687
545,688
742,689
266,690
1080,691
602,692
202,693
797,694
362,695
890,696
344,697
479,698
280,699
507,700
392,701
923,702
445,703
323,704
953,705
133,706
872,707
475,708
306,709
325,710
898,711
407,712
604,713
754,714
962,715
289,716
859,717
966,718
1023,719
159,720
318,721
598,722
203,723
204,724
610,725
449,726
687,727
690,728
30,729
886,730
673,731
675,732
861,733
929,734
21,735
92,736
993,737
372,738
176,739
427,740
37,741
215,742
242,743
380,744
733,745
774,746
1053,747
411,748
692,749
214,750
470,751
593,752
682,753
382,754
852,755
795,756
804,757
456,758
691,759
734,760
397,761
901,762
273,763
374,764
1041,765
63,766
985,767
359,768
1097,769
843,770
457,771
231,772
446,773
726,774
922,775
1052,776
635,777
416,778
45,779
460,780
910,781
388,782
547,783
873,784
809,785
921,786
991,787
1051,788
500,789
169,790
760,791
1076,792
292,793
573,794
627,795
771,796
906,797
24,798
236,799
1084,800
395,801
972,802
768,803
227,804
1094,805
698,806
316,807
371,808
578,809
787,810
160,811
1015,812
1038,813
1025,814
367,815
759,816
