board,n_parts,used_area,waste_area,board_area,U
1,17,2630592.5,346207.5,2976800.0,0.8836980986294007
2,5,2637135.0,339665.0,2976800.0,0.8858959285138404
3,7,2809649.0,167151.0,2976800.0,0.9438487637731793
4,8,2869575.0,107225.0,2976800.0,0.9639797769416824
5,10,2778510.0,198290.0,2976800.0,0.9333882020962107
6,8,2690605.0,286195.0,2976800.0,0.9038581698468153
7,6,2733394.5,243405.5,2976800.0,0.9182324979844128
8,7,2778984.5,197815.5,2976800.0,0.9335476014512228
9,5,2682108.0,294692.0,2976800.0,0.9010037624294545
10,5,2490000.75,486799.25,2976800.0,0.8364689431604407
11,6,2596027.5,380772.5,2976800.0,0.8720866366568126
12,5,2544217.0,432583.0,2976800.0,0.8546818731523784
13,6,2727824.5,248975.5,2976800.0,0.9163613611932276
14,7,2766898.75,209901.25,2976800.0,0.9294876209352325
15,9,2722995.25,253804.75,2976800.0,0.914739065439398
16,8,2551975.25,424824.75,2976800.0,0.8572881113947863
17,9,2432438.0,544362.0,2976800.0,0.8171318194033862
18,10,2548564.0,428236.0,2976800.0,0.8561421660843859
19,11,2499888.25,476911.75,2976800.0,0.8397904629131954
20,11,2433969.75,542830.25,2976800.0,0.8176463820209621
21,13,2271598.15,705201.8500000001,2976800.0,0.7631006953775866
22,17,2436664.0,540136.0,2976800.0,0.8185514646600376
23,10,1230177.3,1746622.7,2976800.0,0.413254938188659
