board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,113,113,5.0,5.0,2397.0,146.0,2397.0,146.0,0
1,111,111,5.0,151.0,2289.0,70.0,2289.0,70.0,0
1,149,149,2294.0,151.0,60.0,1014.0,1014.0,60.0,1
1,38,38,5.0,221.0,1004.0,60.0,1004.0,60.0,0
1,62,62,1009.0,221.0,1164.0,60.0,1164.0,60.0,0
1,155,155,5.0,281.0,1089.0,70.0,1089.0,70.0,0
1,44,44,1094.0,281.0,1044.0,70.0,1044.0,70.0,0
1,108,108,2138.0,281.0,60.0,884.0,884.0,60.0,1
1,41,41,5.0,351.0,953.0,70.0,953.0,70.0,0
1,150,150,2198.0,221.0,70.0,944.0,944.0,70.0,1
1,39,39,958.0,351.0,780.0,60.0,780.0,60.0,0
1,114,114,1738.0,351.0,60.0,776.0,776.0,60.0,1
1,61,61,5.0,421.0,1585.0,70.0,1585.0,70.0,0
1,148,148,5.0,491.0,1244.0,70.0,1244.0,70.0,0
1,198,198,5.0,561.0,1650.0,580.0,1650.0,580.0,0
1,154,154,5.0,1141.0,1285.0,70.0,1285.0,70.0,0
1,69,69,1798.0,351.0,301.0,850.5,850.5,301.0,1
2,191,191,5.0,5.0,2345.0,159.0,2345.0,159.0,0
2,110,110,5.0,164.0,2128.0,70.0,2128.0,70.0,0
2,4,4,5.0,234.0,2305.0,588.0,2305.0,588.0,0
2,37,37,2350.0,5.0,70.0,869.0,869.0,70.0,1
2,27,27,5.0,874.0,2370.0,295.0,2370.0,295.0,0
3,23,23,5.0,5.0,2360.0,540.0,2360.0,540.0,0
3,49,49,5.0,545.0,2321.0,544.0,2321.0,544.0,0
3,43,43,5.0,1089.0,1614.0,70.0,1614.0,70.0,0
3,107,107,2365.0,5.0,60.0,776.0,776.0,60.0,1
3,40,40,1619.0,1089.0,727.0,60.0,727.0,60.0,0
3,89,89,1619.0,1149.0,679.0,60.0,679.0,60.0,0
3,63,63,2346.0,781.0,75.0,383.0,383.0,75.0,1
4,161,161,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
4,109,109,5.0,1155.0,1394.0,60.0,1394.0,60.0,0
4,147,147,1450.0,5.0,70.0,777.0,777.0,70.0,1
4,64,64,1520.0,5.0,70.0,773.0,773.0,70.0,1
4,180,180,1590.0,5.0,732.0,1190.0,1190.0,732.0,1
4,59,59,2322.0,5.0,110.0,844.0,844.0,110.0,1
4,151,151,1520.0,778.0,70.0,414.0,414.0,70.0,1
4,87,87,2322.0,849.0,73.5,310.0,73.5,310.0,0
5,141,141,5.0,5.0,2040.0,549.0,2040.0,549.0,0
5,82,82,5.0,554.0,2040.0,549.0,2040.0,549.0,0
5,42,42,5.0,1103.0,643.0,60.0,643.0,60.0,0
5,65,65,648.0,1103.0,841.0,80.0,841.0,80.0,0
5,86,86,2045.0,5.0,74.0,777.0,777.0,74.0,1
5,156,156,1489.0,1103.0,564.0,70.0,564.0,70.0,0
5,12,12,2119.0,5.0,100.0,606.0,606.0,100.0,1
5,193,193,2219.0,5.0,200.0,782.0,782.0,200.0,1
5,153,153,2053.0,782.0,118.5,322.0,118.5,322.0,0
5,16,16,2171.5,787.0,199.0,405.0,405.0,199.0,1
6,99,99,5.0,5.0,2040.0,544.0,2040.0,544.0,0
6,3,3,5.0,549.0,2382.0,405.0,2382.0,405.0,0
6,106,106,5.0,954.0,2200.0,150.0,2200.0,150.0,0
6,88,88,5.0,1104.0,1247.0,60.0,1247.0,60.0,0
6,112,112,1252.0,1104.0,643.0,70.0,643.0,70.0,0
6,152,152,1895.0,1104.0,531.0,70.0,531.0,70.0,0
6,115,115,2045.0,5.0,70.0,519.0,519.0,70.0,1
6,137,137,2115.0,5.0,230.0,403.5,403.5,230.0,1
7,125,125,5.0,5.0,2040.0,490.0,2040.0,490.0,0
7,13,13,5.0,495.0,1796.5,424.5,1796.5,424.5,0
7,163,163,5.0,919.5,1760.0,280.0,1760.0,280.0,0
7,26,26,2045.0,5.0,322.0,1033.5,1033.5,322.0,1
7,60,60,1765.0,1038.5,569.5,123.5,123.5,569.5,1
7,45,45,1801.5,495.0,142.0,530.0,142.0,530.0,0
8,92,92,5.0,5.0,2000.0,354.0,2000.0,354.0,0
8,174,174,5.0,359.0,2400.0,324.0,2400.0,324.0,0
8,74,74,5.0,683.0,1502.0,530.0,1502.0,530.0,0
8,142,142,1507.0,683.0,918.0,303.0,918.0,303.0,0
8,36,36,1507.0,986.0,600.0,150.0,600.0,150.0,0
8,121,121,2005.0,5.0,359.0,169.5,169.5,359.0,1
8,144,144,2107.0,986.0,320.0,213.5,213.5,320.0,1
9,73,73,5.0,5.0,1502.0,530.0,1502.0,530.0,0
9,100,100,5.0,535.0,2100.0,334.0,2100.0,334.0,0
9,172,172,5.0,869.0,2355.0,327.0,2355.0,327.0,0
9,9,9,1507.0,5.0,896.0,311.0,896.0,311.0,0
9,178,178,2105.0,316.0,311.0,437.0,437.0,311.0,1
10,165,165,5.0,5.0,2190.0,304.0,2190.0,304.0,0
