uid,step
113,1
111,2
149,3
191,4
38,5
62,6
155,7
44,8
108,9
41,10
150,11
39,12
114,13
110,14
4,15
23,16
37,17
49,18
27,19
43,20
161,21
109,22
107,23
40,24
61,25
89,26
147,27
64,28
141,29
82,30
99,31
42,32
65,33
3,34
86,35
106,36
88,37
148,38
112,39
125,40
198,41
13,42
92,43
156,44
174,45
74,46
163,47
73,48
100,49
172,50
152,51
115,52
154,53
180,54
165,55
59,56
135,57
117,58
127,59
47,60
11,61
200,62
84,63
85,64
162,65
68,66
199,67
151,68
173,69
105,70
12,71
119,72
63,73
26,74
134,75
118,76
145,77
104,78
79,79
60,80
17,81
14,82
193,83
81,84
136,85
142,86
9,87
21,88
93,89
57,90
69,91
56,92
36,93
124,94
189,95
19,96
196,97
67,98
130,99
138,100
116,101
87,102
31,103
24,104
158,105
30,106
183,107
54,108
53,109
45,110
187,111
96,112
168,113
97,114
139,115
120,116
98,117
179,118
7,119
18,120
34,121
48,122
55,123
176,124
76,125
10,126
102,127
195,128
132,129
177,130
128,131
153,132
190,133
32,134
181,135
185,136
197,137
15,138
171,139
95,140
101,141
46,142
1,143
8,144
80,145
16,146
33,147
121,148
58,149
94,150
133,151
70,152
194,153
137,154
178,155
140,156
50,157
20,158
51,159
77,160
90,161
123,162
164,163
166,164
78,165
72,166
71,167
146,168
175,169
188,170
35,171
5,172
66,173
182,174
22,175
167,176
159,177
75,178
169,179
144,180
129,181
103,182
160,183
192,184
126,185
6,186
2,187
143,188
184,189
29,190
131,191
186,192
91,193
83,194
25,195
122,196
157,197
170,198
52,199
28,200
