uid,step
161,1
4,2
23,3
49,4
82,5
141,6
99,7
125,8
3,9
198,10
180,11
73,12
74,13
174,14
172,15
13,16
173,17
92,18
100,19
27,20
135,21
127,22
165,23
11,24
199,25
134,26
117,27
84,28
200,29
162,30
79,31
47,32
68,33
85,34
57,35
163,36
104,37
136,38
189,39
17,40
81,41
24,42
105,43
196,44
191,45
124,46
67,47
113,48
48,49
138,50
26,51
106,52
21,53
56,54
14,55
55,56
96,57
145,58
54,59
116,60
130,61
118,62
93,63
187,64
179,65
168,66
98,67
53,68
132,69
139,70
97,71
9,72
142,73
34,74
119,75
102,76
120,77
10,78
197,79
69,80
30,81
158,82
15,83
31,84
7,85
171,86
128,87
185,88
101,89
181,90
194,91
70,92
77,93
175,94
190,95
19,96
18,97
58,98
20,99
140,100
35,101
177,102
51,103
76,104
183,105
8,106
46,107
33,108
80,109
95,110
32,111
195,112
6,113
2,114
5,115
94,116
52,117
83,118
182,119
111,120
193,121
90,122
110,123
91,124
146,125
176,126
71,127
166,128
167,129
123,130
178,131
103,132
50,133
75,134
72,135
78,136
143,137
160,138
164,139
22,140
1,141
25,142
159,143
122,144
169,145
129,146
43,147
66,148
61,149
29,150
186,151
188,152
170,153
59,154
137,155
28,156
157,157
36,158
154,159
148,160
109,161
192,162
16,163
133,164
131,165
126,166
184,167
155,168
45,169
88,170
44,171
60,172
62,173
144,174
65,175
41,176
150,177
121,178
149,179
37,180
12,181
38,182
86,183
147,184
64,185
108,186
39,187
107,188
114,189
112,190
40,191
89,192
156,193
42,194
153,195
152,196
115,197
151,198
63,199
87,200
