board,n_parts,used_area,waste_area,board_area,U
1,6,2781548.0,195252.0,2976800.0,0.9344087610857297
2,6,2843350.0,133450.0,2976800.0,0.9551699811878527
3,4,2854424.0,122376.0,2976800.0,0.958890083310938
4,4,2780925.0,195875.0,2976800.0,0.934199475947326
5,6,2798795.6,178004.3999999999,2976800.0,0.9402027680730987
6,5,2827108.0,149692.0,2976800.0,0.949713786616501
7,7,2728733.25,248066.75,2976800.0,0.9166666386724
8,9,2812964.2,163835.7999999998,2976800.0,0.9449624428916958
9,6,2727621.0,249179.0,2976800.0,0.9162929991937652
10,10,2788100.0,188700.0,2976800.0,0.9366097823165815
11,11,2781232.65,195567.3500000001,2976800.0,0.9343028251814028
12,8,2793573.0,183227.0,2976800.0,0.9384483337812416
13,8,2727145.25,249654.75,2976800.0,0.9161331799247514
14,11,2654563.0,322237.0,2976800.0,0.8917505374899221
15,10,2744901.25,231898.75,2976800.0,0.9220979743348562
16,11,2775389.5,201410.5,2976800.0,0.9323399287825853
17,11,2801210.0,175590.0,2976800.0,0.9410138403654932
18,12,2652423.0,324377.0,2976800.0,0.8910316447191615
19,17,2584920.0999999996,391879.9000000004,2976800.0,0.8683553144316043
20,17,2685352.15,291447.8500000001,2976800.0,0.9020935736361193
21,14,2673565.0,303235.0,2976800.0,0.8981339021768342
22,7,1045948.0,1930852.0,2976800.0,0.35136656812684763
