board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,161,161,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
1,180,180,1450.0,5.0,732.0,1190.0,1190.0,732.0,1
1,86,86,2182.0,5.0,74.0,777.0,777.0,74.0,1
1,88,88,5.0,1155.0,1247.0,60.0,1247.0,60.0,0
1,107,107,2256.0,5.0,60.0,776.0,776.0,60.0,1
1,62,62,2316.0,5.0,60.0,1164.0,1164.0,60.0,1
2,23,23,5.0,5.0,2360.0,540.0,2360.0,540.0,0
2,92,92,5.0,545.0,2000.0,354.0,2000.0,354.0,0
2,27,27,5.0,899.0,2370.0,295.0,2370.0,295.0,0
2,149,149,2375.0,5.0,60.0,1014.0,1014.0,60.0,1
2,131,131,2005.0,545.0,265.0,295.0,295.0,265.0,1
2,87,87,2270.0,545.0,73.5,310.0,73.5,310.0,0
3,49,49,5.0,5.0,2321.0,544.0,2321.0,544.0,0
3,4,4,5.0,549.0,2305.0,588.0,2305.0,588.0,0
3,111,111,5.0,1137.0,2289.0,70.0,2289.0,70.0,0
3,155,155,2326.0,5.0,70.0,1089.0,1089.0,70.0,1
4,3,3,5.0,5.0,2382.0,405.0,2382.0,405.0,0
4,165,165,5.0,410.0,2190.0,304.0,2190.0,304.0,0
4,174,174,5.0,714.0,2400.0,324.0,2400.0,324.0,0
4,191,191,5.0,1038.0,2345.0,159.0,2345.0,159.0,0
5,82,82,5.0,5.0,2040.0,549.0,2040.0,549.0,0
5,99,99,5.0,554.0,2040.0,544.0,2040.0,544.0,0
5,110,110,5.0,1098.0,2128.0,70.0,2128.0,70.0,0
5,44,44,2045.0,5.0,70.0,1044.0,1044.0,70.0,1
5,69,69,2115.0,5.0,301.0,850.5,850.5,301.0,1
5,28,28,2133.0,855.5,293.0,310.7,310.7,293.0,1
6,141,141,5.0,5.0,2040.0,549.0,2040.0,549.0,0
6,125,125,5.0,554.0,2040.0,490.0,2040.0,490.0,0
6,106,106,5.0,1044.0,2200.0,150.0,2200.0,150.0,0
6,93,93,2045.0,5.0,353.0,876.0,876.0,353.0,1
6,144,144,2205.0,881.0,213.5,320.0,213.5,320.0,0
7,172,172,5.0,5.0,2355.0,327.0,2355.0,327.0,0
7,100,100,5.0,332.0,2100.0,334.0,2100.0,334.0,0
7,13,13,5.0,666.0,1796.5,424.5,1796.5,424.5,0
7,77,77,1801.5,666.0,431.0,514.0,514.0,431.0,1
7,43,43,5.0,1090.5,1614.0,70.0,1614.0,70.0,0
7,59,59,2232.5,332.0,110.0,844.0,844.0,110.0,1
7,65,65,2342.5,332.0,80.0,841.0,841.0,80.0,1
