board,n_parts,used_area,waste_area,board_area,U
1,3,2230898.0,745902.0,2976800.0,0.7494282450954045
2,2,2542112.0,434688.0,2976800.0,0.853974737973663
3,2,2520638.0,456162.0,2976800.0,0.846760951357162
4,3,2592988.0,383812.0,2976800.0,0.8710655737704918
5,3,2625360.0,351440.0,2976800.0,0.881940338618651
6,5,2616207.0,360593.0,2976800.0,0.8788655603332437
7,6,2787705.0,189095.0,2976800.0,0.936477089492072
8,5,2424784.0,552016.0,2976800.0,0.8145606019887127
9,9,2772212.25,204587.75,2976800.0,0.9312725913732868
10,7,2535800.75,440999.25,2976800.0,0.8518545921795216
11,5,2172132.0,804668.0,2976800.0,0.7296869121203977
12,11,2817055.0,159745.0,2976800.0,0.9463366702499328
13,6,2168770.0,808030.0,2976800.0,0.7285575114216608
14,8,2052445.75,924354.25,2976800.0,0.6894805663800053
15,5,946875.0,2029925.0,2976800.0,0.31808485622144583
