board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,52,52,5.0,5.0,2000.0,900.0,2000.0,900.0,0
1,45,45,2005.0,5.0,387.0,558.0,387.0,558.0,0
1,31,31,2005.0,563.0,388.0,554.0,388.0,554.0,0
2,77,77,5.0,5.0,2340.0,544.0,2340.0,544.0,0
2,75,75,5.0,549.0,2333.0,544.0,2333.0,544.0,0
3,34,34,5.0,5.0,2365.0,534.0,2365.0,534.0,0
3,62,62,5.0,539.0,2312.0,544.0,2312.0,544.0,0
4,49,49,5.0,5.0,2300.0,544.0,2300.0,544.0,0
4,46,46,5.0,549.0,2240.0,554.0,2240.0,554.0,0
4,78,78,2245.0,549.0,182.0,554.0,182.0,554.0,0
5,7,7,5.0,5.0,2100.0,544.0,2100.0,544.0,0
5,63,63,5.0,549.0,2100.0,544.0,2100.0,544.0,0
5,25,25,2105.0,5.0,330.0,1032.0,1032.0,330.0,1
6,8,8,5.0,5.0,2040.0,554.0,2040.0,554.0,0
6,30,30,5.0,559.0,1861.5,542.0,1861.5,542.0,0
6,64,64,2045.0,5.0,350.0,885.0,885.0,350.0,1
6,74,74,1866.5,890.0,338.0,301.0,338.0,301.0,0
6,24,24,2204.5,890.0,209.0,314.0,314.0,209.0,1
7,69,69,5.0,5.0,1200.0,909.0,1200.0,909.0,0
7,80,80,1205.0,5.0,1150.0,850.0,1150.0,850.0,0
7,23,23,5.0,914.0,1823.0,236.0,1823.0,236.0,0
7,40,40,1828.0,855.0,543.0,359.0,359.0,543.0,1
7,2,2,2355.0,5.0,70.0,700.0,700.0,70.0,1
7,4,4,5.0,1150.0,754.0,60.0,754.0,60.0,0
8,68,68,5.0,5.0,1229.0,550.0,1229.0,550.0,0
8,18,18,1234.0,5.0,581.0,1155.0,1155.0,581.0,1
8,16,16,1815.0,5.0,543.0,933.0,933.0,543.0,1
8,66,66,5.0,555.0,940.0,530.0,940.0,530.0,0
8,37,37,1815.0,938.0,456.0,160.0,160.0,456.0,1
9,65,65,5.0,5.0,1301.0,492.0,1301.0,492.0,0
9,76,76,1306.0,5.0,527.0,928.5,928.5,527.0,1
9,9,9,1833.0,5.0,543.0,893.0,893.0,543.0,1
9,57,57,5.0,497.0,864.0,553.0,864.0,553.0,0
9,55,55,869.0,497.0,319.5,714.5,319.5,714.5,0
9,38,38,1188.5,933.5,667.0,265.0,667.0,265.0,0
9,67,67,1855.5,898.0,553.0,304.0,304.0,553.0,1
9,11,11,5.0,1050.0,480.0,163.5,163.5,480.0,1
9,6,6,1188.5,497.0,80.0,356.0,80.0,356.0,0
10,73,73,5.0,5.0,815.0,543.0,815.0,543.0,0
10,14,14,820.0,5.0,826.0,533.0,826.0,533.0,0
10,42,42,1646.0,5.0,553.0,795.0,795.0,553.0,1
10,50,50,5.0,548.0,824.0,533.0,824.0,533.0,0
10,43,43,829.0,538.0,806.0,543.0,806.0,543.0,0
10,22,22,1635.0,800.0,714.5,339.5,339.5,714.5,1
10,36,36,2199.0,5.0,220.0,427.0,220.0,427.0,0
11,44,44,5.0,5.0,1016.0,431.0,1016.0,431.0,0
11,79,79,1021.0,5.0,1016.0,431.0,1016.0,431.0,0
11,70,70,5.0,436.0,806.0,543.0,806.0,543.0,0
11,32,32,811.0,436.0,794.0,541.0,794.0,541.0,0
11,17,17,1605.0,436.0,776.0,553.0,776.0,553.0,0
12,41,41,5.0,5.0,776.0,553.0,776.0,553.0,0
12,13,13,781.0,5.0,770.0,553.0,770.0,553.0,0
12,35,35,1551.0,5.0,533.0,784.0,784.0,533.0,1
12,61,61,5.0,558.0,764.0,541.0,764.0,541.0,0
12,12,12,769.0,558.0,714.0,563.0,714.0,563.0,0
12,60,60,2084.0,5.0,322.0,719.0,719.0,322.0,1
12,10,10,1483.0,789.0,576.0,399.0,576.0,399.0,0
12,26,26,2084.0,724.0,283.0,489.0,489.0,283.0,1
12,1,1,5.0,1099.0,465.0,114.0,114.0,465.0,1
12,5,5,470.0,1121.0,878.0,60.0,878.0,60.0,0
12,3,3,2367.0,724.0,60.0,392.0,392.0,60.0,1
13,71,71,5.0,5.0,714.0,563.0,714.0,563.0,0
13,48,48,719.0,5.0,724.0,543.0,724.0,543.0,0
13,54,54,1443.0,5.0,704.0,543.0,704.0,543.0,0
13,29,29,719.0,548.0,664.0,546.0,664.0,546.0,0
13,39,39,1383.0,548.0,755.0,444.0,755.0,444.0,0
13,59,59,5.0,568.0,554.0,530.0,530.0,554.0,1
14,21,21,5.0,5.0,542.0,518.5,518.5,542.0,1
14,15,15,5.0,523.5,554.0,505.0,505.0,554.0,1
14,28,28,547.0,5.0,554.0,505.0,505.0,554.0,1
14,53,53,559.0,510.0,549.5,488.5,549.5,488.5,0
14,19,19,1101.0,5.0,543.0,452.0,452.0,543.0,1
14,33,33,1644.0,5.0,436.0,558.0,436.0,558.0,0
14,20,20,1108.5,457.0,468.0,509.0,468.0,509.0,0
14,58,58,1576.5,563.0,544.0,398.0,398.0,544.0,1
15,72,72,5.0,5.0,543.0,394.0,394.0,543.0,1
15,47,47,5.0,399.0,543.0,369.0,369.0,543.0,1
15,56,56,5.0,768.0,569.0,330.0,569.0,330.0,0
15,51,51,548.0,5.0,491.0,356.0,491.0,356.0,0
15,27,27,548.0,361.0,425.0,400.0,400.0,425.0,1
