board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,80,80,5.0,5.0,1150.0,850.0,1150.0,850.0,0
1,16,16,1155.0,5.0,933.0,543.0,933.0,543.0,0
1,9,9,1155.0,548.0,893.0,543.0,893.0,543.0,0
1,64,64,5.0,855.0,885.0,350.0,885.0,350.0,0
1,60,60,2088.0,5.0,322.0,719.0,719.0,322.0,1
1,51,51,2048.0,724.0,356.0,491.0,491.0,356.0,1
1,24,24,890.0,855.0,209.0,314.0,314.0,209.0,1
1,1,1,1099.0,1091.0,465.0,114.0,114.0,465.0,1
1,6,6,1564.0,1091.0,356.0,80.0,80.0,356.0,1
2,69,69,5.0,5.0,1200.0,909.0,1200.0,909.0,0
2,68,68,1205.0,5.0,1229.0,550.0,1229.0,550.0,0
2,18,18,1205.0,555.0,1155.0,581.0,1155.0,581.0,0
2,38,38,5.0,914.0,667.0,265.0,667.0,265.0,0
2,26,26,672.0,914.0,489.0,283.0,489.0,283.0,0
2,2,2,1161.0,1136.0,700.0,70.0,700.0,70.0,0
2,3,3,1861.0,1136.0,392.0,60.0,392.0,60.0,0
3,65,65,5.0,5.0,1301.0,492.0,1301.0,492.0,0
3,66,66,1306.0,5.0,530.0,940.0,940.0,530.0,1
3,76,76,5.0,497.0,928.5,527.0,928.5,527.0,0
3,57,57,1836.0,5.0,553.0,864.0,864.0,553.0,1
3,55,55,933.5,497.0,319.5,714.5,319.5,714.5,0
3,56,56,1836.0,869.0,569.0,330.0,569.0,330.0,0
3,36,36,1253.0,945.0,427.0,220.0,220.0,427.0,1
3,78,78,5.0,1024.0,554.0,182.0,182.0,554.0,1
4,61,61,5.0,5.0,764.0,541.0,764.0,541.0,0
4,12,12,769.0,5.0,714.0,563.0,714.0,563.0,0
4,48,48,1483.0,5.0,543.0,724.0,724.0,543.0,1
4,54,54,5.0,546.0,704.0,543.0,704.0,543.0,0
4,29,29,709.0,568.0,664.0,546.0,664.0,546.0,0
4,19,19,1373.0,729.0,543.0,452.0,452.0,543.0,1
4,45,45,2026.0,5.0,387.0,558.0,387.0,558.0,0
4,20,20,1916.0,729.0,509.0,468.0,468.0,509.0,1
4,4,4,5.0,1114.0,754.0,60.0,754.0,60.0,0
5,52,52,5.0,5.0,2000.0,900.0,2000.0,900.0,0
5,23,23,5.0,905.0,1823.0,236.0,1823.0,236.0,0
5,22,22,2005.0,5.0,339.5,714.5,339.5,714.5,0
5,67,67,1828.0,905.0,553.0,304.0,304.0,553.0,1
5,5,5,2344.5,5.0,60.0,878.0,878.0,60.0,1
6,7,7,5.0,5.0,2100.0,544.0,2100.0,544.0,0
6,63,63,5.0,549.0,2100.0,544.0,2100.0,544.0,0
6,25,25,2105.0,5.0,330.0,1032.0,1032.0,330.0,1
7,75,75,5.0,5.0,2333.0,544.0,2333.0,544.0,0
7,46,46,5.0,549.0,2240.0,554.0,2240.0,554.0,0
7,11,11,2245.0,549.0,163.5,480.0,163.5,480.0,0
8,8,8,5.0,5.0,2040.0,554.0,2040.0,554.0,0
8,49,49,5.0,559.0,2300.0,544.0,2300.0,544.0,0
8,47,47,2045.0,5.0,369.0,543.0,369.0,543.0,0
9,41,41,5.0,5.0,776.0,553.0,776.0,553.0,0
9,17,17,781.0,5.0,776.0,553.0,776.0,553.0,0
9,35,35,1557.0,5.0,533.0,784.0,784.0,533.0,1
9,39,39,5.0,558.0,755.0,444.0,755.0,444.0,0
9,71,71,760.0,558.0,714.0,563.0,714.0,563.0,0
9,58,58,1474.0,789.0,544.0,398.0,398.0,544.0,1
9,27,27,2018.0,789.0,400.0,425.0,400.0,425.0,0
9,74,74,2090.0,5.0,301.0,338.0,338.0,301.0,1
9,37,37,5.0,1002.0,456.0,160.0,160.0,456.0,1
10,34,34,5.0,5.0,2365.0,534.0,2365.0,534.0,0
10,77,77,5.0,539.0,2340.0,544.0,2340.0,544.0,0
11,62,62,5.0,5.0,2312.0,544.0,2312.0,544.0,0
11,30,30,5.0,549.0,1861.5,542.0,1861.5,542.0,0
11,72,72,1866.5,549.0,543.0,394.0,394.0,543.0,1
12,14,14,5.0,5.0,826.0,533.0,826.0,533.0,0
12,79,79,5.0,538.0,1016.0,431.0,1016.0,431.0,0
12,44,44,831.0,5.0,1016.0,431.0,1016.0,431.0,0
12,42,42,1021.0,436.0,795.0,553.0,795.0,553.0,0
12,13,13,1816.0,436.0,553.0,770.0,770.0,553.0,1
12,10,10,1847.0,5.0,576.0,399.0,576.0,399.0,0
13,53,53,5.0,5.0,549.5,488.5,549.5,488.5,0
13,43,43,554.5,5.0,806.0,543.0,806.0,543.0,0
13,32,32,1360.5,5.0,541.0,794.0,794.0,541.0,1
13,15,15,1901.5,5.0,505.0,554.0,505.0,554.0,0
13,73,73,5.0,548.0,815.0,543.0,815.0,543.0,0
13,59,59,1901.5,559.0,530.0,554.0,530.0,554.0,0
13,21,21,820.0,548.0,518.5,542.0,518.5,542.0,0
13,31,31,1338.5,799.0,554.0,388.0,388.0,554.0,1
14,50,50,5.0,5.0,824.0,533.0,824.0,533.0,0
14,70,70,829.0,5.0,806.0,543.0,806.0,543.0,0
14,28,28,1635.0,5.0,505.0,554.0,505.0,554.0,0
14,33,33,5.0,538.0,558.0,436.0,436.0,558.0,1
14,40,40,563.0,548.0,543.0,359.0,359.0,543.0,1
